ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Metalltreppen,-
KnatteTobbert.MetalStaircase.Description,Eine bessere Treppe aus Metall.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,"Hoffe, es rostet nicht.",-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Metalltreppe,-
KnatteTobbert.MetalSpiralStaircase.DisplayName,Metall Spiraltreppe,-
KnatteTobbert.MetalSpiralStaircase.Description,Eine bessere Metallwendeltreppe.,-
KnatteTobbert.MetalSpiralStaircase.FlavorDiscription,"""Treppen zur Hölle"" - Stone Cold Jane Austen",-
KnatteTobbert.Staircases.DisplayName,Treppenhäuser,-
KnatteTobbert.Platforms.DisplayName,Plattformen,-
KnatteTobbert.SpiralStaircase.DisplayName,Spiraltreppe,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Treppe zum Himmel"" - Stone Cold Jane Austen",-
KnatteTobbert.StaircaseLog.DisplayName,Treppenhaus,-
KnatteTobbert.StaircaseLog.FlavorDiscription,Das ist ein großer Boi-Log in der Mitte.,-
Knatte.Pillar.DisplayName,Säule,-
Knatte.Pillar.Description,Lass es steigen,-
Knatte.Pillar.FlavorDescription,"""Lass uns einen Platz beanspruchen!"" - Fleißiger Biber",-
Knatte.Pillars.DisplayName,Säulen mit Stütze,-
Knatte.Pillars.Description,Lass es steigen,-
Knatte.Pillars.FlavorDescription,"""Lass uns einen Platz reservieren!"" - Fleißiger Biber",-
Knatte.Pillar_1.DisplayName,1 Bein Säule,-
Knatte.Pillar_2.DisplayName,2-Bein-Säule,-
Knatte.Pillar_3.DisplayName,3-Bein-Pfosten,-
Knatte.Pillar_4.DisplayName,4-Bein-Säule,-
Knatte.Pillar_X.Description,"Säulen, um maßgeschneiderte Looks zu erhalten. Können mit Treppen kombiniert werden, um sie zu verstecken, aber stapelbar zu sein.",-
Knatte.Pillar_X.FlavorDescription,"""Lass uns einen Platz besetzen!"" - Fleißiger Biber",-
Knatte.StaircasePillar.DisplayName,Treppenpfeiler,-
Knatte.StaircasePillar.Description,"Säulen, die mit einer Treppe verwendet werden sollen, um eine schöne Säule zu erhalten.",-
Knatte.StaircasePillar.FlavorDescription,"""Lasst uns einen Platz markieren!"" - Fleißiger Biber",-
Knatte.PillarTop.DisplayName,Säulenoberteil,-
Knatte.PillarTop.Description,"Oberer Teil für benutzerdefinierte Säulen oder Dekorationselemente. Kann mit Treppen kombiniert werden, um sie zu verstecken, aber stapelbar.",-
Knatte.StaircasePlatform.DisplayName,Plattform 2x2,-
Knatte.StaircasePlatform.Description,Plattform mit einem großen Baumstamm in der Mitte,-
Knatte.StaircasePlatform.FlavorDescription,"""Lass uns einen Platz auswählen!"" - Fleißiger Biber",-
