ID,Text,Comment
Good.EcologicalPlank.PluralDisplayName,Produzieren Sie Bretter aus Sägemehl.,-
Good.Dust.PluralDisplayName,Produziere Schmutz,-
Grease.CriticalDescription,"Brauche Fett, um zu arbeiten.",-
Need.Grease.DeathMessage,Rostig aufgrund von fehlendem Schmiermittel,-
Building.NaturalOverhang1.Description,"Eine hervorstehende Felsplattform, die als Brücke oder Fundament für andere Gebäude fungieren kann.",-
Building.NaturalOverhang12.Description,"Ein hervortretender Felsen, der als Fundament für andere Gebäude dienen kann. Hält Wasser und Undichtigkeiten auf.",-
Building.NaturalOverhang1x11.DisplayName,Steinmauer 1x1,-
Building.NaturalOverhang2x11.DisplayName,Steinvorsprung 2x1,-
Building.NaturalOverhang3x11.DisplayName,Steinüberhang 3x1,-
Building.NaturalOverhang4x11.DisplayName,Steinvorsprung 4x1,-
