ID,Text,Comment
Lapantouflemagic.Pitwarehouse.DisplayName,Grube Lagerhaus,-
Lapantouflemagic.Pitwarehouse.Description,"Ein top-zugänglicher Lagerplatz, der in abgelegene Ecken passt.",-
Lapantouflemagic.Pitwarehouse.FlavorDescription,"""Lass uns hoffen, dass die Dinge unten nicht verderben.""",-
Lapantouflemagic.Pitpile.DisplayName,Grubenhaufen,-
Lapantouflemagic.Pitpile.Description,"Ein oberer Zugangsspeicherort, der in abgelegene Ecken passt.",-
Lapantouflemagic.Pitpile.FlavorDescription,"""Ich könnte dort leicht eine Leiche verstecken.""  
-Jack der Nager",-
Lapantouflemagic.SCoveredtank.DisplayName,Kleiner Abgedeckter Tank,-
Lapantouflemagic.SCoveredtank.Description,"Ein kleinerer Lagertank, der jedoch erweiterbar ist.",-
Lapantouflemagic.Longwarehouse.DisplayName,Langes kleines Lagerhaus,-
Lapantouflemagic.Longwarehouse.Description,"Ein etwas längeres Lager, um schwer zugängliche Ecken zu füllen.",-
Lapantouflemagic.Longwarehouse.FlavorDescription,"„Ich frage mich, welche seltsamen Formen das Lagerungskomitee als Nächstes erfinden wird.“  
- Ein Holzfäller-Biber",-
Lapantouflemagic.2x2pile.DisplayName,Mittlerer Flor,-
Lapantouflemagic.2x2pile.FlavorDescription,Die richtige alternierende Logausrichtung ist wichtig.,-
Lapantouflemagic.Longpile.DisplayName,Langer kleiner Haufen,-
Lapantouflemagic.Longpile.Description,"Ein verlängertes kleines Stück, um schwer erreichbare Ecken zu nutzen.",-
Lapantouflemagic.Longpile.FlavorDescription,"Um ehrlich zu sein, hatte ich ein gewundenes Lager erwartet.",-
Lapantouflemagic.PitTank.DisplayName,Grubenbehälter,-
Lapantouflemagic.PitTank.FlavorDescription,"Verliere den Eimer nicht, Menschen führten Kriege für solche Dinge.",-
Lapantouflemagic.SCoveredtank.FlavorDescription,"Nicht die beste Art, Wasser zu lagern, aber zumindest bleibt es sauber.",-
Lapantouflemagic.GigargantuanPile.DisplayName,Gigantischer Lagerhaufen,-
Lapantouflemagic.GigargantuanWarehouse.DisplayName,Gigantisches Lagerhaus,-
Lapantouflemagic.GigargantuanStorage.Description,"Speichert eine lächerliche Menge einer Art von Ressource.  
<color=yellow>Benötigt Leitern für den Zugang</color>  
Die zentralen 7x1 Linien benötigen keine Unterstützung darunter.  
<color=#FF6EC7>Die Glasplatten oben werden großzügig bereitgestellt von den </color><b>WhitePaws</b><color=#FF6EC7> im Rahmen einer Selbstwerbungskampagne.</color>",-
Lapantouflemagic.GigargantuanStorage.FlavorDescription,Hoffentlich ist das kein radioaktives Glas...,-
Lapantouflemagic.GigargantuanStorageWP.Description,Speichert eine absurd große Menge einer Art von Ressource. Die zentralen 7x1 Linien benötigen keine Unterstützung darunter.,-
Lapantouflemagic.GigargantuanStorageWP.FlavorDescription,"Hast du gedacht, jemand würde dir all dieses Glas umsonst geben? Wer würde das jemals tun?",-
