ID,Text,Comment
BigSigns.Groups.Capitals,Großbuchstaben,-
BigSigns.Groups.Numbers,Zahlen,-
BigSigns.Groups.Accents,Akzente,-
BigSigns.Buildings.0.DisplayName,Nummer 0,-
BigSigns.Buildings.1.DisplayName,Nummer 1,-
BigSigns.Buildings.2.DisplayName,Nummer 2,-
BigSigns.Buildings.3.DisplayName,Nummer 3,-
BigSigns.Buildings.4.DisplayName,Nummer 4,-
BigSigns.Buildings.5.DisplayName,Nummer 5,-
BigSigns.Buildings.6.DisplayName,Nummer 6,-
BigSigns.Buildings.7.DisplayName,Nummer 7,-
BigSigns.Buildings.8.DisplayName,Nummer 8,-
BigSigns.Buildings.9.DisplayName,Kapital 9,-
BigSigns.Buildings.A.DisplayName,Hauptbuchstabe A,-
BigSigns.Buildings.B.DisplayName,Kapital B,-
BigSigns.Buildings.C.DisplayName,Großbuchstabe C,-
BigSigns.Buildings.D.DisplayName,Kapital D,-
BigSigns.Buildings.E.DisplayName,Großbuchstabe E,-
BigSigns.Buildings.F.DisplayName,Kapital F,-
BigSigns.Buildings.G.DisplayName,Kapital G,-
BigSigns.Buildings.H.DisplayName,Hauptstadt H,-
BigSigns.Buildings.I.DisplayName,Hauptstadt I,-
BigSigns.Buildings.J.DisplayName,Hauptbuchstabe J,-
BigSigns.Buildings.K.DisplayName,Großbuchstabe K,-
BigSigns.Buildings.L.DisplayName,Kapital L,-
BigSigns.Buildings.M.DisplayName,Großbuchstabe M,-
BigSigns.Buildings.N.DisplayName,Kapital N,-
BigSigns.Buildings.O.DisplayName,Kapital O,-
BigSigns.Buildings.P.DisplayName,Kapital P,-
BigSigns.Buildings.Q.DisplayName,Haupt-Q,-
BigSigns.Buildings.R.DisplayName,Großbuchstabe R,-
BigSigns.Buildings.S.DisplayName,Hauptstadt S,-
BigSigns.Buildings.T.DisplayName,Großes T,-
BigSigns.Buildings.U.DisplayName,Hauptstadt U,-
BigSigns.Buildings.V.DisplayName,Großbuchstabe V,-
BigSigns.Buildings.W.DisplayName,Großbuchstabe W,-
BigSigns.Buildings.X.DisplayName,Kapital X,-
BigSigns.Buildings.Y.DisplayName,Hochbuchstabe Y,-
BigSigns.Buildings.Z.DisplayName,Kapital Z,-
BigSigns.Buildings.Ampersand.DisplayName,Undzeichen,-
BigSigns.Buildings.Acute.DisplayName,Akut,-
BigSigns.Buildings.AELigature.DisplayName,AE Ligatur,-
BigSigns.Buildings.Bolle.DisplayName,Bolle,-
BigSigns.Buildings.Cedilla.DisplayName,Cedille,-
BigSigns.Buildings.Grave.DisplayName,Grab,-
BigSigns.Buildings.Macron.DisplayName,Macron,-
BigSigns.Buildings.OELigature.DisplayName,OE-Ligatur,-
BigSigns.Buildings.OStreg.DisplayName,O Streg,-
BigSigns.Buildings.Szlig.DisplayName,ß,-
BigSigns.Buildings.Tilde.DisplayName,Tilde,-
BigSigns.Buildings.Umlaut.DisplayName,Umlaut,-
BigSigns.Buildings.Sign.Description,,-
BigSigns.Buildings.Sign.FlavorDescription,"Rufe deine Botschaft, laut und deutlich!",-
BigSigns.Groups.Specials,Sonderangebote,-
