ID,Text,Comment
eMka.GoodStatistics.BatchControlKeyBinding,Öffne den Reiter Warenstatistik,-
eMka.GoodStatistics.BatchControlTabName,Warenstatistik,-
eMka.GoodStatistics.DepletionDaysLeft,Geschätzte Zeit bis zur Erschöpfung: {0},-
eMka.GoodStatistics.GoodSampleTime,Vor {0} abgeholt,-
eMka.GoodStatistics.GrowingDaysLeft,Voraussichtliche Zeit bis zur Ausfüllung: {0},-
eMka.GoodStatistics.Settings.AnalyzeGoodsWithoutStockpiles,Waren ohne Lager analysieren,-
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThreshold,Schwellenwert für aufeinanderfolgende Mikroänderungen,-
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThresholdTooltip,"Anzahl der aufeinanderfolgenden Mikroänderungen (unterhalb der langsamen täglichen Änderungsgrenze), die als Trend betrachtet werden sollen.",-
eMka.GoodStatistics.Settings.EMAAnalyzerHeader,Exponentieller gleitender Durchschnittsanalyzer,-
eMka.GoodStatistics.Settings.FastChangeThreshold,Schnelle tägliche Änderungsgrenze,-
eMka.GoodStatistics.Settings.IgnoreGoodsWithStorageLessThan,Ignoriere Waren mit weniger als Lagerbestand.,-
eMka.GoodStatistics.Settings.ModerateChangeThreshold,Mäßiger täglicher Änderungsgrenzwert,-
eMka.GoodStatistics.Settings.SamplesPerDay,Proben pro Tag,-
eMka.GoodStatistics.Settings.SamplesToAnalyze,Proben zur Analyse,-
eMka.GoodStatistics.Settings.BaseSettings,Basis Einstellungen,-
eMka.GoodStatistics.Settings.ShowTrendsOnTopBar,Trends in der oberen Leiste anzeigen,-
eMka.GoodStatistics.Settings.SlowChangeThreshold,Langsame tägliche Änderungsgrenze,-
