ID,Text,Comment
IgorZ.TimberCommons.WaterTower.Utilization,Vutilisierte Potenzial: {0:0.#}%,-
IgorZ.TimberCommons.WaterTower.IrrigatedArea,Bedeckte Fläche: {0},-
IgorZ.TimberCommons.WaterTower.EffectiveRange,Effektive Reichweite: {0},-
IgorZ.TimberCommons.WaterTower.NoTilesToIrrigate,Keine erreichbaren Fliesen zum Bewässern,-
IgorZ.TimberCommons.GrowthRateModifier.BoostPercentile,Wachstumssteigerung: <GreenHighlight>🡅</GreenHighlight>{0:0.#}%,-
IgorZ.TimberCommons.GrowthRateModifier.SlowdownPercentile,Wachstumsverlangsamung: <RedHighlight>🡇</RedHighlight>{0:0.#}%,-
IgorZ.TimberCommons.AdjustableWaterOutput.StopAboveDownstream,Schließe oberhalb der Tiefe am Überlauf: {0},-
IgorZ.TimberCommons.InjuryProbability,Verletzungswahrscheinlichkeit: {0} jede Stunde,-
IgorZ.TimberCommons.Settings.TimeAndDurationSection,Zeit- und Dauerdarstellung,-
IgorZ.TimberCommons.Settings.TimeAndDuration.DaysHoursSupplyLeft,"""Solange der Vorrat reicht"" in Tagen/Stunden",-
IgorZ.TimberCommons.Settings.TimeAndDuration.DaysHoursGrowingTime,Wachstumszeit als Tage/Stunden anzeigen,-
IgorZ.TimberCommons.Settings.TimeAndDuration.DaysHoursForRecipeDuration,Rezeptezeit als Tage/Stunden anzeigen,-
IgorZ.TimberCommons.Settings.TimeAndDuration.HigherPrecisionForFuelConsumingRecipes,Zeigen Sie den Treibstoffverbrauch des Rezepts mit höherer Präzision an.,-
IgorZ.TimberCommons.Settings.IrrigationSystemSection,Bewässerungssystem,-
IgorZ.TimberCommons.Settings.IrrigationSystem.OverrideDesertLevelsForWaterTowers,Zeigen Sie bewässerte Fliesen als gut befeuchtet.,-
IgorZ.TimberCommons.Settings.IrrigationSystem.OverrideDesertLevelsForWaterTowersTooltip,"Legt fest, ob die Kacheln glänzend grün (gut bewässert) aussehen sollen. Andernfalls zeigt die Standardlogik sie als 'geringfügig bewässert', da die Bewässerungstürme nur das Basisfeuchtigkeitsniveau liefern.",-
IgorZ.TimberCommons.Settings.WaterBuildingsSection,Wassergebäude,-
IgorZ.TimberCommons.Settings.WaterBuildings.AdjustWaterDepthAtSpillwayOnMechanicalPumps,Erlauben Sie das Einstellen des maximalen Wasserspiegels am Überlauf der mechanischen Pumpen.,-
IgorZ.TimberCommons.Settings.WaterBuildings.AdjustWaterDepthAtSpillwayOnFluidDumps,Erlauben Sie das Festlegen des maximalen Wasserspiegels am Überlauf der Flüssigkeitsabfälle.,-
IgorZ.TimberCommons.Settings.WaterBuildings.ShowCurrentStrengthInSluice,Aktuelle Stärke im Schleusenbereich anzeigen.,-
IgorZ.TimberCommons.Settings.InjuryProbabilitySection,Verletzungswahrscheinlichkeit,-
IgorZ.TimberCommons.Settings.InjuryProbability.ShowInFragment,Zeigen Sie die Verletzungswahrscheinlichkeit im rechten Bereich an.,-
IgorZ.TimberCommons.Settings.InjuryProbability.ShowAvatarHint,Zeige Indikator auf dem Gebäude-Avatar,-
IgorZ.TimberCommons.Settings.InjuryProbability.ShowAvatarHintTooltip,"Fahren Sie mit der Maus über den Indikator, um die Verletzungswahrscheinlichkeit zu sehen.",-
IgorZ.TimberCommons.Settings.DebugSection,Fehlerbehebung und Troubleshooting,-
IgorZ.TimberCommons.Settings.Debug.VerboseLogging,Ausführliches Protokollieren,-
IgorZ.TimberCommons.Settings.Debug.VerboseLoggingTooltip,"Protokolle enthalten mehr nützliche Details, können jedoch die Spielleistung beeinträchtigen.",-
