ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,Seitenplattform 1x1,-
Tobbert.HorizontalPlatformEnd1x1.Description,"Eine Plattform, die an der Seite von Klippen, Deichanlagen, verstärkten Plattformen oder Plattformmittelstücken angebracht werden kann.",-
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,"Stell dir vor, du könntest diese aufeinanderstapeln.",-
Tobbert.HorizontalPlatformEnd2x1.DisplayName,Seitenplattform 2x1,-
Tobbert.HorizontalPlatformEnd2x1.Description,"Eine Plattform, die an der Seite von Klippen platziert werden kann, verstärkte Plattformen oder Plattform-Mittelstücke.",-
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Doppelt so viele Plattformen, doppelter Spaß!",-
Tobbert.HorizontalPlatformEnd3x1.DisplayName,Seitenplattform 3x1,-
Tobbert.HorizontalPlatformEnd3x1.Description,"Eine Plattform, die an der Seite von Klippen platziert werden kann, verstärkte Plattformen oder Plattformmittelstücke.",-
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,Das ist für die langen Jungs.,-
Tobbert.HorizontalPlatformEnd4x1.DisplayName,Seitenplattform 4x1,-
Tobbert.HorizontalPlatformEnd4x1.Description,"Eine Plattform, die an der Seite von Klippen platziert werden kann, verstärkte Plattformen oder Plattform-Mittelstücke.",-
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,So funktioniert die Physik nicht.,-
Tobbert.HorizontalPlatformMiddle1x1.DisplayName,Seitenplattform Mittelstück 1 Hoch,-
Tobbert.HorizontalPlatformMiddle1x1.Description,"Eine Plattform, die überall platziert werden kann. Lass deiner Kreativität freien Lauf!",-
Tobbert.HorizontalPlatformMiddle1x1.FlavorDescription,Lass uns eine schwebende Stadt bauen!,-
Tobbert.HorizontalPlatformMiddle1x2.DisplayName,"Seitenplattform Mittelstück 1,5 hoch",-
Tobbert.HorizontalPlatformMiddle1x2.Description,"Eine Plattform, die überall platziert werden kann. Lass deiner Kreativität freien Lauf!",-
Tobbert.HorizontalPlatformMiddle1x2.FlavorDescription,Für wenn ein Hoch einfach nicht genug ist.,-
Tobbert.ReinforcedLadder.DisplayName,Verstärkte Leiter,-
Tobbert.ReinforcedLadder.Description,"Es ist eine Leiter, die auch in Kombination mit den Seitentafeln verwendet werden kann. Sie dient als eine ansprechendere Option als Deiche.",-
Tobbert.ReinforcedLadder.FlavorDescription,Wenn eine normale Leiter nicht ausreicht.,-
Tobbert.ReinforcedPlatform.DisplayName,Verstärkte Plattform,-
Tobbert.ReinforcedPlatform.Description,"Eine Plattform, die in Kombination mit den Seitenplattformen verwendet werden kann. Sie dient als ansprechendere Option als Dämme.",-
Tobbert.ReinforcedPlatform.FlavorDescription,Stapel es bis nach oben!,-
Tobbert.DoubleReinforcedPlatform.DisplayName,Doppelt verstärkte Plattform,-
Tobbert.DoubleReinforcedPlatform.Description,"Eine Plattform, die in Kombination mit den Seitenplattformen verwendet werden kann. Sie dient als ansprechende Alternative zu Dämmen.",-
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Stapel, stapel es bis nach oben!",-
Tobbert.TripleReinforcedPlatform.DisplayName,Dreifach verstärktes Plattform,-
Tobbert.TripleReinforcedPlatform.Description,"Eine Plattform, die in Kombination mit den Seitenplattformen verwendet werden kann. Sie dient als ansprechendere Option als Deiche.",-
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Stapel, stapel, stapel es bis nach oben!",-
Tobbert.CategoryReinforcedPlatforms.DisplayName,Verstärkte Plattformen,-
Tobbert.CategorySidePlatforms.DisplayName,Seitenplattformen,-
