ID,Text,Comment
Cordial.Building.Forester.Description,Zwangspflanzung von:,-
Cordial.ForesterUpdate.Fragment.NoUpdateOption,Keine,-
Cordial.PlantingOverrideTool.Crop.DisplayName,Werkzeug zum Überschreiben der Pflanzenanpflanzung,-
Cordial.PlantingOverrideTool.Crop.Description,Bestehende Pflanzenanbau überschreiben,-
Cordial.PlantingOverrideTool.Tree.DisplayName,Forstpflanzungs-Übersteuertools,-
Cordial.PlantingOverrideTool.Tree.Description,Überschreibung der Pflanzung vorhandener Bäume oder Sträucher,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Title,Pflanzungsüberschreibungskonfiguration,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Description,Bestehende Pflanze ersetzen mit:,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.CuttingAreaRemove,Schneidebereich nach dem Pflanzen deaktivieren,-
Cordial.PlantBeehiveTool.DisplayName,Bienenstock-Übersteuerung,-
Cordial.PlantBeehiveTool.Description,Ersetze eine Pflanze durch einen Bienenstock.,-
Cordial.PlantBeehiveTool.FactionLock,Dieses Tool ist nicht verfügbar für:,-
Cordial.PlantBeehiveTool.BuildingLock,Dieses Gebäude ist verschlossen:,-
Cordial.PlantBeehiveTool.Unlock,Werkzeug freigeschaltet!,-
