ID,Text,Comment
Knatte.DE_RMCorner.DisplayName,Dekorative Metalecke,-
Knatte.DE_RMCorner.Description,Lass den gerippten Metallsperren eckig werden.,-
Knatte.DE_RMCorner.FlavorDescription,Blockiert kein Wasser,-
//,Error,-
Knatte.DE_RMSQCorner.DisplayName,Dekoration Metall Quadratecke,-
Knatte.DE_RMSQCorner.Description,Lassen Sie den gerippten Metaldamm geckant werden.,-
Knatte.DE_RMSQCorner.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMDiagonal.DisplayName,Dekoration Metall Diagonal,-
Knatte.DE_RMDiagonal.Description,Lass das gerippte Metalldammbauwerk zur Seite gehen.,-
Knatte.DE_RMDiagonal.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMDiagonalW.DisplayName,Leeve Diagonal,-
Knatte.DE_RMDiagonalW.Description,Lass den gerippten Metalldamm zur Seite gehen.,-
Knatte.DE_RMDiagonalW.FlavorDescription,Wasser wird nicht fließen.,-
Knatte.DE_RMInvCorner.DisplayName,Dekorationsmetall Innenwinkel,-
Knatte.DE_RMInvCorner.Description,Lass den genoppten Metalldamm eckig werden.,-
Knatte.DE_RMInvCorner.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMInvCornerW.DisplayName,Innere Ecke lassen,-
Knatte.DE_RMInvCornerW.Description,Lassen Sie den gerippten Metalldamm abgerundet werden.,-
Knatte.DE_RMInvCornerW.FlavorDescription,Wasser wird nicht passieren,-
Knatte.DE_RMSlope.DisplayName,Dekoration Metallneigung,-
Knatte.DE_RMSlope.Description,Lassen Sie den gerippten Metalldamm geneigt sein.,-
Knatte.DE_RMSlope.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMCornerSlope.DisplayName,Dekoration Metall Neigung Ecke,-
Knatte.DE_RMCornerSlope.Description,Lass den gerippten Metaldamm verknickt sein.,-
Knatte.DE_RMCornerSlope.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMSquare.DisplayName,Dekoration Metallwürfel,-
Knatte.DE_RMSquare.Description,Dam den gerippten Metallwürfel,-
Knatte.DE_RMSquare.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMSquare2W.DisplayName,Metallschutz 2x2,-
Knatte.DE_RMSquare3W.DisplayName,Metallschleuse 3x3,-
Knatte.DE_RMSquareW.Description,Lass es groß in geripptem Metall sein.,-
Knatte.DE_RMSquareW.FlavorDescription,Wasser wird nicht passieren,-
Knatte.DE_RMSquareW1x1.DisplayName,Metallstau 1x1,-
Knatte.DE_RMSquareW1x2.DisplayName,Metall Levee 1x2,-
Knatte.DE_RMSquareW1x3.DisplayName,Metal Levee 1x3,-
Knatte.DE_RMSquareW2x1.DisplayName,Metallschranke 2x1,-
Knatte.DE_RMSquareW2x3.DisplayName,Metall Levee 2x3,-
Knatte.DE_RMSquareW3x1.DisplayName,Metall Levee 3x1,-
Knatte.DE_RMSquareW3x2.DisplayName,Metallschleuse 3x2,-
Knatte.DE_RMCorner2X.DisplayName,"Dekorationsmetall-Ecke  
Doppelte Höhe",-
Knatte.DE_RMCorner2X.Description,Lass den gerippten Metalldamm gekantet werden.,-
Knatte.DE_RMCorner2X.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMSQCorner2X.DisplayName,"Dekoration Metall Quadrat-Ecke  
Doppelte Höhe",-
Knatte.DE_RMSQCorner2X.Description,Lass den gerippten Metalldamm abgegrenzt sein.,-
Knatte.DE_RMSQCorner2X.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMDiagonal2X.DisplayName,"Dekoration Metall Diagonal  
Doppelte Höhe",-
Knatte.DE_RMDiagonal2X.Description,Lass den genoppten Metalldamm zur Seite gehen.,-
Knatte.DE_RMDiagonal2X.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMInvCornerS2X.DisplayName,Dekoration Metall Innen Ecke Seitenplattform Doppelte Höhe,-
Knatte.DE_RMInvCornerS2X.Description,Lassen Sie das Rippengitterdam zur Seite und haben Sie eine Plattform.,-
