ID,Text,Comment
CBW.ChangeWalkingSpeed,Ganggeschwindigkeit ändern,-
CBW.ChangeWalkingSpeedDesc,"Wenn aktiviert, wird die Gehgeschwindigkeit von Bibern und Bots geändert.",-
CBW.BaseWalkingSpeed,Basis Gehgeschwindigkeit,-
CBW.BaseWalkingSpeedDesc,"Die Grundlaufgeschwindigkeit von Bibern (Spieleinstellung: 2,7)",-
CBW.BaseSlowedSpeed,Basis verlangsamte Geschwindigkeit,-
CBW.BaseSlowedSpeedDesc,"Die Grundgeschwindigkeit von Bibern (Spiel Standard: 1,5)",-
CBW.DifferentBotSpeed,Verschiedene Geschwindigkeiten für Bots,-
CBW.DifferentBotSpeedDesc,"Wenn aktiviert, haben Bots unterschiedliche Gehgeschwindigkeiten. Kann eine geringfügige Leistungsauswirkung haben.",-
CBW.BaseBotWalkingSpeed,Basis Gehgeschwindigkeit für Bots,-
CBW.BaseBotWalkingSpeedDesc,"Die Grund-Geschwindigkeit von Bots beim Gehen (Spielstandard: 2,7)",-
CBW.BaseBotSlowedSpeed,Basis verlangsamer Geschwindigkeit für Bots,-
CBW.BaseBotSlowedSpeedDesc,"Die grundlegende langsame Geschwindigkeit der Bots (Spielstandard: 1,5)",-
CBW.CarryingWeightMultiplier,Tragkraftmultiplikator,-
CBW.CarryingWeightMultiplierDesc,Der Multiplikator für das maximale Traggewicht von Bibern und Bots (Spielstandard: 1). Hinweis: Tritt erst nach dem Neuladen eines Speichers in Kraft.,-
