ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3 Riesenmammutbaum,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? Baum,-
MapMakerPlants.Brambles.DisplayName,Dornengestrüpp,-
MapMakerPlants.NewVineV.DisplayName,Reben (vertikal),-
MapMakerPlants.NewVineH.DisplayName,Reben (Horizontal),-
MapMakerPlants.Waterbamboo.DisplayName,2x2 W.Bambus,-
MapMakerPlants.Baobab.DisplayName,5x5 Baobab,-
MapMakerPlants.LemonTree.DisplayName,Zitronenbaum,-
MapMakerPlants.PinkBirch.DisplayName,Immerblüte,-
MapMakerPlants.RuinedPath.DisplayName,Zerstörter Weg,-
MapMakerPlants.BrokenHouse.DisplayName,Zerbrochene Hütte (Stämme),-
MapMakerPlants.PlankRuin.DisplayName,Kaputte Haus (Bretter),-
NaturalResource.PinkBirch.DisplayName,Immerblüte,-
Good.Pumpkin.DisplayName,Kürbis,-
Good.Pumpkin.PluralDisplayName,Kürbisse,-
NaturalResource.Waterbamboo.DisplayName,Unglaublich hoher Bambus,-
Lapantouflemagic.NewVineH.DisplayName,Weinrebe,-
MapMakerPlants.GearsRuin.DisplayName,Kaputte Haus (Zahnräder),-
MapMakerPlantReader.GrapeNeed.DisplayName,Trauben,-
MapMakerPlantReader.Lemonade.DisplayName,Limonade,-
MapMakerPlantReader.Lemonade.PluralDisplayName,Limonade,-
Good.RedGrapes.DisplayName,Trauben,-
Good.RedGrapes.PluralDisplayName,Trauben,-
MapMakerPlantReader.Lemons.DisplayName,Zitrone,-
MapMakerPlantReader.Lemons.PluralDisplayName,Zitronen,-
