ID,Text,Comment
cutdeadtreesfirst.settings.mode,Priorisierungsmodus,-
cutdeadtreesfirst.settings.mode.tooltip,"Bestimmt, wie tote Bäume beim Fällen priorisiert werden.",-
cutdeadtreesfirst.settings.mode.off,Aus,-
cutdeadtreesfirst.settings.mode.designatedonly,Nur für Bezugszwecke,-
cutdeadtreesfirst.settings.mode.expanded,Erweitert,-
cutdeadtreesfirst.settings.species,Baumartenpriorität,-
cutdeadtreesfirst.settings.species.tooltip,Priorisieren Sie bestimmte Baumarten (tote Bäume haben immer die höchste Priorität).,-
cutdeadtreesfirst.settings.species.none,Keine,-
cutdeadtreesfirst.settings.species.oak,Eichen,-
cutdeadtreesfirst.settings.species.birch,Birkenbäume,-
cutdeadtreesfirst.settings.species.oakandbirch,Eichen- und Birkenbäume,-
