ID,Text,Comment
IgorZ.Automation.DebugPickTool.Title,Debug tool,-
IgorZ.Automation.DebugPickTool.Description,Prints components on the selected object.,-
IgorZ.Automation.DebugPickTool.DescriptionHint1,Hold <i>SHIFT</i> to print Accessible.,-
IgorZ.Automation.DebugPickTool.DescriptionHint2,Hold <i>CTRL</i> to print NavMesh edges.,-
IgorZ.Automation.DebugFinishNowTool.Title,Finish now debug tool,-
IgorZ.Automation.DebugFinishNowTool.Description,Immediately finishes the selected constructables.,-
IgorZ.Automation.ToolGroup.Main.DisplayName,Set up automation,-
IgorZ.Automation.ToolGroup.Terrain.DisplayName,Terrain changing,-
IgorZ.Automation.ToolGroup.Water.DisplayName,Water conditions,-
IgorZ.Automation.ToolGroup.Power.DisplayName,Power conditions,-
IgorZ.Automation.ToolGroup.Storage.DisplayName,Storage conditions,-
IgorZ.Automation.ToolGroup.Population.DisplayName,Population conditions,-
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,Explode dynamite twice,-
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,Explode dynamite three times.,-
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,Explode dynamite four times.,-
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,Explode dynamite five times.,-
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,Explode dynamite six times,-
IgorZ.Automation.Tool.tmpl.XLevelsDynamite.Description,"This template can be applied to dynamites, whether it is finished or still being built. Upon completion, the dynamite will detonate automatically, and a new dynamite blueprint will be placed to dig deeper.",-
IgorZ.Automation.Tool.tmpl.EmptyAt50pct.DisplayName,Empty the storage if capacity is above 50%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt60pct.DisplayName,Empty the storage if capacity is above 60%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt70pct.DisplayName,Empty the storage if the capacity is above 70%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt80pct.DisplayName,Empty the storage if capacity is above 80%.,-
IgorZ.Automation.Tool.tmpl.EmptyAt90pct.DisplayName,Empty the storage if capacity is above 90%.,-
IgorZ.Automation.Tool.tmpl.EmptyAtXpct.Description,"This template can be applied to buildings that produce one type of good and have no input stock. If the <i>output</i> stock level exceeds the predetermined threshold, the building will transition into an 'empty' mode, facilitating rapid removal of goods.",-
IgorZ.Automation.EmptyOutputStore.CustomStatus,The building is being emptied on a priority basis.,-
IgorZ.Automation.Tool.tmpl.DroughtPause.DisplayName,Pause during drought,-
IgorZ.Automation.Tool.tmpl.DroughtPause.Description,Apply this template to buildings that should remain on hold during droughts.,-
IgorZ.Automation.Tool.tmpl.BadtidePause.DisplayName,Pause during low tide,-
