ID,Text,Comment
cutdeadtreesfirst.settings.mode,Prioritization Mode,-
cutdeadtreesfirst.settings.mode.tooltip,Determines the priority for cutting down dead trees.,-
cutdeadtreesfirst.settings.mode.off,Off,-
cutdeadtreesfirst.settings.mode.designatedonly,Designated Only,-
cutdeadtreesfirst.settings.mode.expanded,Expanded,-
cutdeadtreesfirst.settings.species,Tree Species Priority,-
cutdeadtreesfirst.settings.species.tooltip,Prioritize specific tree species (dead trees always have the highest priority),-
cutdeadtreesfirst.settings.species.none,None,-
cutdeadtreesfirst.settings.species.oak,Oak Trees,-
cutdeadtreesfirst.settings.species.birch,Birch Trees,-
cutdeadtreesfirst.settings.species.oakandbirch,Oak and Birch Trees,-
