ID,Text,Comment
Cadre.Group.AquaPiles.DisplayName,Aqua Piles,-
Cadre.Group.AquaTanks.DisplayName,Aqua Tanks,-
Cadre.Group.AquaWarehouses.DisplayName,Aqua Warehouses,-
Cadre.LogLadder.DisplayName,Log Ladder,-
Cadre.LogLadder.Description,Log that the beavers gnawed at to make climbable,-
Cadre.LogLadder.FlavourDescription,Of course they washed it in the river afterwards.,-
Cadre.AquaSmallPile.DisplayName,Aqua Small Pile,-
Cadre.AquaSmallPile.Description,Small pile that can be placed underwater,-
Cadre.AquaSmallPile.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaMediumPile.DisplayName,Aqua Medium Pile,-
Cadre.AquaMediumPile.Description,Medium Pile that can be submerged in water,-
Cadre.AquaMediumPile.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaBuriedPile.DisplayName,Aqua Buried Pile,-
Cadre.AquaBuriedPile.Description,Deeper Underground Pile that can be placed underwater,-
Cadre.AquaBuriedPile.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaSmallTank.DisplayName,Aqua Small Tank,-
Cadre.AquaSmallTank.Description,Small tank that can be placed underwater,-
Cadre.AquaSmallTank.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaMediumTank.DisplayName,Aqua Medium Tank,-
Cadre.AquaMediumTank.Description,Medium tank that can be placed underwater,-
Cadre.AquaMediumTank.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaLargeTank.DisplayName,Large Aqua Tank,-
Cadre.AquaLargeTank.Description,Large tank that can be placed underwater,-
Cadre.AquaLargeTank.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaSmallWarehouse.DisplayName,Aqua Small Warehouse,-
Cadre.AquaSmallWarehouse.Description,Small warehouse that can be placed underwater,-
Cadre.AquaSmallWarehouse.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaMediumWarehouse.DisplayName,Aqua Medium Warehouse,-
Cadre.AquaMediumWarehouse.Description,Medium Warehouse that can be placed underwater,-
Cadre.AquaMediumWarehouse.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaLargeWarehouse.DisplayName,Aqua Large Warehouse,-
Cadre.AquaLargeWarehouse.Description,Large warehouse that can be placed underwater,-
Cadre.AquaLargeWarehouse.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaNumberCruncher.DisplayName,Aqua Number Cruncher (DO NOT BUILD - CRASHES GAME),-
Cadre.AquaNumberCruncher.Description,Number Cruncher that can operate better underwater,-
Cadre.AquaNumberCruncher.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaWaterWheel.DisplayName,Aqua Water Wheel (DO NOT BUILD - CRASHES GAME),-
Cadre.AquaWaterWheel.Description,Water wheel that can be placed underwater,-
Cadre.AquaWaterWheel.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
Cadre.AquaCompactWaterWheel.DisplayName,Aqua Compact Water Wheel (DO NOT BUILD - CRASHES GAME),-
Cadre.AquaCompactWaterWheel.Description,Compact Water Wheel that can be placed under Compact Water,-
Cadre.AquaCompactWaterWheel.FlavourDescription,Result of the Peace Treaty between the Folktails and the IronTeeth,-
