ID,Text,Comment
KnatteTobbert.Tunnel_1.DisplayName,Tunnel 1x1,-
KnatteTobbert.Tunnel_2.DisplayName,Tunnel 2x1,-
KnatteTobbert.Tunnel_3.DisplayName,Tunnel 3x1,-
KnatteTobbert.Tunnel_4.DisplayName,Tunnel 4x1,-
KnatteTobbert.Tunnel_5.DisplayName,Tunnel 5x1,-
KnatteTobbert.Tunnel_6.DisplayName,Tunnel 6x1,-
KnatteTobbert.Tunnel_7.DisplayName,Tunnel 7x1,-
KnatteTobbert.Tunnel_8.DisplayName,Tunnel 8x1,-
KnatteTobbert.Tunnel_9.DisplayName,Tunnel 9x1,-
KnatteTobbert.Tunnel_1L.DisplayName,Tunnel à travers le levee,-
KnatteTobbert.Tunnel_1L.Description,Permet aux castors de passer à travers les digues.,-
KnatteTobbert.Tunnel.Description,Permet aux castors de passer à travers les montagnes.,-
KnatteTobbert.Tunnel.FlavorDiscription,Sais-tu à quel point il est difficile de modéliser et de texturer ? - KnatteAnka,-
KnatteTobbert.CategoryTunnel.DisplayName,Tunnels,-
KnatteTobbert.CategoryTunnel.Description,Tunnels au-delà des montagnes,-
KnatteTobbert.CategorySBridges.DisplayName,Ponts en acier,-
KnatteTobbert.CategorySBridges.Description,Pont entre les montagnes,-
KnatteTobbert.CategorySuspensionBridges.DisplayName,Ponts suspendus,-
KnatteTobbert.Bridge_1.DisplayName,Pont en acier 1x1,-
KnatteTobbert.Bridge_2.DisplayName,Pont en acier 2x1,-
KnatteTobbert.Bridge_3.DisplayName,Pont en acier 3x1,-
KnatteTobbert.Bridge_4.DisplayName,Pont en acier 4x1,-
KnatteTobbert.Bridge_5.DisplayName,Pont en acier 5x1,-
KnatteTobbert.Bridge_6.DisplayName,Pont en acier 6x1,-
KnatteTobbert.Bridge_7.DisplayName,Pont en acier 7x1,-
KnatteTobbert.Bridge_8.DisplayName,Pont en acier 8x1,-
KnatteTobbert.Bridge_9.DisplayName,Pont en acier 9x1,-
KnatteTobbert.Bridge_10.DisplayName,Pont en acier 10x1,-
KnatteTobbert.Bridge.Description,"Permet des chemins, des axes et des trains entre les montagnes.",-
KnatteTobbert.BridgeF.Description,"Permet de créer des chemins, des arbres de transmission et des trains entre les montagnes.  
Pont complet avec un début et une fin.",-
KnatteTobbert.Bridge.FlavorDiscription,Chou Chou,-
Knatte.SmallGate.DisplayName,Petite porte,-
Knatte.SmallGate.Description,Équilibre les biens entre les deux districts connectés. Chaque côté a un travailleur qui distribue des biens entre la Petite Porte et le reste du district.,-
Knatte.SmallGate.FlavorDescription,L'objet de base du jeu supprimé dans la mise à jour 4 est réutilisé.,-
Knatte.DecoSmallGate.DisplayName,Arcway U3,-
Knatte.DecoSmallGate.Description,Arcade de décoration de la mise à jour 3,-
Knatte.MetalPillar.DisplayName,Pilier en métal,-
Knatte.MetalPillars.DisplayName,Pilier en métal avec support,-
Knatte.MetalPillar.Description,Laissez-le s'élever,-
Knatte.MetalPillar.FlavorDescription,"""Réservons un endroit !"" - Castor industrieux",-
Knatte.MetalPlatform.DisplayName,Plateforme en métal,-
Knatte.MetalPlatform.Description,Une plateforme avec 4 jambes,-
Knatte.MetalPlatform.FlavorDescription,"""Cette table avait l'air plus petite dans le catalogue."" —Ma' Ngonel",-
Knatte.MetalPlatform5x3.DisplayName,Plateforme en métal 5x3,-
Knatte.MiddleOverhang3x1.DisplayName,Dépassement moyen en métal 3x1,-
Knatte.MiddleOverhang4x1.DisplayName,Surplomb métallique moyen 4x1,-
Knatte.MiddleOverhang5x1.DisplayName,Surplomb métallique moyen 5x1,-
Knatte.MiddleOverhang7x1.DisplayName,Surplomb Métallique Moyen 7x1,-
Knatte.MiddleOverhang.Description,"Surplomb qui va dans 2 directions  
Le marquage doré indique l'emplacement du pilier",-
Knatte.MiddleOverhang.FlavorDescription,Quelle direction veux-tu prendre ?,-
Knatte.ArcOverhang3x1.DisplayName,Surplomb d'arc métallique 3x1,-
Knatte.ArcOverhang4x1.DisplayName,Surplomb en arc métallique 4x1,-
Knatte.ArcOverhang5x1.DisplayName,Surplomb d'arc métallique 5x1,-
Knatte.ArcOverhang6x1.DisplayName,Surplomb en arc métallique 6x1,-
Knatte.ArcOverhang.Description,Surplomb avec un pilier de chaque côté,-
Knatte.ArcOverhang.FlavorDescription,"""Regarde regarde un Arc"" - un kit de Castor",-
Knatte.Aque_MetalBigPillarBase.DisplayName,Grande base de pilier métallique pour aqueduc,-
Knatte.Aque_MetalBigPillarMid.DisplayName,Grand Pilier Métallique du Grand Aqueduc Au Milieu,-
Knatte.Aque_MetalBigPillarTop.DisplayName,Gros pilier en métal d'aqueduc supérieur,-
Knatte.Aque_MetalBigPillar.Description,"Grand pilier en métal de l'ancienne version du jeu, divisé en plusieurs morceaux pour pouvoir être construit à n'importe quelle hauteur. La pièce supérieure peut avoir des plateformes et des débords à l'intérieur.",-
Knatte.Aque_MetalBigPillar.FlavorDescription,"""Cette table avait l'air plus petite dans le catalogue."" —Ma' Ngonel",-
Knatte.MetalBigPillarBase.DisplayName,Grande base en métal pour pilier,-
Knatte.MetalBigPillarMid.DisplayName,Grand pilier métallique du milieu,-
Knatte.MetalBigPillarTop.DisplayName,Grand Pilier Métallique Supérieur,-
Knatte.MetalBigPillar.Description,"Grand pilier en métal de l'ancienne version du jeu, divisé en plusieurs morceaux afin qu'il puisse être construit à n'importe quelle hauteur. La pièce du haut peut avoir des plateformes et des avant-toits à l'intérieur.",-
Knatte.MetalBigPillar.FlavorDescription,"""Cette table avait l'air plus petite dans le catalogue."" —Ma' Ngonel",-
