ID,Text,Comment
AnalyticsConsent.Agree,"Oui, j'y consens.",-
AnalyticsConsent.Disagree,"Non, je ne donne pas mon consentement.",-
AnalyticsConsent.Header,Collecte de statistiques de jeu,-
AnalyticsConsent.Info,"Nous vous prions de nous aider à améliorer le jeu en partageant avec nous comment vous jouez à Timberborn.

Avec votre consentement, Timberborn collecte automatiquement des données statistiques de jeu pendant que vous jouez.

Vous pouvez retirer votre consentement à tout moment dans les paramètres du jeu et supprimer les données collectées. Pour plus d'informations, veuillez lire <link><u>notre politique de confidentialité</u></link>.

Merci !",-
Attractions.LoadRate,Popularité,-
Attractions.Visitors,Visiteurs,-
Attractions.VisitorsLimit,Capacité : {0},-
Autosave.Success,Sauvegarde automatique,-
Autosave.Failure,La sauvegarde automatique a échoué.,-
Autosave.FailureDueToFullDisk,La sauvegarde automatique a échoué car il n'y a pas assez d'espace disque.,-
BatchControl.Distribution,Distribution,-
BatchControl.Housing,Résidence,-
BatchControl.Mechanical,Pousse,-
BatchControl.Migration,Errance,-
BatchControl.NoDistrict,Aucun district sélectionné.,-
BatchControl.Population,Population,-
BatchControl.ShowInfo,Gestion de la commune,-
BatchControl.Storage,Stockage,-
BatchControl.Workplaces,Lieux de travail,-
Beaver.Adult.PrefabName,Castor adulte,-
Beaver.Adulthood,Croissance,-
Beaver.Age,Kor : {0},-
Beaver.Child.PrefabName,Hódkölyök,-
Beaver.DeadNameSuffix,(décédé),-
Beaver.DiedOldAge,{0} est mort dans sa vieillesse.,-
Beaver.Employment,Emploi,-
Beaver.GrewUp,{0} adulte.,-
Beaver.House,{0} vit dans.,-
Beaver.Homeless,SDF (Sans Domicile Fixe),-
Beaver.HomelessPlural,SDF (Sans domicile fixe),-
Beaver.Launched,{0} a décollé.,-
Beaver.PluralDisplayName,Blaireaux,-
Beaver.Population.Adults,Adultes,-
Beaver.Population.Children,Chiens,-
Beaver.Population.ContaminatedAdults,Adultes contaminés,-
Beaver.Population.ContaminatedChildren,Chiots contaminés,-
Beaver.Population.Contaminated,Pollué,-
Beaver.Unemployed,Chômeur,-
Beaver.UnemployedPlural,Sans emploi,-
Beaver.Workplace,Lieu de travail : {0},-
Bonus.CarryingCapacity,Capacité de transport,-
Bonus.CuttingSuccessChance,Chance de coupe,-
Bonus.GrowthSpeed,Taux de croissance,-
Bonus.LifeExpectancy,Espérance de vie,-
Bonus.MovementSpeed,Vitesse de mouvement,-
Bonus.Source,{0} a reçu :,-
Bonus.WorkingSpeed,"Munkasebesség se traduit par ""Vitesse de travail"" en français.",-
Bot.BeaversPerished,"Les castors ? Autant les laisser de côté.  
Autrefois, ils avaient tout : de l'air frais, de l'eau cristalline.  
Aujourd'hui, ils ne sont plus que des ombres au bord du temps.",-
Bot.Created,{0} est prêt !,-
Bot.DeadNameSuffix,(détruit),-
Bot.DeathMessage,{0} a été pillé.,-
Bot.DisplayName.Folktails,{0}.sz. fa robot,-
Bot.DisplayName.IronTeeth,robot en métal {0}.sz.,-
Bot.Durability,Durabilité,-
Bot.PluralDisplayName,Robot,-
Bot.PrefabName,Robot,-
Breeding.NutrientBringing,"Les fournisseurs, les chômeurs et les travailleurs (après le travail) apportent les nutriments.",-
Breeding.NutrientsNeeded,Nutriments nécessaires :,-
Breeding.Progress,Processus d'incubation,-
BugTracker.Prompt,Vous serez redirigé vers la page de signalement des erreurs en ligne : {0}.,-
BuilderPriorityTool.Description,"Utilisez cet outil pour définir les priorités de construction, de démolition et de collecte des débris.",-
BuilderPriorityTool.Tip,"Cliquez sur un élément pour définir la priorité, ou maintenez le bouton enfoncé pour sélectionner une plus grande zone.",-
Building.Agora.Description,Un grand lieu de rassemblement où les castors peuvent débattre de questions sérieuses concernant les arbres.,-
Building.Agora.DisplayName,Agora,-
Building.Agora.FlavorDescription,"""Les castors ont le droit à la liberté d'expression !"" —Kazkó bá",-
Building.AdvancedBreedingPod.Description,Il utilise un processus d'incubation avancé pour produire des castors adultes qui se mettent immédiatement au travail.,-
Building.AdvancedBreedingPod.DisplayName,Incubateur avancé,-
Building.AdvancedBreedingPod.FlavorDescription,"Selon la légende, un jeune castor est tombé dans un réservoir d'extraits et le lendemain, il avait déjà rongé trois arbres.",-
Building.AquaticFarmhouse.Description,Elle emploie des agriculteurs spécialisés dans la culture des plantes aquatiques.,-
Building.AquaticFarmhouse.DisplayName,Maison de cultivateur aquatique,-
Building.AquaticFarmhouse.FlavorDescription,"""Halte ici?! Mais nous serions des loutres, pas des loutres !"" —Grand-mère Nóra",-
Building.BadwaterDischarge.Description,"Ferme une source d'eaux usées. Peut être ouvert et fermé selon les besoins. En position ouverte, il maintient l'écoulement des eaux usées même en période de sécheresse.",-
Building.BadwaterDischarge.DisplayName,Mauvaise évacuation des eaux usées,-
Building.BadwaterDischarge.FlavorDescription,Accès réservé aux ingénieurs disposant d'une certification RCE. Un commentaire YouTube ne compte pas comme référence.,-
Building.BadwaterDome.Description,Ferme une source d'eaux usées. Peut être ouvert et fermé selon les besoins.,-
Building.BadwaterDome.DisplayName,Rosszvízkupola,-
Building.BadwaterDome.FlavorDescription,"Il n'y a pas d'eau sale, il n'y a pas de pleurs.",-
Building.BadwaterPump.Description,Pompe renforcée capable d'aspirer des eaux usées. Plus lente avec une faible pollution.,-
Building.BadwaterPump.DisplayName,Pompe à eaux usées,-
Building.BadwaterPump.FlavorDescription,"""La protection supplémentaire est bien, mais une pince à nez aurait aussi pu faire l'affaire."" — Zsömi",-
Building.BadwaterRig.Description,Il ferme une source d'eaux usées. Les travailleurs extraient les eaux usées directement de la source.,-
Building.BadwaterRig.DisplayName,Mauvaise eau potable,-
Building.BadwaterRig.FlavorDescription,"A mauvaise humeur bouillonne, les travailleurs sont tendus - la pression vient de tous les côtés.",-
Building.BadwaterSource.DisplayName,Mauvaise source d'eau,-
Building.BadwaterSource.FlavorDescription,"""Pourquoi devons-nous nettoyer la saleté des hommes ? Ah oui, parce qu'ils sont tous morts."" — Tobzi",-
Building.ContaminationBarrier.Description,Stoppe l'expansion de la pollution des sols.,-
Building.ContaminationBarrier.DisplayName,Système de pollution,-
Building.ContaminationBarrier.FlavorDescription,"""Fermez la pollution, ainsi la terre sera fertile !"" — affiche de motivation",-
Building.Bakery.Description,Il cuit du pain et des pâtisseries à partir de différentes farines.,-
Building.Bakery.DisplayName,Boulangerie,-
Building.Bakery.FlavorDescription,"""Il n'y a rien de mieux qu'un petit pain chaud parsemé de copeaux de bois !"" — Grand-mère Nóra",-
Building.Barrack.Description,Hébergement pratique et commun.,-
Building.Barrack.DisplayName,Laktanya,-
Building.Barrack.FlavorDescription,Deux personnes de Virágvölgy entrent dans une caserne. — Blague des dents en fer,-
Building.BeaverBust.Description,Un buste de castor qui semble important.,-
Building.BeaverBust.DisplayName,Buste de loutre,-
Building.BeaverBust.FlavorDescription,"A csínytevő hódkölykök előszeretettel """"díszítik"""" Kazkó bá szobrát.",-
Building.BeaverStatue.Description.Folktails,Une statue d'un castor bien nourri.,-
Building.BeaverStatue.Description.IronTeeth,Une statue d'une loutre qui travaille dur.,-
Building.BeaverStatue.DisplayName,Sculpture de loutre,-
Building.BeaverStatue.FlavorDescription.Folktails,"Sa vue me remplit de fierté durant les bonnes années, et de faim durant les mauvaises.",-
Building.BeaverStatue.FlavorDescription.IronTeeth,La sarlote a été retirée car elle était jugée trop fleurie.,-
Building.Beehive.Description,Favorise la croissance des plantes environnantes.,-
Building.Beehive.DisplayName,Méhkas,-
Building.Beehive.FlavorDescription,""" Avec le temps, le castor s'habitue au bourdonnement."" — Grand-mère Nóra",-
Building.Bell.Description,Il indique le début et la fin de la journée de travail avec sa main.,-
Building.Bell.DisplayName,Harang,-
Building.Bell.FlavorDescription,"""Le meilleur moment de la nuit, c'est le chant des cloches du matin !"" —Kazkó bá",-
Building.Bench.DisplayName,Tapis,-
Building.Bench.FlavorDescription,"Parfois, il y a un ou deux vandales qui mangent le patrimoine public.",-
Building.Blockage.Description,Obstacle naturel qui bloque le passage de l'eau. Peut être démoli.,-
Building.Blockage.DisplayName,Hordalékkupac,-
Building.Blockage.FlavorDescription,Il est difficile de croire qu'il fut un temps où le barrage n'était fait que de boue et de branches.,-
Building.BotAssembler.Description,Il assemble des robots autonomes qui peuvent aider les castors dans leurs tâches quotidiennes.,-
Building.BotAssembler.DisplayName,Robot assembleur,-
Building.BotAssembler.FlavorDescription,"""Tout a commencé avec la question : ‘que se passerait-il si je ne travaillais pas aujourd'hui ?’"" — Tobzi",-
Building.BotPartFactory.Description,Il fabrique des pièces de robot.,-
Building.BotPartFactory.DisplayName,Usine de pièces détachées pour robots,-
Building.BotPartFactory.FlavorDescription,"""C'est prêt ! Mais que fait ici cette vis ?"" — Tobzi",-
Building.Brazier.Description,Feu dans une boîte décorative.,-
Building.Brazier.DisplayName,Paravent,-
Building.Brazier.FlavorDescription,"""Je rigole vraiment maintenant. Et l'ambiance aussi."" — Zsömi",-
