ID,Text,Comment
Cadre.Group.AquaPiles.DisplayName,アクアパイル,-
Cadre.Group.AquaTanks.DisplayName,アクアタンク,-
Cadre.Group.AquaWarehouses.DisplayName,アクア倉庫,-
Cadre.LogLadder.DisplayName,ログラダー,-
Cadre.LogLadder.Description,ビーバーがかじって登れるようにした木,-
Cadre.LogLadder.FlavourDescription,もちろん、その後彼らは川でそれを洗いました。,-
Cadre.AquaSmallPile.DisplayName,アクアスモールパイル,-
Cadre.AquaSmallPile.Description,水中に置くことができる小さな山です。,-
Cadre.AquaSmallPile.FlavourDescription,フォークテイルとアイアンティースの間の平和条約の結果,-
Cadre.AquaMediumPile.DisplayName,アクアミディアムパイル,-
Cadre.AquaMediumPile.Description,水中に置けるミディアムパイル,-
Cadre.AquaMediumPile.FlavourDescription,フォークテイルとアイアンティースの間の平和条約の結果,-
Cadre.AquaBuriedPile.DisplayName,アクア埋蔵パイル,-
Cadre.AquaBuriedPile.Description,水中に設置できる深い地下パイル,-
Cadre.AquaBuriedPile.FlavourDescription,フォークテイルとアイアンティースの間の平和条約の結果,-
Cadre.AquaSmallTank.DisplayName,アクア小型タンク,-
Cadre.AquaSmallTank.Description,水中に配置できる小型タンク,-
Cadre.AquaSmallTank.FlavourDescription,フォークテイルとアイアンティース間の和平条約の結果,-
Cadre.AquaMediumTank.DisplayName,アクアミディアムタンク,-
Cadre.AquaMediumTank.Description,水中に置くことができる中戦車,-
Cadre.AquaMediumTank.FlavourDescription,フォークテイルとアイアンティース間の平和条約の結果,-
Cadre.AquaLargeTank.DisplayName,アクア大型タンク,-
Cadre.AquaLargeTank.Description,水中に設置できる大型タンク,-
Cadre.AquaLargeTank.FlavourDescription,フォークテイルとアイアンティースの間の平和条約の結果,-
Cadre.AquaSmallWarehouse.DisplayName,アクア小型倉庫,-
Cadre.AquaSmallWarehouse.Description,水中に設置できる小型倉庫,-
Cadre.AquaSmallWarehouse.FlavourDescription,フォークテイルとアイアンティースの平和条約の結果,-
Cadre.AquaMediumWarehouse.DisplayName,アクアミディアム倉庫,-
Cadre.AquaMediumWarehouse.Description,水中に設置できる中型倉庫,-
Cadre.AquaMediumWarehouse.FlavourDescription,フォークテイルとアイアンティース間の平和条約の結果,-
Cadre.AquaLargeWarehouse.DisplayName,アクア大型倉庫,-
Cadre.AquaLargeWarehouse.Description,水中に置くことができる大型倉庫,-
Cadre.AquaLargeWarehouse.FlavourDescription,フォークテイルとアイアンティースとの間の平和条約の結果,-
Cadre.AquaNumberCruncher.DisplayName,アクアナンバークラッチャー（構築しないでください - ゲームがクラッシュします）,-
Cadre.AquaNumberCruncher.Description,水中でより良く動作する数値計算機,-
Cadre.AquaNumberCruncher.FlavourDescription,フォークテイルとアイアンティースの間の平和条約の結果,-
Cadre.AquaWaterWheel.DisplayName,アクアウォーターホイール（建設しないでください - ゲームがクラッシュします）,-
Cadre.AquaWaterWheel.Description,水中に設置できる水車,-
Cadre.AquaWaterWheel.FlavourDescription,フォークテイルとアイアンティースの間の平和条約の結果,-
Cadre.AquaCompactWaterWheel.DisplayName,アクアコンパクト水車（構築しないでください - ゲームがクラッシュします）,-
Cadre.AquaCompactWaterWheel.Description,コンパクトな水車をコンパクトウォーターの下に設置できます,-
Cadre.AquaCompactWaterWheel.FlavourDescription,フォークテイルズとアイアーンティース間の平和条約の結果,-
