ID,Text,Comment
eMka.GoodStatistics.BatchControlKeyBinding,オープングッズ統計タブ,-
eMka.GoodStatistics.BatchControlTabName,商品統計,-
eMka.GoodStatistics.DepletionDaysLeft,推定残り時間: {0},-
eMka.GoodStatistics.GoodSampleTime,{0} 前にサンプリングされました,-
eMka.GoodStatistics.GrowingDaysLeft,推定充填時間: {0},-
eMka.GoodStatistics.Settings.AnalyzeGoodsWithoutStockpiles,保管なしでの商品の分析,-
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThreshold,連続マイクロ変化の閾値,-
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThresholdTooltip,トレンドと見なすための連続したマイクロ変化の数（遅い日次変化の閾値以下）,-
eMka.GoodStatistics.Settings.EMAAnalyzerHeader,指数移動平均分析器,-
eMka.GoodStatistics.Settings.FastChangeThreshold,迅速な日次変化の閾値,-
eMka.GoodStatistics.Settings.IgnoreGoodsWithStorageLessThan,ストレージが以下のものを無視する,-
eMka.GoodStatistics.Settings.ModerateChangeThreshold,中程度の日次変動閾値,-
eMka.GoodStatistics.Settings.SamplesPerDay,1日あたりのサンプル数,-
eMka.GoodStatistics.Settings.SamplesToAnalyze,分析するサンプル,-
eMka.GoodStatistics.Settings.BaseSettings,基本設定,-
eMka.GoodStatistics.Settings.ShowTrendsOnTopBar,トップバーにトレンドを表示する,-
eMka.GoodStatistics.Settings.SlowChangeThreshold,遅い日々の変化の閾値,-
