ID,Text,Comment
Cordial.CutterTool.DisplayName,マークは伐採エリアを設定しました。,-
Cordial.CutterTool.Description,このツールを使用して、構成されたエリアや伐採する木の種類をマークします。,-
Cordial.CutterTool.CutterToolPanel.Title,カッターツール設定,-
Cordial.CutterTool.CutterToolPanel.Description,伐採する樹木の種類と/または伐採選択エリアを設定する,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern01,すべて,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern02,市松模様,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern03,ラインX,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern04,ラインY,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeAll,すべての樹木の種類,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeMark,木だけをマークする,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreStump,切り株を無視する,-
