ID,Text,Comment
Building.PipeBox.DisplayName,パイプ付きの箱,-
Building.PipeStraight.DisplayName,パイプストレート,-
Building.PipeTurn.DisplayName,パイプターン,-
Building.PipeTIntersection.DisplayName,パイプT字型接続,-
Building.PipeXIntersection.DisplayName,パイプX交差点,-
Building.PipeUpward.DisplayName,上向きパイプ,-
Building.PipeVertical.DisplayName,垂直パイプ,-
Building.PipeDownward.DisplayName,下向きパイプ,-
Building.PipeBox.Description,防水ブロックの中のパイプ。,-
Building.PipeValve.DisplayName,パイプバルブ,-
Building.PipeValve.Description,浸水していないときは水を捨ててください。,-
Building.PipeWaterPump.DisplayName,水ポンプ付きの箱,-
Building.PipeWaterPump.Description,最大深度6までの電力を使って水を移動します。,-
Building.PipeWaterPump.TakeToPipe,水をパイプに通してください。,-
Building.PipeWaterPump.TakeFromPipe,パイプから水を取ってください。,-
Building.PipeGeneric.Description,水を移動させる。,-
Building.PipeGeneric.Blocked.Short,パイプが詰まりました,-
Building.PipeGeneric.Blocked,いくつかのパイプの入口が他の建物や地形によって塞がれています。他のパイプのみと接続してください。,-
Building.WaterShield.DisplayName,ウォーターシールド,-
Building.WaterShield.Description,電源を入れると水をはじく強力な機械です。電力が切れると水没しないように注意してください。,-
