ID,Text,Comment
Faction.Emberpelts.DisplayName,エンバーペルツ,-
Faction.Emberpelts.Description,"エンバーペルトたちは赤色に対する親和性があり、暖かく居ることを好みます。時々、彼らは物が燃えるのをただ見ているのが好きです。
彼らは毛皮が濡れるのを好みません。
彼らのモットー：<i>火の心。</i>",-
Bot.DisplayName.Emberpelts,エンバーボット {0},-
Good.Brick.DisplayName,レンガ,-
Good.Brick.PluralDisplayName,レンガ,-
Good.Clay.DisplayName,クレイ,-
Good.Clay.PluralDisplayName,クレイ,-
Good.Coal.DisplayName,木炭,-
Good.Coal.PluralDisplayName,木炭,-
Good.Apple.DisplayName,リンゴ,-
Good.Apple.PluralDisplayName,リンゴ,-
Good.AppleJuice.DisplayName,アップルジュース,-
Good.AppleJuice.PluralDisplayName,りんごジュース,-
Good.Radish.DisplayName,大根,-
Good.Radish.PluralDisplayName,ラディッシュ,-
Good.Tomato.DisplayName,トマト,-
Good.Tomato.PluralDisplayName,トマト,-
Good.TomatoJuice.DisplayName,トマトジュース,-
Good.TomatoJuice.PluralDisplayName,トマトジュース,-
Good.Beetroot.DisplayName,ビート,-
Good.Beetroot.PluralDisplayName,ビート,-
Good.RedJuice.DisplayName,ビートと大根のジュース,-
Good.RedJuice.PluralDisplayName,ビートとラディッシュのジュース,-
Good.CornJuice.DisplayName,コーンジュース,-
Good.CornJuice.PluralDisplayName,トウモロコシジュース,-
Good.Pepper.DisplayName,ピーマン,-
Good.Pepper.PluralDisplayName,ベルペッパー,-
Good.Cornmeal.DisplayName,コーンミール,-
Good.Cornmeal.PluralDisplayName,コーンミール,-
Good.GrilledCorn.DisplayName,焼きとうもろこし,-
Good.GrilledCorn.PluralDisplayName,焼きトウモロコシ,-
Good.GrilledPepper.DisplayName,グリルされたパプリカ,-
Good.GrilledPepper.PluralDisplayName,グリルしたパプリカ,-
Good.ApplePie.DisplayName,アップルパイ,-
Good.ApplePie.PluralDisplayName,アップルパイ,-
Good.Cornbread.DisplayName, cornbreadの作り方,-
