ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3 ジャイアントセコイア,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? ツリー,-
MapMakerPlants.Brambles.DisplayName,イバラ,-
MapMakerPlants.NewVineV.DisplayName,ウィンス（縦）,-
MapMakerPlants.NewVineH.DisplayName,つる（水平）,-
MapMakerPlants.Waterbamboo.DisplayName,2x2 ウェストバンブー,-
MapMakerPlants.Baobab.DisplayName,5x5 バオバブ,-
MapMakerPlants.LemonTree.DisplayName,レモンツリー,-
MapMakerPlants.PinkBirch.DisplayName,エバー ブラッサム,-
MapMakerPlants.RuinedPath.DisplayName,壊れた道,-
MapMakerPlants.BrokenHouse.DisplayName,壊れた家（ログ）,-
MapMakerPlants.PlankRuin.DisplayName,壊れた家（板）,-
NaturalResource.PinkBirch.DisplayName,エヴァーブロッサム,-
Good.Pumpkin.DisplayName,カボチャ,-
Good.Pumpkin.PluralDisplayName,かぼちゃ,-
NaturalResource.Waterbamboo.DisplayName,信じられないほど背の高い竹,-
Lapantouflemagic.NewVineH.DisplayName,ぶどうのつる,-
MapMakerPlants.GearsRuin.DisplayName,壊れた家 (ギア),-
MapMakerPlantReader.GrapeNeed.DisplayName,ぶどう,-
MapMakerPlantReader.Lemonade.DisplayName,レモネード,-
MapMakerPlantReader.Lemonade.PluralDisplayName,レモネード,-
Good.RedGrapes.DisplayName,ぶどう,-
Good.RedGrapes.PluralDisplayName,ぶどう,-
MapMakerPlantReader.Lemons.DisplayName,レモン,-
MapMakerPlantReader.Lemons.PluralDisplayName,レモン,-
