ID,Text,Comment
Good.Stew.PluralDisplayName,シチュー,-
Faction.waterbeavers.DisplayName,ホワイトポーズ,-
Faction.waterbeavers.Description,"真のビーバーパスの信者にとって、すべてが家です。彼らの人口はしばしば制御を超えて爆発し、食料や水は尽き、科学は贅沢となり、あなたの敗北は避けられません。

他の派閥が教えたことは忘れて、あなたの一番恐ろしい悪夢へようこそ。
<color=red>ぜひビルボードをチェックしてください！</color>

<color=black>ビーバーのアートとテクスチャはWolfessによるもので、心から感謝します！多くのアイコンはThorlakによるもので、こちらも大いに感謝します！</color>",-
trashdump.DisplayName,壊れた探検用のカート,-
trashdump.Description,最初の地区センター、そう呼べるなら。より良いタウンセンターを建設してからのみ解体してください。,-
trashdump.FlavorDescription,"「これ以上進むことはできませんが、ここで落ち着くことができます」  
-探検隊の隊長",-
Luc.Primitivemine.DisplayName,原始鉱山,-
Luc.Primitivemine.Description,"鉱物資源を得るための小さく非効率的な方法  
<color=green>地面の2階層下を目指す必要があります</color>",-
Luc.Primitivemine.FlavorDescription,ビーバーは岩を掘るために存在しているわけではありません。,-
Lapantouflemagic.Mediummine.DisplayName,中型鉱山,-
Lapantouflemagic.Mediummine.Description,"より大きく、深い鉱山は、より豊富な鉱床を採掘するために、また、より希少な元素にアクセスすることも可能にします。
子供たちが落ちたり怪我をしないように、アクセス用の階段とバリアが付いています。
<color=green>4深さの穴に設置する必要があります！
鉱山とフェンスはしっかりした地面に設置してください！
階段は土の上に置き、アクセスランプを完成させてください。</color>",-
Lapantouflemagic.Mediummine.FlavorDescription,"「私は幽霊やモンスターを信じていません。そもそもグルーは何なのでしょう？」  
- マイナー・ゾーク、最後の言葉",-
Lapantouflemagic.Primitivesmetler.DisplayName,原始の溶鉱炉,-
Lapantouflemagic.Primitivesmetler.Description,"鉄鉱石と石炭の混合物を土の鋳型に入れて火をつける。  
<color=#FF6EC7>労働者なしでも機能する。</color>",-
Lapantouflemagic.Primitivesmetler.FlavorDescription,「レシピは確かですか？」,-
Lapantouflemagic.Woodburner.DisplayName,薪ストーブ,-
Lapantouflemagic.Woodburner.Description,木材を炭に変える特別な焚き火台です。<color=#FF6EC7>作業員なしで機能することができます。</color>,-
Lapantouflemagic.Woodburner.FlavorDescription,「おお、それはおがくずを処理する素晴らしい方法だね！うん、おがくず…もちろん。」 - 噛み千切りのジャック,-
Lapantouflemagic.Screwpress.DisplayName,スクリュープレス,-
Lapantouflemagic.Screwpress.Description,"ひまわりの種から油を抽出するための強力なプレス。
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Screwpress.FlavorDescription,「サ sunflower油、サラダと機械の両方に欠かせない」,-
Lapantouflemagic.Alchemist.DisplayName,錬金術師,-
Lapantouflemagic.Alchemist.Description,基本的な化学反応を準備するための居心地の良い実験室。<color=#00FFFF>堤防として機能します</color>,-
Lapantouflemagic.Alchemist.FlavorDescription,「爆発しなければいいのですが」,-
Lapantouflemagic.Handicrafter.DisplayName,ハンディクラフターズ ロッジ,-
Lapantouflemagic.Handicrafter.FlavorDescription,「それをたくさん必要としない限りは...」,-
Lapantouflemagic.Copistlodge.DisplayName,写字生宿舎,-
Lapantouflemagic.Copistlodge.Description,"既存の設計図をコピーするためのタウンハウス。  
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Copistlodge.FlavorDescription,「だから、私の仕事の最初の部分は、これらのばかげた装飾を取り除くことです。」 - コピーストビーバー,-
Lapantouflemagic.Artsylodge.DisplayName,アーティストロッジ,-
Lapantouflemagic.Artsylodge.Description,"装飾用のコピーされた設計図のタウンハウス。  
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Artsylodge.FlavorDescription,"「はい、設計図は使えるために豪華でなければなりません」  
-アーティストビーバー",-
Lapantouflemagic.Builderslodge.DisplayName,ビルダー小屋,-
Lapantouflemagic.Builderslodge.Description,"二人用のタウンハウス。  
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Builderslodge.FlavorDescription,「やっと自分のスペースができた！」,-
Luc.Lodge.Description,"運搬ビーバーのための小さな家。  
<color=#00FFFF>堤防として機能する</color>",-
Lapantouflemagic.primitivedam.DisplayName,原始ダム,-
Lapantouflemagic.primitivedam.Description,昔のビーバーたちが使っていたように作られた半水-tight構造。,-
Lapantouflemagic.primitivedamupgrade.DisplayName,原始ダムのアップグレード,-
Lapantouflemagic.primitivedamupgrade.Description,以前のダムの上に建設された高いダム。,-
Lapantouflemagic.primitivedamupgrade.FlavorDescription,「これで何とか生き延びられるかもしれません。」,-
Lapantouflemagic.primitivedamUtility.DisplayName,ユーティリティダム,-
Lapantouflemagic.primitivedamUtility.FlavorDescription,かなり便利ですね！,-
Lapantouflemagic.LogstairsWB.DisplayName,ログ階段,-
Lapantouflemagic.logstairsWB.DisplayName,ブラウンのログ階段,-
Lapantouflemagic.BirchlogstairsWB.DisplayName,バーチログ階段,-
Lapantouflemagic.ScramblelogstairsWB.DisplayName,スクランブルロゴ階段,-
Lapantouflemagic.logstairsWB.Description,原始的な階段に配置された一 bunch の丸太。,-
Lapantouflemagic.logstairsWB.FlavorDescription,"「そして<i>それが</i>私たちに教育が必要な理由です」  
- 科学者のビーバー",-
Lapantouflemagic.CrappyplatformWB.DisplayName,クソプラットフォーム,-
Lapantouflemagic.CrappyplatformWB_brown.DisplayName,茶色いクソプラットフォーム,-
Lapantouflemagic.CrappyplatformWB_birch.DisplayName,バーチクレッピー プラットフォーム,-
Lapantouflemagic.CrappyplatformWB_scramble.DisplayName,くずプラットフォーム,-
Lapantouflemagic.CrappyplatformWB.Description,ビーバーたちにとって恥ずかしい、ひどい言い訳のようなプラットフォームです。,-
Lapantouflemagic.CrappyplatformWB.FlavorDescription,"「そして<i>それもまた</i>、私たちが教育を必要とする理由です」  
- 科学者ビーバー",-
Luc.crappyWaterWheel.DisplayName,ひどい水車,-
Luc.crappyWaterWheel.Description,粗雑に作られたが、簡単に作れる水車。,-
Luc.crappyWaterWheel.FlavorDescription,"「こんなにも摩擦があるのだから、火がつかなかっただけでも幸運だ！」  
- アルケミストビーバー",-
Lapantouflemagic.Crappywindmill3.DisplayName,クソ風車 H3,-
Lapantouflemagic.Crappywindmill3.Description,低い位置にあるため、わずかな電力しか生成できない小さな風車です。地上から少なくとも<color=red>3メートル</color>の高さに設置する必要があります。,-
Lapantouflemagic.Crappywindmill3.FlavorDescription,"「これは何ですか？私たちは水ビーバーと呼ばれているのに、風ビーバーとは呼ばれていません！」  
-探検隊のリーダー",-
Lapantouflemagic.Crappywindmill6.DisplayName,クソ風車 H6,-
Lapantouflemagic.Crappywindmill6.Description,中程度の高さのため、ほぼ十分な量の電力を生成する小さな風車です。地面から少なくとも<color=red>6メートル</color>の高さに建設する必要があります。,-
Lapantouflemagic.Crappywindmill6.FlavorDescription,「言ったでしょう、私たちは水ビーバーと呼ばれているんだ、風ビーバーじゃないよ！」 -探検隊の隊長,-
Lapantouflemagic.Crappywindmill9.DisplayName,クソ風車 H9,-
Lapantouflemagic.Crappywindmill9.Description,高所にあるため、尊敬できる量の電力を生成する小さな風車。地上から少なくとも<color=red>9メートル</color>の高さに建設する必要があります。,-
