ID,Text,Comment
Building.PipeBox.DisplayName,パイプ付きの箱,-
Building.PipeStraight.DisplayName,パイプストレート,-
Building.PipeTurn.DisplayName,パイプの曲がり,-
Building.PipeTIntersection.DisplayName,パイプT字接続,-
Building.PipeXIntersection.DisplayName,パイプX交差点,-
Building.PipeUpward.DisplayName,上向きパイプ,-
Building.PipeVertical.DisplayName,垂直パイプ,-
Building.PipeDownward.DisplayName,下りパイプ,-
Building.PipeBox.Description,防水ブロック内のパイプ。,-
Building.PipeValve.DisplayName,パイプバルブ,-
Building.PipeValve.Description,水に浸されていない場合は水を捨ててください。,-
Building.PipeWaterPump.DisplayName,水ポンプ付きの箱,-
Building.PipeWaterPump.Description,最大深度6までの電力を使用して水を移動させます。,-
Building.PipeWaterPump.TakeToPipe,水を配管に持って行ってください。,-
Building.PipeWaterPump.TakeFromPipe,パイプから水を取ってください。,-
Building.PipeGeneric.Description,水を移動させる。,-
Building.PipeGeneric.Blocked.Short,パイプが詰まっています,-
Building.PipeGeneric.Blocked,いくつかのパイプの入口が別の建物や地形によってブロックされています。他のパイプのみと接続してください。,-
Building.WaterShield.DisplayName,水の盾,-
Building.WaterShield.Description,電力を供給すると水を弾く強力な機械です。電力が不足すると浸水しないように注意してください。,-
