ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Schody metalowe,-
KnatteTobbert.MetalStaircase.Description,Lepsze schody w metalu.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,"Mam nadzieję, że nie zardzewieje.",-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Metalowa klatka schodowa,-
KnatteTobbert.MetalSpiralStaircase.DisplayName,Metalowa spiralna klatka schodowa,-
KnatteTobbert.MetalSpiralStaircase.Description,Lepsze spiralne schody z metalu.,-
KnatteTobbert.MetalSpiralStaircase.FlavorDiscription,"""Schody do nieba"" - Stone Cold Jane Austen",-
KnatteTobbert.Staircases.DisplayName,Schody,-
KnatteTobbert.Platforms.DisplayName,Platformy,-
KnatteTobbert.SpiralStaircase.DisplayName,Kręcone Schody,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Schody do nieba"" - Stone Cold Jane Austen",-
KnatteTobbert.StaircaseLog.DisplayName,Schody,-
KnatteTobbert.StaircaseLog.FlavorDiscription,To jest duży chłopiec log w środku.,-
Knatte.Pillar.DisplayName,Filar,-
Knatte.Pillar.Description,Niech wzrasta,-
Knatte.Pillar.FlavorDescription,"""Zarezerwujmy miejsce!"" - Pracowity bóbr",-
Knatte.Pillars.DisplayName,Filar z wspornikiem,-
Knatte.Pillars.Description,Niech to wzrasta,-
Knatte.Pillars.FlavorDescription,"""Zajmijmy miejsce!"" - Pracowity bóbr",-
Knatte.Pillar_1.DisplayName,1 noga filaru,-
Knatte.Pillar_2.DisplayName,2 nogi filaru,-
Knatte.Pillar_3.DisplayName,3 Noga Filara,-
Knatte.Pillar_4.DisplayName,4 Nóżkowy Filar,-
Knatte.Pillar_X.Description,"Filary, które pozwalają na uzyskanie spersonalizowanych wyglądów. Mogą być łączone z klatką schodową, aby je ukryć, ale jednocześnie są modułowe.",-
Knatte.Pillar_X.FlavorDescription,"""Zajmijmy miejsce!"" - Pracowity bóbr",-
Knatte.StaircasePillar.DisplayName,Filary schodów,-
Knatte.StaircasePillar.Description,"Słupy do użycia z schodami, aby uzyskać ładny słup.",-
Knatte.StaircasePillar.FlavorDescription,"""Zajmijmy miejsce!"" - Pracowity bóbr",-
Knatte.PillarTop.DisplayName,Szczyt filaru,-
Knatte.PillarTop.Description,"Górna część do niestandardowych filarów lub elementów dekoracyjnych. Może być połączona ze schodami, aby je ukryć, ale można je również ustawiać w stosy.",-
Knatte.StaircasePlatform.DisplayName,Platforma 2x2,-
Knatte.StaircasePlatform.Description,Platforma z dużym logiem na środku,-
Knatte.StaircasePlatform.FlavorDescription,"""Zarezerwujmy miejsce!"" - Pracowity bóbr",-
