ID,Text,Comment
Knatte.Subgroup_MGShafts.DisplayName,Wały,-
Knatte.Subgroup_MGPower.DisplayName,Generatory prądu,-
Knatte.Subgroup_MGPiles.DisplayName,Tylne osłony,-
Knatte.Subgroup_MGWarehouses.DisplayName,Magazyny,-
Knatte.Subgroup_MGTanks.DisplayName,Czołgi,-
Knatte.Subgroup_MGStaircase.DisplayName,Schody,-
Knatte.Subgroup_MGPlatforms.DisplayName,Platformy,-
Knatte.Subgroup_MGMetalPlatform.DisplayName,Platformy metalowe,-
Knatte.Subgroup_MGBridges.DisplayName,Mosty wiszące,-
Knatte.Subgroup_MGAqueduct.DisplayName,Akwedukty,-
Knatte.Subgroup_MGFloodgates.DisplayName,Zaporowe bramy,-
Knatte.Subgroup_MGAqueduct_Floors.DisplayName,Podłogi akweduktu,-
Knatte.Subgroup_MGDynamite.DisplayName,Dynamitów,-
Knatte.Subgroup_MGRoofs.DisplayName,Dachy,-
Knatte.Subgroup_MGOverhangs.DisplayName,Nadwisy,-
Knatte.Subgroup_MGBigMetalPillar.DisplayName,Duże metalowe filary,-
Knatte.Subgroup_MGMetalOverhang.DisplayName,Dodatkowe metalowe występy,-
Knatte.Subgroup_MGPipe.DisplayName,Rury,-
Lapantouflemagic.logstairs.Description,Grupa kłód ułożonych w prymitywne schody.,-
Lapantouflemagic.Crappyplatform.Description,"Przykra wymówka dla platformy, upokorzenie dla bobrami.",-
