ID,Text,Comment
Knatte.Corner.DisplayName,Róg Dekoracji,-
Knatte.Corner.Description,Niech tama będzie osaczona.,-
Knatte.Corner.FlavorDescription,Nie blokuje wody,-
//,Error,-
Knatte.SQCorner.DisplayName,Dekoracyjny kwadratowy róg,-
Knatte.SQCorner.Description,Niech tama będzie osaczona.,-
Knatte.SQCorner.FlavorDescription,Nie blokuje wody.,-
Knatte.Diagonal.DisplayName,Dekoracja Diagonalna,-
Knatte.Diagonal.Description,Niech tama idzie na bok.,-
Knatte.Diagonal.FlavorDescription,Nie blokuje wody,-
Knatte.DiagonalS.DisplayName,Dekoracja na poziomej platformie wzdłuż przekątnej,-
Knatte.DiagonalS.Description,Niech tama pójdzie na bok i utworzy platformę.,-
Knatte.DiagonalS.FlavorDescription,Nie blokuje wody,-
Knatte.DiagonalW.DisplayName,Leeve Diagonal,-
Knatte.DiagonalW.Description,Niech tama idzie na bok.,-
Knatte.DiagonalW.FlavorDescription,Woda nie przejdzie,-
Knatte.InvCorner.DisplayName,Dekoracja wewnętrznego narożnika,-
Knatte.InvCorner.Description,Niech tamę zniedługo uwiążą.,-
Knatte.InvCorner.FlavorDescription,Nie blokuje wody,-
Knatte.InvCornerW.DisplayName,Zewnętrzny narożnik Leeve,-
Knatte.InvCornerW.Description,Niech tama będzie zapędzona w róg.,-
Knatte.InvCornerW.FlavorDescription,Woda nie przejdzie,-
Knatte.Slope.DisplayName,Nachylenie dekoracji,-
Knatte.Slope.Description,Niech tama będzie nachylona.,-
Knatte.Slope.FlavorDescription,Nie blokuje wody,-
Knatte.CornerSlope.DisplayName,Dekoracja rogu nachyloną,-
Knatte.CornerSlope.Description,Niech tama będzie zapora.,-
Knatte.CornerSlope.FlavorDescription,Nie blokuje wody,-
Knatte.Square.DisplayName,Sześcian dekoracyjny,-
Knatte.Square.Description,Tama Kwadrat,-
Knatte.Square.FlavorDescription,Nie blokuje wody,-
Knatte.Square2W.DisplayName,Levee 2x2,-
Knatte.Square3W.DisplayName,Levee 3x3,-
Knatte.SquareW.Description,Niech będzie wielkie.,-
Knatte.SquareW.FlavorDescription,Woda nie przejdzie,-
Knatte.SquareW1x2.DisplayName,Wał 1x2,-
Knatte.SquareW1x3.DisplayName,Tama leve 1x3,-
Knatte.SquareW2x1.DisplayName,Levee 2x1,-
Knatte.SquareW2x3.DisplayName,Tama 2x3,-
Knatte.SquareW3x1.DisplayName,Levee 3x1,-
Knatte.SquareW3x2.DisplayName,Levee 3x2,-
Knatte.HighDam.DisplayName,Wysoka Tama,-
Knatte.HighDam.Description,"Blokuje wodę, ale pozwala na przepuszczenie mniejszej ilości (85%) przez przelew na górze. Wyższe ryzyko powodzi!",-
Knatte.HighDam.FlavorDescription,Woda nie przejdzie,-
Knatte.Corner2X.DisplayName,"Róg Dekoracyjny  
Podwójna Wysokość",-
Knatte.Corner2X.Description,Niech tama będzie osaczona.,-
Knatte.Corner2X.FlavorDescription,Nie blokuje wody,-
Knatte.SQCorner2X.DisplayName,"Dekoracyjny kwadratowy róg  
Podwójna wysokość",-
Knatte.SQCorner2X.Description,Niech Tama będzie w kącie.,-
Knatte.SQCorner2X.FlavorDescription,Nie blokuje wody,-
Knatte.Diagonal2X.DisplayName,"Dekoracja Diagonalna
Podwójna Wysokość",-
Knatte.Diagonal2X.Description,Niech tamę przekręcą na bok.,-
Knatte.Diagonal2X.FlavorDescription,Nie blokuje wody,-
Knatte.InvCornerS2X.DisplayName,Dekoracja wewnętrznego narożnika platformy bocznej o podwójnej wysokości,-
Knatte.InvCornerS2X.Description,Niech Tama idzie na bok i ma platformę.,-
Knatte.InvCornerS2X.FlavorDescription,Nie blokuje wody,-
Knatte.InvCorner2X.DisplayName,"Dekoracja narożnika wewnętrznego
Podwójna wysokość",-
Knatte.InvCorner2X.Description,Niech tama będzie osaczona.,-
Knatte.InvCorner2X.FlavorDescription,Nie blokuje wody,-
Knatte.InvCornerW2X.DisplayName,"Róg Wewnętrzny Leeve
Podwójna Wysokość",-
Knatte.InvCornerW2X.Description,Niech tama będzie uwięziona.,-
Knatte.InvCornerW2X.FlavorDescription,Woda nie przejdzie,-
Knatte.Slope2X.DisplayName,"Dekoracja Skośna 
Podwójna Wysokość",-
Knatte.Slope2X.Description,Niech tamę nachylimy.,-
Knatte.Slope2X.FlavorDescription,Nie blokuje wody,-
Knatte.CornerSlope2X.DisplayName,"Dekoracja na narożniku o nachyleniu 
Podwójna wysokość",-
Knatte.CornerSlope2X.Description,Niech zapora będzie osaczona.,-
Knatte.CornerSlope2X.FlavorDescription,Nie blokuje wody.,-
Knatte.Corner3X.DisplayName,"Rog cielowy 
Potrójna wysokość",-
Knatte.Corner3X.Description,Niech tama będzie zablokowana.,-
Knatte.Corner3X.FlavorDescription,Nie blokuje wody,-
