ID,Text,Comment
Good.Timbit.DisplayName,Timberbit,-
Good.Timbit.PluralDisplayName,Timberbits,-
Good.BeaverTail.DisplayName,Łapka bobra,-
Good.BeaverTail.PluralDisplayName,Ogony bobra,-
Need.Timbit.DisplayName,Timberbit,-
Need.Timbit.PluralDisplayName,Timberbits,-
Need.BeaverTail.DisplayName,łapka bobra,-
Need.BeaverTail.PluralDisplayName,Beavertails,-
Building.TimHortons.DisplayName,Tim Hortons,-
Building.TimHortons.Description,"Gdzie bobry zbierają się, aby cieszyć się świeżo przygotowanymi Timberbits",-
Building.TimHortons.FlavorDescription,"""Jeśli nie chrupiesz Timberbits, to czy w ogóle jesteś bobrem?"" —Ma' Ngonel",-
