ID,Text,Comment
IgorZ.Automation.CancelTool.Description,"Użyj tego narzędzia, aby oczyścić wszelką automatyzację w budynkach lub na placach budowy.",-
IgorZ.Automation.CancelTool.Title,Anuluj automatyzację,-
IgorZ.Automation.CheckAccessBlockCondition.Blocking.Description,<YellowHighlight>blokuje ścieżkę</YellowHighlight>,-
IgorZ.Automation.CheckAccessBlockCondition.NotBlocking.Description,<YellowHighlight>nie blokuje ścieżki</YellowHighlight>,-
IgorZ.Automation.CheckAccessBlockCondition.NotYetReachable,"Budowniczy jeszcze nie mogą się tam dostać, ale ścieżka jest w budowie.",-
IgorZ.Automation.CheckAccessBlockCondition.UnreachableAlert,Niedostępny plac budowy,-
IgorZ.Automation.CheckAccessBlockCondition.UnreachableStatus,Budowniczowie nie mogą znaleźć drogi do tej lokalizacji. Może nic tutaj nie można zbudować.,-
IgorZ.Automation.DebugFinishNowTool.Description,Natychmiast kończy wybrane konstrukcje.,-
IgorZ.Automation.DebugFinishNowTool.Title,Zakończ teraz narzędzie debugowania,-
IgorZ.Automation.DebugPickTool.Description,Drukuje komponenty na wybranym obiekcie.,-
IgorZ.Automation.DebugPickTool.DescriptionHint1,"Naciśnij <i>SHIFT</i>, aby wydrukować Dostępne.",-
IgorZ.Automation.DebugPickTool.DescriptionHint2,"Przytrzymaj <i>CTRL</i>, aby wydrukować krawędzie NavMesh.",-
IgorZ.Automation.DebugPickTool.Title,Narzędzie do debugowania,-
IgorZ.Automation.PauseTool.Description,"Użyj tego narzędzia, aby wstrzymać budowy i place budowy.",-
IgorZ.Automation.PauseTool.Title,Wstrzymaj budynki,-
IgorZ.Automation.ResumeTool.Description,"Użyj tego narzędzia, aby wznowić budynki i placówki budowlane.",-
IgorZ.Automation.ResumeTool.Title,Wznów budynki,-
IgorZ.Automation.ShowStatusAction.AutomationErrorAlert,Błąd automatyzacji,-
IgorZ.Automation.ShowStatusAction.AutomationErrorDescription,Niektóre zasady automatyzacji nie mogą być wykonane.,-
IgorZ.Automation.ShowStatusAction.HoldCompletionStatusText,Czekając na zakończenie budowy innych budynków,-
IgorZ.Automation.ShowStatusAction.HoldConstruction,<YellowHighlight>zatrzymaj zakończenie</YellowHighlight>,-
IgorZ.Automation.ShowStatusAction.ResumeConstruction,tworzenie CV,-
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,Wybuchnij dynamit 2 razy,-
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,Wybuchnij dynamit 3 razy.,-
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,Eksploduj dynamit 4 razy,-
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,Wybuchnij dynamit pięć razy.,-
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,Wybuchnij dynamit 6 razy,-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.Description,"Zastosuj szablon na zapory, które muszą się zamknąć, gdy zaczyna się zły przypływ.",-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.DisplayName,Zamknij grodzie na początek złej pływów.,-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.Description,"Zastosuj ten szablon do śluz, które muszą się otworzyć, gdy zaczyna się zły przypływ.",-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.DisplayName,Otwórz śluzy przy rozpoczęciu złej pływów.,-
IgorZ.Automation.Tool.tmpl.BadtidePause.Description,"Zastosuj ten szablon do budynków, które powinny pozostać wstrzymane podczas złych przypływów.",-
IgorZ.Automation.Tool.tmpl.BadtidePause.DisplayName,Zatrzymanie w czasie złej pływy,-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.Description,"Zastosuj ten szablon do budynków, które powinny działać tak długo, jak są wolne łóżka.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.DisplayName,"Biegaj, aż populacja bobrów osiągnie maksimum.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.Description,"Zastosuj ten szablon do budynków, które powinny pozostać wstrzymane, aż populacja bobrów spadnie o 10 bobrów poniżej obecnego poziomu.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.DisplayName,Populacja bobrów -10,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.Description,"Zastosuj ten szablon do budynków, które powinny pozostać wstrzymane do momentu, gdy populacja bobrów spadnie o 20 bobrów poniżej obecnego poziomu.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.DisplayName,Populacja bobrów -20,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.Description,"Zastosuj ten szablon do budynków, które powinny działać, aż populacja bobrów przekroczy obecny poziom o 10 bobrów.",-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.DisplayName,Populacja bobrów +10,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.Description,"Zastosuj ten szablon do budynków, które powinny działać, dopóki populacja bobrów nie przekroczy obecnego poziomu o 20 bobrów.",-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.DisplayName,Populacja bobrów +20,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.Description,"Zastosuj ten szablon do budynków, które muszą pozostać wstrzymane, dopóki populacja bobrów nie spadnie o 10 poniżej obecnego poziomu.",-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.DisplayName,Populacja botów -10,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.Description,"Zastosuj ten szablon do budynków, które muszą pozostać wstrzymane, aż populacja bobrów spadnie o 20 poniżej obecnego poziomu.",-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.DisplayName,Populacja botów -20,-
