ID,Text,Comment
Cordial.Building.Forester.Description,Siła sadzenia:,-
Cordial.ForesterUpdate.Fragment.NoUpdateOption,Żaden,-
Cordial.PlantingOverrideTool.Crop.DisplayName,Narzędzie do nadpisywania sadzenia roślin.,-
Cordial.PlantingOverrideTool.Crop.Description,Nadpisanie sadzenia istniejących upraw,-
Cordial.PlantingOverrideTool.Tree.DisplayName,Narzędzie do nadpisywania sadzenia leśnego,-
Cordial.PlantingOverrideTool.Tree.Description,Nadpisanie sadzenia istniejących drzew lub krzewów,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Title,Konfiguracja zastąpienia sadzenia,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Description,Wymień istniejącą roślinę na:,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.CuttingAreaRemove,Wyłącz obszar cięcia po zasadzeniu,-
Cordial.PlantBeehiveTool.DisplayName,Nadpis ula,-
Cordial.PlantBeehiveTool.Description,Zamień roślinę na ul.,-
Cordial.PlantBeehiveTool.FactionLock,To narzędzie nie jest dostępne dla:,-
Cordial.PlantBeehiveTool.BuildingLock,Ten budynek jest zamknięty.,-
Cordial.PlantBeehiveTool.Unlock,Narzędzie odblokowane!,-
