ID,Text,Comment
Knatte.DE_RMCorner.DisplayName,Dekoracyjny metalowy narożnik,-
Knatte.DE_RMCorner.Description,Niech Metalowa Tama Żebrowa będzie Narożna.,-
Knatte.DE_RMCorner.FlavorDescription,Nie blokuje wody,-
//,Error,-
Knatte.DE_RMSQCorner.DisplayName,Dekoracyjny metalowy kwadratowy róg,-
Knatte.DE_RMSQCorner.Description,Niech Żebrowana Tama Metalowa będzie Rogowa.,-
Knatte.DE_RMSQCorner.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMDiagonal.DisplayName,Dekoracja Metalowa Diagonalna,-
Knatte.DE_RMDiagonal.Description,Niech Żebrowana Tama Metalowa przesunie się na bok.,-
Knatte.DE_RMDiagonal.FlavorDescription,Nie blokuje wody.,-
Knatte.DE_RMDiagonalW.DisplayName,Leeve Diagonal,-
Knatte.DE_RMDiagonalW.Description,Niech karbowana tama metalowa pójdzie na bok.,-
Knatte.DE_RMDiagonalW.FlavorDescription,Woda nie przejdzie,-
Knatte.DE_RMInvCorner.DisplayName,Dekoracyjny metalowy narożnik wewnętrzny,-
Knatte.DE_RMInvCorner.Description,Niech Żebrowana Tama Metalowa będzie Narozna.,-
Knatte.DE_RMInvCorner.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMInvCornerW.DisplayName,Zewnętrzny narożnik Leeve,-
Knatte.DE_RMInvCornerW.Description,Niech Narożnik będzie wyposażony w Metalową Tamę z Żebrami.,-
Knatte.DE_RMInvCornerW.FlavorDescription,Woda nie przetrwa,-
Knatte.DE_RMSlope.DisplayName,Dekoracyjny metalowy stok,-
Knatte.DE_RMSlope.Description,Niech Żebrowana Tama Metalowa będzie Nachylona.,-
Knatte.DE_RMSlope.FlavorDescription,Nie blokuje wody.,-
Knatte.DE_RMCornerSlope.DisplayName,Dekoracja metalowego narożnika nachylonego,-
Knatte.DE_RMCornerSlope.Description,Niech metalowy staw z rowkami będzie narożny.,-
Knatte.DE_RMCornerSlope.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMSquare.DisplayName,Dekoracyjna metalowa kostka,-
Knatte.DE_RMSquare.Description,Tamowane Rybaka metalowa kwadrat,-
Knatte.DE_RMSquare.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMSquare2W.DisplayName,Metalny wał 2x2,-
Knatte.DE_RMSquare3W.DisplayName,Metal Levee 3x3,-
Knatte.DE_RMSquareW.Description,"Niech to będzie duże, z żebrowanego metalu.",-
Knatte.DE_RMSquareW.FlavorDescription,Woda nie przejdzie,-
Knatte.DE_RMSquareW1x1.DisplayName,Metal Levee 1x1,-
Knatte.DE_RMSquareW1x2.DisplayName,Metal Levee 1x2,-
Knatte.DE_RMSquareW1x3.DisplayName,Metal Levee 1x3,-
Knatte.DE_RMSquareW2x1.DisplayName,Metalowy Levee 2x1,-
Knatte.DE_RMSquareW2x3.DisplayName,Metalowa tamka 2x3,-
Knatte.DE_RMSquareW3x1.DisplayName,Metalowa tamka 3x1,-
Knatte.DE_RMSquareW3x2.DisplayName,Metalowa grobla 3x2,-
Knatte.DE_RMCorner2X.DisplayName,"Metalowy Kąt Dekoracyjny
Podwójna Wysokość",-
Knatte.DE_RMCorner2X.Description,Niech Stalowa Tama z Żebrami będzie narożna.,-
Knatte.DE_RMCorner2X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMSQCorner2X.DisplayName,"Dekoracja metalowego kwadratowego kąta
Podwójna wysokość",-
Knatte.DE_RMSQCorner2X.Description,Niech Żebrowana Tama Metalowa będzie Wyszczególniona.,-
Knatte.DE_RMSQCorner2X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMDiagonal2X.DisplayName,"Dekoracja Metalowa Przekątna 
Podwójna Wysokość",-
Knatte.DE_RMDiagonal2X.Description,Niech żebrowana tam metalowa przesunie się na bok.,-
Knatte.DE_RMDiagonal2X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMInvCornerS2X.DisplayName,Dekoracja Metalowy Wewnętrzny Kątowy Płyta Boczna Podwójna Wysokość,-
Knatte.DE_RMInvCornerS2X.Description,Niech Pofalowana Metalowa Tama pójdzie na bok i ma platformę.,-
Knatte.DE_RMInvCornerS2X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMInvCorner2X.DisplayName,"Dekoracja Metalowy Kątownik Wewnętrzny 
Podwójna Wysokość",-
Knatte.DE_RMInvCorner2X.Description,Niech Metalowa Tamka z Żebrami będzie narożna.,-
Knatte.DE_RMInvCorner2X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMInvCornerW2X.DisplayName,"Metalowa Levee Krawędź Wewnętrzna
Podwójna Wysokość",-
Knatte.DE_RMInvCornerW2X.Description,Niech rąbowa zapora metalowa będzie narożna.,-
Knatte.DE_RMInvCornerW2X.FlavorDescription,Woda nie przejdzie,-
Knatte.DE_RMSlope2X.DisplayName,"Dekoracja Metalowa Slope 
Podwójna Wysokość",-
Knatte.DE_RMSlope2X.Description,Niech Zaporę z Żebrowanego Metalu nachyli się.,-
Knatte.DE_RMSlope2X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMCornerSlope2X.DisplayName,"Dekoracja Metalowy Kąt Slope 
Podwójna Wysokość",-
Knatte.DE_RMCornerSlope2X.Description,Niech metalowa tama o żeberkowanej powierzchni będzie zakątowana.,-
Knatte.DE_RMCornerSlope2X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMCorner3X.DisplayName,"Dekoracyjny metalowy narożnik
Potrójna wysokość",-
Knatte.DE_RMCorner3X.Description,Niech żeberkowa tam metalowa będzie narożna.,-
Knatte.DE_RMCorner3X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMInvCorner3X.DisplayName,"Dekoracja Metalowy Wewnętrzny Narożnik 
Potrójna Wysokość",-
Knatte.DE_RMInvCorner3X.Description,Niech Żebrowana Tamę Metalowa będzie Wrogość.,-
Knatte.DE_RMInvCorner3X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMSlope3X.DisplayName,Dekoracja Metalowa Slope Potrójna Wysokość,-
Knatte.DE_RMSlope3X.Description,Niech Metalowy Tama Karbowany będzie nachylony.,-
Knatte.DE_RMSlope3X.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMInvCornerW3X.DisplayName,Zewnętrzny narożnik Leeve potrójnej wysokości,-
Knatte.DE_RMInvCornerW3X.Description,Niech Metalowa Tama z Żebrowaniem będzie narożna.,-
Knatte.DE_RMInvCornerW3X.FlavorDescription,Woda nie przejdzie,-
Knatte.DE_RMSlopeW_1.DisplayName,Metalowy stok wału,-
Knatte.DE_RMSlopeW_2.DisplayName,"Metalowy stok wału 
Podwójna wysokość",-
Knatte.DE_RMSlopeW_3.DisplayName,"Metalowa skarpa grobli
Potrójna wysokość",-
Knatte.DE_RMSlopeW.Description,"Żebrowana Metalowa Nachylona Powierzchnia, która blokuje wodę w pełnym bloku",-
Knatte.DE_RMSlopeW.FlavorDescription,Woda nie przejdzie,-
Knatte.DE_RMSlopeS.DisplayName,Dekoracyjne schody metalowe,-
Knatte.DE_RMSlopeS.Description,Niech na Pofałdowaną Metalową Tamę się wejdzie.,-
Knatte.DE_RMSlopeS.FlavorDescription,Nie blokuje wody,-
Knatte.DE_RMToolGroup.Decoration,Bloki dekoracyjne,-
Knatte.DE_RMCategoryDam.DisplayName,Żebrowane metalowe elementy dekoracyjne,-
Knatte.DE_RMCategoryDam.Des,Nie blokuje wody,-
Knatte.DE_RMCategoryLevees.DisplayName,"Kształtowane Żebrowane 
Metalowe Elementy Wałów",-
Knatte.DE_RMCategoryLeveesSQ.DisplayName,Kwadratowe żeberkowane elementy metalowe,-
Knatte.DE_RMCategoryDam2.DisplayName,Wytłaczane metalowe elementy dekoracyjne 2,-
Knatte.DE_RMCategoryDam2.Des,Nie blokuje wody,-
Knatte.DE_RMDoubleInvSlope.DisplayName,Metalowa podwójna odwrócona nachylona powierzchnia,-
Knatte.DE_RMDoubleInvSlope.Description,Kombinacja żebrowanej metalowej tamy i odwróconego stoku,-
Knatte.DE_RMDoubleInvSlope.FlavorDescription,Zbudujmy most.,-
Knatte.DE_RMSquare1x2.DisplayName,Dekoracyjna metalowa kostka 1x2,-
Knatte.DE_RMSquare1x3.DisplayName,Dekoracyjna metalowa kostka 1x3,-
Knatte.DE_RMSquare_B.Description,"Kanciaste metalowe kwadrat, które może wystawać, ale nie blokuje wody.",-
Knatte.DE_RMSquare_B.FlavorDescription,"Patrz, unosi się.",-
Knatte.DE_RMInvSlope1x1.DisplayName,Metalowy odwrócony spadek 1x1,-
