ID,Text,Comment
CBW.ChangeWalkingSpeed,Zmień prędkość chodzenia,-
CBW.ChangeWalkingSpeedDesc,"Jeśli włączone, prędkość chodzenia bobrów i robotów zostanie zmieniona.",-
CBW.BaseWalkingSpeed,Podstawowa prędkość chodzenia,-
CBW.BaseWalkingSpeedDesc,"Podstawowa prędkość chodzenia bobrów (domyślna w grze: 2,7)",-
CBW.BaseSlowedSpeed,Podstawa spowolniła prędkość,-
CBW.BaseSlowedSpeedDesc,Podstawowa prędkość bobrów (domyślnie w grze: 1.5),-
CBW.DifferentBotSpeed,Różne prędkości dla botów,-
CBW.DifferentBotSpeedDesc,"Jeśli włączone, boty będą miały różne prędkości poruszania się. Może to mieć niewielki wpływ na wydajność.",-
CBW.BaseBotWalkingSpeed,Podstawowa prędkość chodzenia dla robotów,-
CBW.BaseBotWalkingSpeedDesc,"Podstawowa prędkość chodzenia botów (domyślnie w grze: 2,7)",-
CBW.BaseBotSlowedSpeed,Podstawowe spowolnienie prędkości dla botów,-
CBW.BaseBotSlowedSpeedDesc,Podstawowa prędkość spowolnienia botów (domyślnie w grze: 1.5),-
CBW.CarryingWeightMultiplier,Współczynnik mnożnika ciężaru noszenia,-
CBW.CarryingWeightMultiplierDesc,Mnożnik maksymalnej wagi noszonej przez bobry i boty (domyślnie w grze: 1). Uwaga: nie wchodzi w życie aż do załadowania zapisu.,-
