ID,Text,Comment
LV.TI.EnableFreeCamera,Włącz darmową kamerę,-
LV.TI.EnableFreeCameraDesc,Usuń ograniczenia kamery w grze.,-
LV.TI.DisableFog,Wyłącz mgłę,-
LV.TI.DisableFogDesc,Usuń mgłę w grze.,-
LV.TI.PauseBadWeather,Wstrzymanie w złej pogodzie,-
LV.TI.PauseBadWeatherDesc,"Wstrzymaj grę, gdy zaczyna się zła pogoda (susza, złe pływy).",-
LV.TI.ShowCoords,Pokaż współrzędne,-
LV.TI.ShowCoordsDesc,Pokaż współrzędne bloku w górnym prawym rogu. Z to wysokość. NIEDOSTĘPNE DO AKTUALIZACJI 7 JESZCZE.,-
LV.TI.CoordsLabel,"(X, Y, Z): ({0}, {1}, {2})",-
LV.TI.HeightLabel,Wysokość: {0},-
LV.TI.OnlyShowHeight,Pokazuj tylko wysokość,-
LV.TI.OnlyShowHeightDesc,Pokaż tylko wysokość zamiast pełnych współrzędnych.,-
LV.TI.PrioritizeRubbles,Priorytetem są gruzy,-
LV.TI.PrioritizeRubblesDesc,Automatycznie ustaw priorytet gruzów na wysoki.,-
LV.TI.AllDayLight,Brak zmiany czasu letniego,-
LV.TI.AllDayLightDesc,"Tylko wizualizacja/UI. Wybrany tryb dzienny pozostanie na stałe, zamiast zmieniać się w ciągu dnia.",-
LV.TI.ShowGameTime,Pokaż czas gry,-
LV.TI.ShowGameTimeDesc,Wyświetl aktualny czas gry w prawym górnym rogu.,-
LV.TI.EnableSpeedS25,"Włącz prędkość 0,25x [Shift+1]",-
LV.TI.EnableSpeedS25Desc,"Odblokuj opcję prędkości 0,25x w grze, naciskając Shift+1. Zwykle jest to dostępne tylko w trybie dewelopera.",-
LV.TI.EnableSpeed4,Włącz 30x prędkość [4],-
LV.TI.EnableSpeed4Desc,"Odblokuj opcję 4. prędkości 30x w grze, naciskając 4. Normalnie jest ona dostępna tylko w trybie dewelopera.",-
LV.TI.EnableSpeed5,Włącz prędkość 99x [5] (!),-
LV.TI.EnableSpeed5Desc,"Odblokuj opcję 5. prędkości 99x w grze, naciskając 5. Zwykle jest ona dostępna tylko w trybie dewelopera. Ostrzegamy, że ta prędkość jest niestabilna i może powodować problemy z grą. Ktoś powiedział, że bobry mogą pozostawać głodne i spragnione.",-
LV.TI.StaticLight,Statyczne światło dzienne,-
LV.TI.StaticLightDesc,Wizualne/UI tylko. To światło dzienne pozostanie takie samo przez cały czas.,-
LV.TI.LightSunrise,Wschód słońca,-
LV.TI.LightDay,Dzień,-
LV.TI.LightSunset,Zachód słońca,-
LV.TI.LightNight,Noc,-
LV.TI.QuickQuit,Szybkie/Zamknij Wymuszeniowo [Ctrl + Shift + Q] (!),-
LV.TI.QuickQuitDesc,"Naciśnij Ctrl + Shift + Q, aby natychmiast wymusić wyjście z gry, zabijając proces gry. BRAK ZAPISU ani czyszczenia stanu gry. Uważaj!",-
LV.TI.BiggerBuildDragArea,Większy opór powietrza (!),-
LV.TI.BiggerBuildDragAreaDesc,"Zwiększ pole przeciągania budowli, takich jak tamy (domyślnie 10x10) lub drogi (25). To znacznie zwiększa czas ładowania i użycie pamięci, więc używaj tego ostrożnie. Przykład: ustawienie tego na 5 sprawi, że pole przeciągania będzie wynosić 15x15 dla tam lub 30 dla dróg. Można to zmienić tylko w menu głównym.",-
LV.TI.AutoClearDeadTrees,Usunięcie martwych drzew natychmiast.,-
LV.TI.AutoClearDeadTreesDesc,"Podczas korzystania z narzędzia 'Oznacz zasoby do wyburzenia', automatycznie usuń martwe drzewa natychmiast, bez bobrów (jakbyś budował na nich).",-
LV.TI.AddRealTimeClock,Dodaj zegar czasu rzeczywistego,-
LV.TI.AddRealTimeClockDesc,"Dodaj zegar czasu rzeczywistego w prawym górnym rogu. To przydatne dla graczy, którzy chcą śledzić czas podczas grania.",-
