ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Trilho de Trem Reto,-
Tobbert.TrackStraight.Description,Um trecho de trilho que vai em linha reta. Pode ser alterado para um sinal de mão única usando o botão alternar ao clicar nele. Cria uma seção de trilho entre vias de mão única que permite que apenas um trem esteja nela (indicado pelas cores).,-
Tobbert.TrackStraight.FlavorDescription,Tchuu! Tchuu!,-
Tobbert.TrackOneWay.DisplayName,Faixa de sinal unidirecional,-
Tobbert.TrackOneWay.Description,Direi aos trens que eles podem passar apenas pelo lado verde. Pode ser revertido para um trilho reto usando o interruptor ao clicar nele. Cria uma seção de trilho entre as vias únicas que permite que um único trem esteja nela (indicado pelas cores).,-
Tobbert.TrackOneWay.FlavorDescription,Você... Passará...,-
Tobbert.TrackCrossing.DisplayName,Cruzamento de Trilhos de Trem,-
Tobbert.TrackCrossing.Description,"Os castores podem atravessar os trilhos aqui. A colisão não será implementada, pois o desempenho sofrerá muito.",-
Tobbert.TrackCrossing.FlavorDescription,Aquele trem está se aproximando muito rápido.,-
Tobbert.TrackHillStart.DisplayName,Pista de Inclinação,-
Tobbert.TrackHillStart.Description,Uma pista que permite que trens subam e desçam.,-
Tobbert.TrackHillStart.FlavorDescription,O trem não é muito pesado?,-
Tobbert.TrackCorner1x1.DisplayName,Trilho de Trem de Canto 1x1,-
Tobbert.TrackCorner1x1.Description,Uma peça de trilho que contorna uma esquina.,-
Tobbert.TrackCorner1x1.FlavorDescription,Pode ser um pouco apertado.,-
Tobbert.TrackCorner2x2.DisplayName,Trilho de Trem de Canto 2x2,-
Tobbert.TrackCorner2x2.Description,Uma peça de trilho que contorna uma curva maior.,-
Tobbert.TrackCorner2x2.FlavorDescription,Que curva bonita.,-
Tobbert.TrackTIntersection1x1.DisplayName,Interseção em T Trilho de Trem 1x1,-
Tobbert.TrackTIntersection1x1.Description,Uma interseção em forma de T para trens.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Qual caminho eu devo seguir?,-
Tobbert.TrackTIntersection2x3.DisplayName,T interseção Trilha de Trem 2x3,-
Tobbert.TrackTIntersection2x3.Description,Uma interseção em forma de T para trens.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Para onde aqueles caminhos levarão?,-
Tobbert.TrackXIntersection1x1.DisplayName,X interseção Trilho do Trem 1x1,-
Tobbert.TrackXIntersection1x1.Description,Uma interseção em forma de X para trens.,-
Tobbert.TrackXIntersection1x1.FlavorDescription,Tantas opções!,-
Tobbert.TrackXIntersection3x3.DisplayName,X interseção Trilho do Trem 3x3,-
Tobbert.TrackXIntersection3x3.Description,Uma interseção na forma de um X para trens.,-
Tobbert.TrackXIntersection3x3.FlavorDescription,Eu simplesmente não consigo escolher para onde ir...,-
Tobbert.TrackRIntersection2x3.DisplayName,Trocar Trilhos do Trem 2x3,-
Tobbert.TrackRIntersection2x3.Description,Um desvios na forma de uma R para trens.,-
Tobbert.TrackRIntersection2x3.FlavorDescription,Para onde estamos indo?,-
Tobbert.GoodsStation.DisplayName,Estação de carga,-
Tobbert.GoodsStation.Description,Permite o transporte de mercadorias por trens. Uma mercadoria pode ser enviada ou recebida em uma estação. As mercadorias recebidas serão movidas apenas para os armazenamentos que estão configurados para receber.,-
Tobbert.GoodsStation.FlavorDescription,Veja todos os bens que ele pode conter.,-
Tobbert.PassengerStation.DisplayName,Estação de passageiros,-
