ID,Text,Comment
Knatte.WaterAlarm.DisplayName,Alarme de Água,-
Knatte.WaterAlarm.Description,Um medidor de fluxo combinado com um alarme de água que emitirá um aviso se não houver água.,-
Knatte.WaterAlarm.FlavorDescription,Ring Ring,-
//,"Desculpe, parece que você não forneceu um texto para tradução. Poderia enviá-lo novamente?",-
Knatte.WaterAlarm11.DisplayName,Medidor de Fluxo 11 Alto,-
Knatte.WaterAlarm11.Description,Um grande medidor de vazão.,-
Knatte.WaterAlarm11.FlavorDescription,Mario Pulo,-
Knatte.MetalFloodgate.DisplayName,Porta de metal,-
Knatte.MetalFloodgate.Description,Portão de inundação maior e melhor que pode empilhar coisas em cima.,-
Knatte.Floodgate.DisplayName,Portões de metal para inundação,-
Knatte.MetalFloodgate2.DisplayName,Portão de Metal Inundação 2 Altura,-
Knatte.MetalFloodgate3.DisplayName,Porta de metal 3 alta,-
Knatte.MetalFloodgate4.DisplayName,Portão de Metal 4 Alto,-
Knatte.MetalFloodgate5.DisplayName,Portão de metal 5 alto,-
Knatte.MetalFloodgate6.DisplayName,Portão de metal 6 de altura,-
Knatte.MetalFloodgate7.DisplayName,Portão de metal 7 alto,-
Knatte.MetalFloodgate8.DisplayName,Portão de Metal 8 Altura,-
Knatte.MetalFloodgate9.DisplayName,Portão de Metal 9 Alto,-
Knatte.MetalFloodgate10.DisplayName,Portão de metal de 10 de altura,-
Knatte.Aqueduct_MetalFloodgate.DisplayName,Porta de Inundação Metálica do Aqueduto 1 Alta,-
Knatte.Aqueduct_MetalFloodgate.Description,Portão de inundação maior e melhor que pode ser empilhado com coisas em tema de aqueduto.,-
Knatte.Aqueduct_Floodgate.DisplayName,Portões de inundação de metal estilo aqueduto,-
Knatte.Aqueduct_MetalFloodgate2.DisplayName,Portão de Inundação Metálico de Aqueduto 2 Alto,-
Knatte.Aqueduct_MetalFloodgate3.DisplayName,Portão de Inundação Metálico de Aqueduto 3 Alto,-
Knatte.Aqueduct_MetalFloodgate4.DisplayName,Portão de Inundação de Metal do Aqueduto 4 Alto,-
Knatte.Aqueduct_MetalFloodgate5.DisplayName,Portão de Inundação Metálico de Aqueduto 5 Alto,-
Knatte.Aqueduct_MetalFloodgate6.DisplayName,Portão de Flood Metal do Aqueduto 6 Alto,-
Knatte.Aqueduct_MetalFloodgate7.DisplayName,Portão de Inundação Metálico de Aqueduto 7 Alto,-
Knatte.Aqueduct_MetalFloodgate8.DisplayName,Portão de Inundação de Metal do Aqueduto 8 de Altura,-
Knatte.Aqueduct_MetalFloodgate9.DisplayName,Ganho de Inundação de Metal de Aqueduto 9 Alto,-
Knatte.Aqueduct_MetalFloodgate10.DisplayName,Portão de Alvenaria Metálico para Águas Pluviais 10 Alta,-
