ID,Text,Comment
LV.TI.EnableFreeCamera,Ativar câmera livre,-
LV.TI.EnableFreeCameraDesc,Remova as restrições de câmera no jogo.,-
LV.TI.DisableFog,Desativar a névoa,-
LV.TI.DisableFogDesc,Remova a neblina no jogo.,-
LV.TI.PauseBadWeather,Pausa em caso de mau tempo,-
LV.TI.PauseBadWeatherDesc,"Pause o jogo quando o mau tempo (seca, maré ruim) começar.",-
LV.TI.ShowCoords,Mostrar coordenadas,-
LV.TI.ShowCoordsDesc,Mostre as coordenadas do bloco no canto superior direito. Z é a altura. NÃO DISPONÍVEL PARA ATUALIZAÇÃO 7 AINDA.,-
LV.TI.CoordsLabel,"(X, Y, Z): ({0}, {1}, {2})",-
LV.TI.HeightLabel,Altura: {0},-
LV.TI.OnlyShowHeight,Apenas mostre a altura.,-
LV.TI.OnlyShowHeightDesc,Mostre apenas a altura em vez das coordenadas completas.,-
LV.TI.PrioritizeRubbles,Priorize detritos,-
LV.TI.PrioritizeRubblesDesc,Defina automaticamente a prioridade dos destroços como Alta.,-
LV.TI.AllDayLight,Sem mudança de horário de verão,-
LV.TI.AllDayLightDesc,"Visual/UI apenas. A luz do dia selecionada ficará ativa o tempo todo, em vez de mudar durante o dia.",-
LV.TI.ShowGameTime,Mostrar tempo de jogo,-
LV.TI.ShowGameTimeDesc,Mostre o tempo de jogo atual no canto superior direito.,-
LV.TI.EnableSpeedS25,"Ativar velocidade 0,25x [Shift+1]",-
LV.TI.EnableSpeedS25Desc,"Desbloqueie a opção de velocidade 0,25x no jogo pressionando Shift+1. Normalmente, isso está disponível apenas no Modo de Desenvolvedor.",-
LV.TI.EnableSpeed4,Ativar velocidade de 30x [4],-
LV.TI.EnableSpeed4Desc,"Desbloqueie a opção de velocidade 4x30 no jogo pressionando 4. Normalmente, isso só está disponível no Modo Desenvolvedor.",-
LV.TI.EnableSpeed5,Ativar velocidade 99x [5] (!),-
LV.TI.EnableSpeed5Desc,"Desbloqueie a opção 5ª velocidade 99x no jogo pressionando 5. Normalmente, isso está disponível apenas no Modo de Desenvolvimento. Esteja avisado de que essa velocidade é instável e pode causar problemas no jogo. Alguém disse que os castores podem ficar com fome e sede.",-
LV.TI.StaticLight,Luz do dia estática,-
LV.TI.StaticLightDesc,Visual/UI apenas. Esta luz do dia permanecerá a mesma o tempo todo.,-
LV.TI.LightSunrise,Nascer do sol,-
LV.TI.LightDay,Dia,-
LV.TI.LightSunset,Pôr do sol,-
LV.TI.LightNight,Noite,-
LV.TI.QuickQuit,Sair Rápido/Sair Forçado [Ctrl + Shift + Q] (!),-
LV.TI.QuickQuitDesc,Pressione Ctrl + Shift + Q para sair do jogo imediatamente forçando o encerramento do processo do jogo. SEM SALVAMENTO ou limpeza do estado do jogo. Tenha cuidado!,-
LV.TI.BiggerBuildDragArea,Área de arrasto de construção maior (!),-
LV.TI.BiggerBuildDragAreaDesc,"Aumente a área de arrastar para construções como Represas (padrão 10x10) ou Estradas (25). Isso aumenta significativamente o tempo de carregamento e o uso de memória, então use com cautela. Exemplo: definir isso para 5 fará a área de arrastar ser 15x15 para Represas ou 30 para Estradas. Isso só pode ser alterado no Menu Principal.",-
LV.TI.AutoClearDeadTrees,Remova imediatamente as árvores mortas.,-
LV.TI.AutoClearDeadTreesDesc,"Ao usar a ferramenta 'Marcar Recursos para Demolição', limpe automaticamente as árvores mortas imediatamente sem castores (como se você estivesse construindo algo sobre elas).",-
LV.TI.AddRealTimeClock,Adicione um relógio em tempo real,-
LV.TI.AddRealTimeClockDesc,Adicione um relógio em tempo real no canto superior direito. Isso é útil para os jogadores que desejam acompanhar o tempo enquanto jogam.,-
