ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Металлические лестницы,-
KnatteTobbert.MetalStaircase.Description,Лучшие лестницы из металла.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,"Надеюсь, оно не заржавеет.",-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Металлическая лестница,-
KnatteTobbert.MetalSpiralStaircase.DisplayName,Металлическая спиральная лестница,-
KnatteTobbert.MetalSpiralStaircase.Description,Лучшая винтовая лестница из металла.,-
KnatteTobbert.MetalSpiralStaircase.FlavorDiscription,"""Лестница в небеса"" - Стоун Колд Джейн Остин",-
KnatteTobbert.Staircases.DisplayName,Лестницы,-
KnatteTobbert.Platforms.DisplayName,Платформы,-
KnatteTobbert.SpiralStaircase.DisplayName,Спиральная лестница,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Лестница на небеса"" - Стоун Колд Джейн Остин",-
KnatteTobbert.StaircaseLog.DisplayName,Лестница,-
KnatteTobbert.StaircaseLog.FlavorDiscription,Это большой бревно посередине.,-
Knatte.Pillar.DisplayName,Столб,-
Knatte.Pillar.Description,Пусть поднимется,-
Knatte.Pillar.FlavorDescription,"""Давайте займем место!"" - Усердный бобер",-
Knatte.Pillars.DisplayName,Столбы с креплением,-
Knatte.Pillars.Description,Пусть это поднимется,-
Knatte.Pillars.FlavorDescription,"""Давайте займем место!"" - Работящий бобр",-
Knatte.Pillar_1.DisplayName,1 Ножка колонны,-
Knatte.Pillar_2.DisplayName,2-ножка колонна,-
Knatte.Pillar_3.DisplayName,Трехногий пилон,-
Knatte.Pillar_4.DisplayName,Четырехногая колонна,-
Knatte.Pillar_X.Description,"Столбы, которые можно использовать для получения индивидуальных внешних видов. Можно комбинировать со staircase, чтобы скрыть их, но получить штабелируемые.",-
Knatte.Pillar_X.FlavorDescription,"""Давай займем место!"" - Трудолюбивый бобёр",-
Knatte.StaircasePillar.DisplayName,Столб лестницы,-
Knatte.StaircasePillar.Description,"Столбы, которые будут использоваться с лестницей, чтобы получить красивый столб.",-
Knatte.StaircasePillar.FlavorDescription,"""Давайте займем место!"" - Трудолюбивый бобер",-
Knatte.PillarTop.DisplayName,Вершина столба,-
Knatte.PillarTop.Description,"Верхняя часть для кастомных столбов или декоративных элементов. Может быть объединена с лестницей для их скрытия, но остаётся штабелируемой.",-
Knatte.StaircasePlatform.DisplayName,Платформа 2x2,-
Knatte.StaircasePlatform.Description,Платформа с большим бревном посередине,-
Knatte.StaircasePlatform.FlavorDescription,"""Давайте займем место!"" - Трудолюбивый бобёр",-
