ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3 Гигантская секвойя,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? дерево,-
MapMakerPlants.Brambles.DisplayName,Ежевика,-
MapMakerPlants.NewVineV.DisplayName,Лоза (вертикальная),-
MapMakerPlants.NewVineH.DisplayName,Винос (Горизонтальные),-
MapMakerPlants.Waterbamboo.DisplayName,2x2 В.Бамбук,-
MapMakerPlants.Baobab.DisplayName,5x5 Баобаб,-
MapMakerPlants.LemonTree.DisplayName,Лимонное дерево,-
MapMakerPlants.PinkBirch.DisplayName,Вечная симфония,-
MapMakerPlants.RuinedPath.DisplayName,Уничтоженная дорога,-
MapMakerPlants.BrokenHouse.DisplayName,Сломанный дом (бревна),-
MapMakerPlants.PlankRuin.DisplayName,Сломанный дом (Доски),-
NaturalResource.PinkBirch.DisplayName,Навсегда цветущий,-
Good.Pumpkin.DisplayName,Тыква,-
NaturalResource.Waterbamboo.DisplayName,Невероятно высокий бамбук,-
Lapantouflemagic.NewVineH.DisplayName,Виноградная лоза,-
