ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,Объект,-
eMka.Minimap.Settings.BuildingColor,Строительство,-
eMka.Minimap.Settings.ChunkSize,Размер фрагмента,-
eMka.Minimap.Settings.ChunkSizeTooltip,"Размер фрагментов, на которые разделена мини-карта для отрисовки. Более низкие значения могут замедлить отрисовку мини-карты, но могут помочь с проблемами производительности.",-
eMka.Minimap.Settings.Colors,Цвета,-
eMka.Minimap.Settings.DeadPlantColor,Мёртвое растение,-
eMka.Minimap.Settings.DeadTreeColor,Мертвое дерево,-
eMka.Minimap.Settings.DeepBadwaterColor,Глубокие грязевые воды,-
eMka.Minimap.Settings.DeepWaterColor,Глубокая вода,-
eMka.Minimap.Settings.DisableSize,Не показывать миникарту для карт с размерами меньше чем,-
eMka.Minimap.Settings.GeneralSettings,Общий,-
eMka.Minimap.Settings.HighestGrassColor,Самая высокая трава,-
eMka.Minimap.Settings.HighestTerrainColor,Самая высокая местность,-
eMka.Minimap.Settings.LowestGrassColor,Самая низкая трава,-
eMka.Minimap.Settings.LowestTerrainColor,Низменная местность,-
eMka.Minimap.Settings.MinimapRotation,Повернуть миним карту,-
eMka.Minimap.Settings.MinimapRotationHeader,Поворот мини-карты,-
eMka.Minimap.Settings.PathColor,Путь,-
eMka.Minimap.Settings.PlantColor,Растение,-
eMka.Minimap.Settings.ShallowBadwaterColor,Мелкая плохая вода,-
eMka.Minimap.Settings.ShallowWaterColor,Мелководье,-
eMka.Minimap.Settings.TreeColor,Дерево,-
eMka.Minimap.Settings.WaterPlantColor,Водное растение,-
