ID,Text,Comment
Good.Stew.PluralDisplayName,Рагу,-
Faction.waterbeavers.DisplayName,Белые лапы,-
Faction.waterbeavers.Description,"Последователи Истинного Путя Бобра, для них всё — это дом. Их популяция часто выходит из-под контроля, еда и вода заканчиваются, наука — это роскошь, а ваше поражение неизбежно.

Забудьте, чему вас научили другие фракции, и добро пожаловать в ваш самый розовый кошмар.
<color=red>Не забудьте посмотреть на рекламные щиты!</color>

<color=black>Искусство и текстуры бобров от Wolfess, огромная благодарность! Многие иконки от Thorlak, тоже огромная благодарность!</color>",-
trashdump.DisplayName,Сломанная повозка экспедиции,-
trashdump.Description,"Ваш первый районный центр, если это можно так назвать. Разбирайте его только после постройки лучшего городского центра.",-
trashdump.FlavorDescription,"""Мы не можем двигаться дальше, но мы можем остановиться здесь""  
- Руководитель экспедиции",-
Luc.Primitivemine.DisplayName,Первобытная шахта,-
Luc.Primitivemine.Description,"Маленький и неэффективный способ добычи минеральных ресурсов  
<color=green>Требуется нацелиться на 2 уровня ниже поверхности</color>",-
Luc.Primitivemine.FlavorDescription,"""Бобры не предназначены для копания камня""",-
Lapantouflemagic.Mediummine.DisplayName,Средняя шахта,-
Lapantouflemagic.Mediummine.Description,"Более большая и глубокая шахта для разработки более богатых месторождений также дает доступ к более редким элементам. 
Содержит лестницы для доступа и барьеры, чтобы предотвратить падение и травмы маленьких детей. 
<color=green>Должна быть установлена в яме глубиной 4 блока! 
Шахта и ограждения должны располагаться на прочной поверхности! 
Установите лестницы на земляных участках и завершите доступный пандус</color>",-
Lapantouflemagic.Mediummine.FlavorDescription,"""Я не верю в привидений и монстров, что вообще должны представлять собой чудовища?"" 
 -Минер Зорк, последние слова",-
Lapantouflemagic.Primitivesmetler.DisplayName,Примитивная печь для плавки,-
Lapantouflemagic.Primitivesmetler.Description,"Смесь железной руды и угля в земляном тигле, который нужно поджечь.  
<color=#FF6EC7>Может работать без работников.</color>",-
Lapantouflemagic.Primitivesmetler.FlavorDescription,"""Мы уверены в рецепте?""",-
Lapantouflemagic.Woodburner.DisplayName,Дровяная печь,-
Lapantouflemagic.Woodburner.Description,"Специальный костер для превращения дерева в уголь.  
<color=#FF6EC7>Может функционировать без работников.</color>",-
Lapantouflemagic.Woodburner.FlavorDescription,"«О, это было бы отличным способом избавиться от... эээ... опилок! Да, опилок... конечно.»  
- Джек Грызун",-
Lapantouflemagic.Screwpress.DisplayName,Г Screw Press,-
Lapantouflemagic.Screwpress.Description,"Сильный пресс для отжима масла из семян подсолнечника.  
<color=#00FFFF>Работает как дамба</color>",-
Lapantouflemagic.Screwpress.FlavorDescription,"""Подсолнечное масло, необходимое как для салатов, так и для машин""",-
Lapantouflemagic.Alchemist.DisplayName,Алхимик,-
Lapantouflemagic.Alchemist.Description,"Уютная лаборатория для подготовки основных химических реакций.  
<color=#00FFFF>Работает как дамба</color>",-
Lapantouflemagic.Alchemist.FlavorDescription,"""Надеюсь, это не взорвется""",-
