ID,Text,Comment
IgorZ.Automation.DebugPickTool.Title,调试工具,-
IgorZ.Automation.DebugPickTool.Description,在日志中输出选定对象上的组件。,-
IgorZ.Automation.DebugPickTool.DescriptionHint1,按住Shift以输出可访问性。,-
IgorZ.Automation.DebugPickTool.DescriptionHint2,按住Ctrl以输出导航网格边缘。,-
IgorZ.Automation.DebugFinishNowTool.Title,完成建筑,-
IgorZ.Automation.DebugFinishNowTool.Description,立即完成选定的待建造建筑。,-
IgorZ.Automation.ToolGroup.Main.DisplayName,自动化工具,-
IgorZ.Automation.ToolGroup.Terrain.DisplayName,炸弹自动化,-
IgorZ.Automation.ToolGroup.Water.DisplayName,建筑和水闸自动化,-
IgorZ.Automation.ToolGroup.Power.DisplayName,启停自动化,-
IgorZ.Automation.ToolGroup.Storage.DisplayName,库存自动化,-
IgorZ.Automation.ToolGroup.Population.DisplayName,人口自动化,-
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,二次引爆,-
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,三次引爆,-
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,四次引爆,-
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,五次引爆,-
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,六次引爆,-
IgorZ.Automation.Tool.tmpl.XLevelsDynamite.Description,此规则适用于炸弹，建造完成后会自动引爆，随后放置新的炸弹并再次引爆，直至达到预定次数。,-
IgorZ.Automation.Tool.tmpl.EmptyAt50pct.DisplayName,产物库存高于50%时清理,-
IgorZ.Automation.Tool.tmpl.EmptyAt60pct.DisplayName,产物库存高于60%时清理,-
IgorZ.Automation.Tool.tmpl.EmptyAt70pct.DisplayName,产物库存高于70%时清理,-
IgorZ.Automation.Tool.tmpl.EmptyAt80pct.DisplayName,产物库存高于80%时清理,-
IgorZ.Automation.Tool.tmpl.EmptyAt90pct.DisplayName,产物库存高于90%时清理,-
IgorZ.Automation.Tool.tmpl.EmptyAtXpct.Description,此规则适用于不需要原料的生产建筑，如果产物库存高于预定阈值，则进入清理状态，直至产物库存降低至预定阈值。,-
IgorZ.Automation.EmptyOutputStore.CustomStatus,建筑正被清理，搬运工会优先此建筑。,-
IgorZ.Automation.Tool.tmpl.DroughtPause.DisplayName,干旱期时关闭,-
IgorZ.Automation.Tool.tmpl.DroughtPause.Description,此规则适用于建筑，会在干旱期开始时关闭或停止建造，在干旱期结束时启用或开始建造。,-
IgorZ.Automation.Tool.tmpl.BadtidePause.DisplayName,恶水潮时关闭,-
IgorZ.Automation.Tool.tmpl.BadtidePause.Description,此规则适用于建筑，会在恶水潮开始时关闭或停止建造，在恶水潮结束时启用或开始建造。,-
IgorZ.Automation.Tool.tmpl.TemperatePause.DisplayName,非干旱期时关闭,-
IgorZ.Automation.Tool.tmpl.TemperatePause.Description,此规则适用于建筑，会在干旱期结束时关闭或停止建造，在干旱期开始时启用或开始建造。,-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.DisplayName,干旱期时关闸,-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.Description,此规则适用于水闸，会在干旱期开始时完全关闭。需要与其他水闸自动化规则配合使用。,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.DisplayName,干旱期时开闸,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.Description,此规则适用于水闸，会在干旱期开始时完全打开。需要与其他水闸自动化规则配合使用。,-
IgorZ.Automation.Tool.tmpl.DroughtOpenWaterRegulator.DisplayName,干旱期时打开恶水盖,-
IgorZ.Automation.Tool.tmpl.DroughtOpenWaterRegulator.Description,此规则适用于神尾的恶水圆顶和铁牙的恶水排放，会在干旱期开始时打开，在干旱期结束时关闭。,-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.DisplayName,恶水潮时关闸,-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.Description,此规则适用于水闸，会在恶水潮开始时完全关闭。需要与其他水闸自动化规则配合使用。,-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.DisplayName,恶水潮时开闸,-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.Description,此规则适用于水闸，会在恶水潮开始时完全打开。需要与其他水闸自动化规则配合使用。,-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.DisplayName,温和期时关闸,-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.Description,此规则适用于水闸，会在温和期开始时完全关闭。需要与其他水闸自动化规则配合使用。,-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.DisplayName,温和期时开闸,-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.Description,此规则适用于水闸，会在温和期开始时完全打开。需要与其他水闸自动化规则配合使用。,-
IgorZ.Automation.Tool.tmpl.TemperateSemiOpenFloodgate.DisplayName,温和期时部分开闸,-
