ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,干旱期开始时设定高度,-
Floodgate.Triggers.EnableOnDroughtEnded,干旱期结束时设定高度,-
Floodgate.Schedule.Enable,按照时刻表设定高度,-
Floodgate.Schedule.DisableOnDrought,干旱期时禁用此设定,-
Floodgate.Schedule.DisableOnTemperate,温和期时禁用此设定,-
Floodgate.Triggers.Time,时刻,-
Floodgate.Triggers.Height,高度,-
Floodgate.Triggers.Basic,基本,-
Floodgate.Triggers.Timer,定时,-
Floodgate.Triggers.Advanced,进阶,-
Floodgate.Triggers.AttachToStreamGauge,绑定水流计,-
Floodgate.Triggers.PickStreamGaugeTitle,选择一个水流计,-
Floodgate.Triggers.PickStreamGaugeTip,可以选择任何一个水流计。,-
Floodgates.Triggers.NoLinks,未绑定水流计,-
Floodgates.Triggers.NoFloodgateLinks,未与建筑绑定,-
Floodgates.Triggers.LinkedFloodgates,绑定的建筑,-
Floodgates.Triggers.Threshold1,水深下限值,-
Floodgates.Triggers.Threshold2,水深上限值,-
Floodgates.Triggers.HeightWhenBelowThreshold1,低于下限值时设定高度为,-
Floodgates.Triggers.HeightWhenAboveThreshold2,高于上限值时设定高度为,-
Floodgate.Triggers.PauseOnDroughtStart,干旱期开始时关闭,-
Floodgate.Triggers.UnpauseOnDroughtStart,干旱期开始时启用,-
Floodgate.Triggers.UnpauseOnTemperateStart,温和期开始时启用,-
Floodgate.Triggers.PauseOnTemperateStart,温和期开始时关闭,-
Floodgates.WaterpumpTrigger.Threshold1,关闭 <,-
Floodgates.WaterpumpTrigger.Threshold2,关闭 >,-
Floodgates.WaterpumpTrigger.Threshold3,启用 <,-
Floodgates.WaterpumpTrigger.Threshold4,启用 >,-
Floodgates.WaterpumpTrigger.PauseStartTime,关闭的时刻,-
Floodgates.WaterpumpTrigger.ResumeStartTime,启用的时刻,-
Floodgates.WaterpumpTrigger.DisableDuringDrought,干旱期时禁用此设定,-
Floodgates.WaterpumpTrigger.DisableDuringTemperate,温和期时禁用此设定,-
Floodgate.Triggers.PauseOnSchedule,按照时刻表关闭和启用,-
Floodgate.Triggers.EnableOnBadtideStarted,恶水潮开始时设定高度,-
Floodgate.Triggers.EnableOnBadtideEnded,恶水潮结束时设定高度,-
Floodgate.Schedule.DisableOnBadtide,恶水潮时禁用此设定,-
Floodgates.WaterpumpTrigger.DisableDuringBadtide,恶水潮时禁用此设定,-
Floodgate.Triggers.PauseOnBadtideStart,恶水潮开始时关闭,-
Floodgate.Triggers.UnpauseOnBadtideStart,恶水潮开始时启用,-
Floodgates.Triggers.ContaminationThresholdLow,污染程度下限值,-
Floodgates.Triggers.ContaminationThresholdHigh,污染程度上限值,-
Floodgates.Triggers.HeightWhenBelowContaminationThresholdLow,低于下限值时设定高度为,-
Floodgates.Triggers.HeightWhenAboveContaminationThresholdHigh,高于上限值时设定高度为,-
Floodgates.Triggers.Depth,水深,-
Floodgates.Triggers.Contamination,污染程度,-
Floodgates.WaterSourceRegulator.Threshold1,关闭 <,-
Floodgates.WaterSourceRegulator.Threshold2,关闭 >,-
Floodgates.WaterSourceRegulator.Threshold3,开启 <,-
Floodgates.WaterSourceRegulator.Threshold4,开启 >,-
Floodgates.WaterSourceRegulator.CloseStartTime,关闭的时刻,-
Floodgates.WaterSourceRegulator.OpenStartTime,开启的时刻,-
Floodgates.WaterSourceRegulator.DisableDuringDrought,干旱期时禁用此设定,-
Floodgates.WaterSourceRegulator.DisableDuringTemperate,温和期时禁用此设定,-
Floodgate.WaterSourceRegulator.CloseOnDroughtStart,干旱期开始时关闭,-
Floodgate.WaterSourceRegulator.OpenOnDroughtStart,干旱期开始时开启,-
Floodgate.WaterSourceRegulator.OpenOnTemperateStart,温和期开始时开启,-
Floodgate.WaterSourceRegulator.CloseOnTemperateStart,温和期开始时关闭,-
Floodgate.WaterSourceRegulator.OpenOnBadtideStart,恶水潮开始时开启,-
Floodgate.WaterSourceRegulator.CloseOnBadtideStart,恶水潮开始时关闭,-
Floodgate.Schedule.CloseOnSchedule,按照时刻表关闭和开启,-
Floodgates.WaterSourceRegulator.DisableDuringBadtide,恶水潮时禁用此设定,-
Floodgates.Triggers.Empty,,-
