ID,Text,Comment
Building.PipeBox.DisplayName,带管的盒子,-
Building.PipeStraight.DisplayName,管道直管,-
Building.PipeTurn.DisplayName,管道转弯,-
Building.PipeTIntersection.DisplayName,管道 T 型接头,-
Building.PipeXIntersection.DisplayName,管道X交叉口,-
Building.PipeUpward.DisplayName,上升管,-
Building.PipeVertical.DisplayName,垂直管道,-
Building.PipeDownward.DisplayName,下行管道,-
Building.PipeBox.Description,一个在防水块中的管子。,-
Building.PipeValve.DisplayName,管道阀门,-
Building.PipeValve.Description,在未被淹没时倒出水。,-
Building.PipeWaterPump.DisplayName,带水泵的盒子,-
Building.PipeWaterPump.Description,最大深度为6时使用动力转移水。,-
Building.PipeWaterPump.TakeToPipe,把水引入管道。,-
Building.PipeWaterPump.TakeFromPipe,从水管中取水。,-
Building.PipeGeneric.Description,转移水。,-
Building.PipeGeneric.Blocked.Short,管道堵塞,-
Building.PipeGeneric.Blocked,某些管道入口被其他建筑物或地形堵住。只能与另一个管道连接。,-
Building.WaterShield.DisplayName,水盾,-
Building.WaterShield.Description,强大的机器，当通电时能够排斥水。注意不要因缺乏电力而被淹没。,-
