ID,Text,Comment
kulesz.FPPCamera.KeyBinding.Jump,跳跃,-
kulesz.FPPCamera.KeyBinding.MoveBackward,向后移动,-
kulesz.FPPCamera.KeyBinding.MoveForward,向前移动,-
kulesz.FPPCamera.KeyBinding.MoveLeft,向左移动,-
kulesz.FPPCamera.KeyBinding.MoveRight,向右移动,-
kulesz.FPPCamera.KeyBinding.Run,奔跑,-
kulesz.FPPCamera.KeyBindingGroup,第一人称相机,-
kulesz.FPPCamera.Settings.CameraSway,相机摇晃,-
kulesz.FPPCamera.Settings.FOV,视野范围,-
kulesz.FPPCamera.Settings.HorizontalSensitivity,水平灵敏度,-
kulesz.FPPCamera.Settings.VerticalSensitivity,垂直灵敏度,-
