ID,Text,Comment
Good.Honey.DisplayName,蜂蜜,-
Good.Honey.PluralDisplayName,蜂蜜,-
Good.HoneyCake.DisplayName,蜜糖蛋糕,-
Good.HoneyCake.PluralDisplayName,蜂蜜蛋糕,-
Good.Ointment.DisplayName,药膏,-
Good.Ointment.PluralDisplayName,软膏,-
Good.Mead.DisplayName,蜂蜜酒,-
Good.Mead.PluralDisplayName,蜜酒,-
Building.HoneyHive.DisplayName,蜂窝,-
Building.HoneyHive.Description,授粉是一回事，但蜂蜜就是蜂蜜。大家快来工作吧！,-
Building.HoneyHive.FlavorDescription,“走过生活，抓住每一刻真好！” —海狸幼崽,-
Building.HoneyHive.DisplaynameLocKey,蜂巢,-
Building.AdvancedMedicalBed.DisplayName,高级医疗床,-
Building.AdvancedMedicalBed.Description,使用药膏加速愈合过程,-
Building.AdvancedMedicalBed.FlavorDescription,"""通过养蜂的进步，我们支持自己的健康。"" —Beavercrates",-
Building.AdvancedMedicalBed.DisplaynameLocKey,高级医疗床,-
Need.SweetTooth.PluralDisplayName,甜牙,-
Need.HoneyCake.PluralDisplayName,蜜饼,-
Need.Mead.DisplayName,蜜酒,-
Need.Inebriation.DisplayName,醉酒,-
Status.Need.Inebriation,玩乐是有后果的,-
Status.Need.Inebriation.Short,海狸喝醉了,-
