ID,Text,Comment
BigSigns.Groups.Capitals,大寫字母,-
BigSigns.Groups.Numbers,數字,-
BigSigns.Groups.Accents,口音,-
BigSigns.Buildings.0.DisplayName,數字 0,-
BigSigns.Buildings.1.DisplayName,第一,-
BigSigns.Buildings.2.DisplayName,編號2,-
BigSigns.Buildings.3.DisplayName,號碼3,-
BigSigns.Buildings.4.DisplayName,號碼 4,-
BigSigns.Buildings.5.DisplayName,數字5,-
BigSigns.Buildings.6.DisplayName,數字6,-
BigSigns.Buildings.7.DisplayName,數字7,-
BigSigns.Buildings.8.DisplayName,數字8,-
BigSigns.Buildings.9.DisplayName,首都9,-
BigSigns.Buildings.A.DisplayName,大寫字母A,-
BigSigns.Buildings.B.DisplayName,大寫B,-
BigSigns.Buildings.C.DisplayName,大寫字母C,-
BigSigns.Buildings.D.DisplayName,大寫字母D,-
BigSigns.Buildings.E.DisplayName,大寫E,-
BigSigns.Buildings.F.DisplayName,首都 F,-
BigSigns.Buildings.G.DisplayName,大寫G,-
BigSigns.Buildings.H.DisplayName,大寫H,-
BigSigns.Buildings.I.DisplayName,資本I,-
BigSigns.Buildings.J.DisplayName,大寫字母J,-
BigSigns.Buildings.K.DisplayName,大寫 K,-
BigSigns.Buildings.L.DisplayName,大寫字母L,-
BigSigns.Buildings.M.DisplayName,大寫M,-
BigSigns.Buildings.N.DisplayName,大寫N,-
BigSigns.Buildings.O.DisplayName,大寫字母O,-
BigSigns.Buildings.P.DisplayName,大寫P,-
BigSigns.Buildings.Q.DisplayName,資本Q,-
BigSigns.Buildings.R.DisplayName,大寫R,-
BigSigns.Buildings.S.DisplayName,大寫S,-
BigSigns.Buildings.T.DisplayName,大寫T,-
BigSigns.Buildings.U.DisplayName,大寫字母U,-
BigSigns.Buildings.V.DisplayName,大寫V,-
BigSigns.Buildings.W.DisplayName,大寫W,-
BigSigns.Buildings.X.DisplayName,大寫字母X,-
BigSigns.Buildings.Y.DisplayName,首字母Y,-
BigSigns.Buildings.Z.DisplayName,首字母Z,-
BigSigns.Buildings.Ampersand.DisplayName,和號,-
BigSigns.Buildings.Acute.DisplayName,尖銳,-
BigSigns.Buildings.AELigature.DisplayName,AE 聯字,-
BigSigns.Buildings.Bolle.DisplayName,波利,-
BigSigns.Buildings.Cedilla.DisplayName,齊達（Cedilla）,-
BigSigns.Buildings.Grave.DisplayName,墓碑,-
BigSigns.Buildings.Macron.DisplayName,馬克龍,-
BigSigns.Buildings.OELigature.DisplayName,OE 聯字,-
BigSigns.Buildings.OStreg.DisplayName,O Streg,-
BigSigns.Buildings.Szlig.DisplayName,ß,-
BigSigns.Buildings.Tilde.DisplayName,波浪號,-
BigSigns.Buildings.Umlaut.DisplayName,變音符,-
BigSigns.Buildings.Sign.Description,Error,-
BigSigns.Buildings.Sign.FlavorDescription,大聲清楚地喊出你的訊息！,-
BigSigns.Groups.Specials,特別優惠,-
