ID,Text,Comment
Cordial.CutterTool.DisplayName,馬克配置了樹木砍伐區域,-
Cordial.CutterTool.Description,使用此工具標記已配置的區域和/或需砍伐的樹木類型,-
Cordial.CutterTool.CutterToolPanel.Title,切削工具配置,-
Cordial.CutterTool.CutterToolPanel.Description,配置可砍伐樹木類型和/或砍伐選擇區域,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern01,所有,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern02,格子紋,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern03,行 X,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern04,線 Y,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeAll,所有樹種,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeMark,標記樹木只限於,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreStump,忽略樹樁,-
