ID,Text,Comment
Knatte.Corner.DisplayName,裝飾角落,-
Knatte.Corner.Description,讓大壩被困住。,-
Knatte.Corner.FlavorDescription,不防水,-
//,Error,-
Knatte.SQCorner.DisplayName,裝飾方角,-
Knatte.SQCorner.Description,讓大壩被逼入絕境。,-
Knatte.SQCorner.FlavorDescription,不防水,-
Knatte.Diagonal.DisplayName,裝飾對角線,-
Knatte.Diagonal.Description,讓大壩移到一旁。,-
Knatte.Diagonal.FlavorDescription,不防水,-
Knatte.DiagonalS.DisplayName,裝飾斜側平台,-
Knatte.DiagonalS.Description,讓水壩移至一旁並設置平台。,-
Knatte.DiagonalS.FlavorDescription,不阻擋水,-
Knatte.DiagonalW.DisplayName,留斜線,-
Knatte.DiagonalW.Description,讓水壩移到一旁。,-
Knatte.DiagonalW.FlavorDescription,水不會通過,-
Knatte.InvCorner.DisplayName,內角裝飾,-
Knatte.InvCorner.Description,讓大壩被逼入角落。,-
Knatte.InvCorner.FlavorDescription,不防水,-
Knatte.InvCornerW.DisplayName,留內角,-
Knatte.InvCornerW.Description,讓大壩被角落困住。,-
Knatte.InvCornerW.FlavorDescription,水不會通過,-
Knatte.Slope.DisplayName,裝飾坡道,-
Knatte.Slope.Description,讓大壩呈傾斜。,-
Knatte.Slope.FlavorDescription,不阻擋水,-
Knatte.CornerSlope.DisplayName,裝飾斜角,-
Knatte.CornerSlope.Description,讓大壩受到困境。,-
Knatte.CornerSlope.FlavorDescription,不阻擋水,-
Knatte.Square.DisplayName,裝飾立方體,-
Knatte.Square.Description,該死的廣場,-
Knatte.Square.FlavorDescription,不阻擋水,-
Knatte.Square2W.DisplayName,堤壩 2x2,-
Knatte.Square3W.DisplayName,堤防 3x3,-
Knatte.SquareW.Description,讓它變得更大。,-
Knatte.SquareW.FlavorDescription,水將不會通過,-
Knatte.SquareW1x2.DisplayName,堤防 1x2,-
Knatte.SquareW1x3.DisplayName,堤壩 1x3,-
Knatte.SquareW2x1.DisplayName,堤防 2x1,-
Knatte.SquareW2x3.DisplayName,堤壩 2x3,-
Knatte.SquareW3x1.DisplayName,堤壩 3x1,-
Knatte.SquareW3x2.DisplayName,堤壩 3x2,-
Knatte.HighDam.DisplayName,高壩,-
Knatte.HighDam.Description,阻擋水流但允許少量（85%）通過頂部的溢洪道。更高的洪水風險！,-
Knatte.HighDam.FlavorDescription,水無法通過,-
Knatte.Corner2X.DisplayName,"裝飾角落  
雙倍高度",-
Knatte.Corner2X.Description,讓大壩被困住。,-
Knatte.Corner2X.FlavorDescription,不阻擋水,-
Knatte.SQCorner2X.DisplayName,"裝飾方角
雙層高度",-
Knatte.SQCorner2X.Description,讓大壩陷入困境。,-
Knatte.SQCorner2X.FlavorDescription,不防水,-
Knatte.Diagonal2X.DisplayName,"裝飾對角線  
雙高",-
Knatte.Diagonal2X.Description,讓大壩轉向一側。,-
Knatte.Diagonal2X.FlavorDescription,不阻擋水分,-
Knatte.InvCornerS2X.DisplayName,裝飾內角側平台雙高度,-
Knatte.InvCornerS2X.Description,讓大壩移到一旁並設置平台。,-
Knatte.InvCornerS2X.FlavorDescription,不阻擋水,-
Knatte.InvCorner2X.DisplayName,裝飾內角 雙高,-
Knatte.InvCorner2X.Description,讓大壩陷入困境。,-
Knatte.InvCorner2X.FlavorDescription,不防水,-
Knatte.InvCornerW2X.DisplayName,"留內角 
雙高",-
Knatte.InvCornerW2X.Description,讓大壩被角落困住。,-
Knatte.InvCornerW2X.FlavorDescription,水不會通過,-
Knatte.Slope2X.DisplayName,"裝飾坡度  
雙倍高度",-
Knatte.Slope2X.Description,讓大壩傾斜。,-
Knatte.Slope2X.FlavorDescription,不防水,-
Knatte.CornerSlope2X.DisplayName,"裝飾斜角 
雙高度",-
Knatte.CornerSlope2X.Description,讓大壩被逼入絕境。,-
Knatte.CornerSlope2X.FlavorDescription,不阻擋水分,-
Knatte.Corner3X.DisplayName,"裝飾角落  
三倍高度",-
Knatte.Corner3X.Description,讓大壩被困住。,-
Knatte.Corner3X.FlavorDescription,不防水,-
Knatte.InvCorner3X.DisplayName,"裝飾內角  
三重高度",-
Knatte.InvCorner3X.Description,讓大壩被逼入絕境。,-
Knatte.InvCorner3X.FlavorDescription,不防水,-
Knatte.Slope3X.DisplayName,裝飾坡度三重高度,-
Knatte.Slope3X.Description,讓大壩傾斜。,-
Knatte.Slope3X.FlavorDescription,不阻擋水,-
Knatte.InvCornerW3X.DisplayName,李夫內部角落三倍高度,-
Knatte.InvCornerW3X.Description,讓大壩被困住。,-
Knatte.InvCornerW3X.FlavorDescription,水不會通過,-
Knatte.SlopeW_1.DisplayName,堤壩坡度,-
Knatte.SlopeW_2.DisplayName,"堤坡
雙倍高度",-
Knatte.SlopeW_3.DisplayName,"堤岸傾斜  
三重高度",-
Knatte.SlopeW.Description,在完整的區塊中傾斜以阻擋水。,-
Knatte.SlopeW.FlavorDescription,水不會通過,-
Knatte.SlopeS.DisplayName,裝飾樓梯,-
Knatte.SlopeS.Description,讓水壩被踩踏。,-
Knatte.SlopeS.FlavorDescription,不阻擋水,-
Knatte.DiagPath.DisplayName,對角路徑,-
Knatte.DiagPath.Description,在裝飾和堤防上走斜線的路徑。沿用的路徑長度不比正常道路短，但看起來更好。,-
Knatte.DiagPath.FlavorDescription,"""海狸雙坡"" —一些快樂的海狸",-
Knatte.ToolGroup.DecorationBlocks,裝飾方塊,-
Knatte.CategoryDam.DisplayName,木質裝飾品,-
Knatte.CategoryDam.Des,不防水,-
Knatte.CategoryLevees.DisplayName,塑形堤防片,-
Knatte.CategoryLeveesSQ.DisplayName,方形堤防塊,-
Knatte.CategoryPillar.DisplayName,支柱和皮拉爾頂部,-
Knatte.CategoryPillar.Des,讓它升起,-
Knatte.CategoryDam2.DisplayName,木製裝飾品 2,-
Knatte.CategoryDam2.Des,不防水,-
Knatte.DoubleInvSlope.DisplayName,雙反向坡道,-
Knatte.DoubleInvSlope.Description,堤防與反向坡度組合,-
Knatte.DoubleInvSlope.FlavorDescription,讓我們建一座橋,-
Knatte.Square1x2.DisplayName,裝飾立方體 1x2,-
Knatte.Square1x3.DisplayName,裝飾立方體 1x3,-
Knatte.Square_B.Description,可以凸出的方形，但不會阻擋水。,-
Knatte.Square_B.FlavorDescription,看看它漂浮著。,-
Knatte.InvSlope1x1.DisplayName,反向斜坡 1x1,-
Knatte.InvSlope1x2.DisplayName,倒置斜坡 1x2,-
Knatte.InvSlope1x3.DisplayName,反向坡度 1x3,-
Knatte.InvSlope2x1.DisplayName,倒坡 2x1,-
Knatte.InvSlope.Description,可以突出但不會阻擋水的方塊。,-
Knatte.InvSlope.FlavorDescription,我們出發了,-
Knatte.InvTrapezium1x1.DisplayName,倒置梯形 1x1,-
Knatte.BlockDecoration.DisplaynameLocKey,美麗的大壩,-
Knatte.InvSlopeW1x1.DisplayName,倒置堤防坡度 1x1,-
Knatte.InvSlopeW1x2.DisplayName,倒置堤防坡面 1x2,-
Knatte.InvSlopeW1x3.DisplayName,倒置堤岸坡度 1x3,-
Knatte.InvSlopeW2x1.DisplayName,倒坡堤防 2x1,-
Knatte.InvSlopeW.Description,可以突出的大方塊。六角形區塊的放置方式可以讓所有水進入，其他方塊只從上下進入，就像一個內建的防水地板。,-
Knatte.InvSlopeW.FlavorDescription,我們出發了,-
Knatte.InvTrapeziumW1x1.DisplayName,倒置梯形堤壩 1x1,-
Knatte.DoubleInvSlopeW.Description,"兩側突出的正方形。 
放置六角形的區塊，所有水只從上下進入，像是內建的防水地板。",-
Knatte.DoubleInvSlopeW.FlavorDescription,讓我們建造一座橋。,-
