ID,Text,Comment
IgorZ.Automation.DebugPickTool.Title,除錯工具,-
IgorZ.Automation.DebugPickTool.Description,在選定的物件上列印組件。,-
IgorZ.Automation.DebugPickTool.DescriptionHint1,按住 <i>SHIFT</i> 鍵以列印可存取。,-
IgorZ.Automation.DebugPickTool.DescriptionHint2,按住 <i>CTRL</i> 來打印 NavMesh 邊緣。,-
IgorZ.Automation.DebugFinishNowTool.Title,完成現在的除錯工具,-
IgorZ.Automation.DebugFinishNowTool.Description,立即完成所選的建設項目。,-
IgorZ.Automation.ToolGroup.Main.DisplayName,設置自動化,-
IgorZ.Automation.ToolGroup.Terrain.DisplayName,地形變化,-
IgorZ.Automation.ToolGroup.Water.DisplayName,水況,-
IgorZ.Automation.ToolGroup.Power.DisplayName,電力條件,-
IgorZ.Automation.ToolGroup.Storage.DisplayName,儲存條件,-
IgorZ.Automation.ToolGroup.Population.DisplayName,人口狀況,-
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,引爆炸藥兩次,-
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,爆炸炸藥三次,-
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,爆炸炸藥四次,-
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,引爆炸藥五次,-
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,引爆炸藥六次,-
IgorZ.Automation.Tool.tmpl.XLevelsDynamite.Description,此模板可應用於炸藥，不論其是否已完成或仍在建造中。完成後，炸藥將自動引爆，並將放置新的炸藥藍圖以挖掘更深。,-
IgorZ.Automation.Tool.tmpl.EmptyAt50pct.DisplayName,如果容量超過 50%，請清空儲存空間。,-
IgorZ.Automation.Tool.tmpl.EmptyAt60pct.DisplayName,如果容量超過60%，則清空儲存空間。,-
IgorZ.Automation.Tool.tmpl.EmptyAt70pct.DisplayName,如果容量超過70%，請清空存儲。,-
IgorZ.Automation.Tool.tmpl.EmptyAt80pct.DisplayName,如果儲存容量超過80%，請清空儲存空間。,-
IgorZ.Automation.Tool.tmpl.EmptyAt90pct.DisplayName,如果儲存空間容量超過90%，請清空儲存空間。,-
IgorZ.Automation.Tool.tmpl.EmptyAtXpct.Description,此模板可應用於生產一種商品且沒有投入庫存的建築。如果<i>產出</i>庫存水平超過預定閾值，該建築將轉換為“空置”模式，以促進快速移除商品。,-
IgorZ.Automation.EmptyOutputStore.CustomStatus,大樓正按優先順序進行清空。,-
IgorZ.Automation.Tool.tmpl.DroughtPause.DisplayName,在乾旱期間暫停,-
IgorZ.Automation.Tool.tmpl.DroughtPause.Description,將此模板應用於在乾旱期間應保持暫停的建築。,-
IgorZ.Automation.Tool.tmpl.BadtidePause.DisplayName,在壞潮期間暫停,-
IgorZ.Automation.Tool.tmpl.BadtidePause.Description,將此模板應用於在壞潮期間應暫停的建築物上。,-
IgorZ.Automation.Tool.tmpl.TemperatePause.DisplayName,在温和天气时暂停,-
IgorZ.Automation.Tool.tmpl.TemperatePause.Description,將此模板應用於在溫帶天氣期間應保持暫停的建築物。,-
