ID,Text,Comment
Faction.Emberpelts.DisplayName,灰燼皮,-
Faction.Emberpelts.Description,"艾姆波特家族對紅色有著特殊的熱愛，並且喜歡保持溫暖。有時他們只是喜歡看東西燃燒。
他們不喜歡讓自己的毛髮變濕。
他們的座右銘：<i>心如火焰。</i>",-
Bot.DisplayName.Emberpelts,Emberbot {0},-
Good.Brick.DisplayName,磚,-
Good.Brick.PluralDisplayName,磚頭,-
Good.Clay.DisplayName,泥土,-
Good.Clay.PluralDisplayName,黏土,-
Good.Coal.DisplayName,木炭,-
Good.Coal.PluralDisplayName,炭,-
Good.Apple.DisplayName,蘋果,-
Good.Apple.PluralDisplayName,蘋果,-
Good.AppleJuice.DisplayName,蘋果汁,-
Good.AppleJuice.PluralDisplayName,蘋果汁,-
Good.Radish.DisplayName,蘿蔔,-
Good.Radish.PluralDisplayName,蘿蔔,-
Good.Tomato.DisplayName,番茄,-
Good.Tomato.PluralDisplayName,番茄,-
Good.TomatoJuice.DisplayName,番茄汁,-
Good.TomatoJuice.PluralDisplayName,番茄汁,-
Good.Beetroot.DisplayName,甜菜,-
Good.Beetroot.PluralDisplayName,甜菜,-
Good.RedJuice.DisplayName,甜菜和蘿蔔汁,-
Good.RedJuice.PluralDisplayName,甜菜和蘿蔔汁,-
Good.CornJuice.DisplayName,玉米汁,-
Good.CornJuice.PluralDisplayName,玉米汁,-
Good.Pepper.DisplayName,甜椒,-
Good.Pepper.PluralDisplayName,甜椒,-
Good.Cornmeal.DisplayName,玉米粉,-
Good.Cornmeal.PluralDisplayName,玉米粉,-
Good.GrilledCorn.DisplayName,烤玉米,-
Good.GrilledCorn.PluralDisplayName,烤玉米,-
Good.GrilledPepper.DisplayName,烤甜椒,-
Good.GrilledPepper.PluralDisplayName,烤甜椒,-
Good.ApplePie.DisplayName,蘋果派,-
Good.ApplePie.PluralDisplayName,蘋果派,-
Good.Cornbread.DisplayName,玉米麵包,-
Good.Cornbread.PluralDisplayName,玉米麵包,-
Good.BakedBeetroot.DisplayName,烤甜菜,-
Good.BakedBeetroot.PluralDisplayName,烤甜菜,-
Good.StuffedPepper.DisplayName,釀椒,-
Good.StuffedPepper.PluralDisplayName,釀椒,-
Good.Fuel.DisplayName,燃料,-
Good.Fuel.PluralDisplayName,燃料,-
Good.Lubricant.DisplayName,潤滑劑,-
Good.Lubricant.PluralDisplayName,潤滑劑,-
Manufactory.Recipe.FuelRadish,燃料（白蘿蔔）,-
Manufactory.Recipe.FuelBeetroot,燃料（甜菜）,-
Manufactory.Recipe.FuelCanola,燃料（菜籽）,-
Manufactory.Recipe.FuelCorn,燃料（玉米）,-
Manufactory.Recipe.FuelBadwater,燃料（壞水）,-
Building.HalfRoof1x1.DisplayName,半屋頂 1x1,-
Building.HalfRoof1x2.DisplayName,半屋頂 1x2,-
Building.HalfRoof2x1.DisplayName,半屋頂 2x1,-
Building.HalfRoof2x2.DisplayName,半屋頂 2x2,-
Building.Lodge.Emberpelts.FlavorDescription,一座小屋只是一座小屋。,-
Building.BigLodge.DisplayName,大型小屋,-
Building.BigLodge.Description,將小屋的大小擴大三倍。,-
Building.BigLodge.FlavorDescription,有很多空間。,-
Building.VerticalLodge.DisplayName,垂直旅館,-
Building.VerticalLodge.Description,一個向上建造的小屋,-
Building.VerticalLodge.FlavorDescription,天空是無限的！,-
Building.DoubleVerticalLodge.DisplayName,雙垂直小屋,-
Building.DoubleVerticalLodge.Description,就像兩個重疊在一起。,-
Building.DoubleVerticalLodge.FlavorDescription,更大！更高！,-
Building.TenementLodge.DisplayName,公寓旅社,-
Building.TenementLodge.Description,一個非常大且高的地方過夜。,-
Building.TenementLodge.FlavorDescription,試著不要把這個地方燒了。,-
Building.Press.DisplayName,按壓,-
Building.Press.Description,從適合的植物中擠出油或果汁。,-
Building.Press.FlavorDescription,好奇的小貓用它來壓扁從餅乾到松果的任何東西。,-
Building.Path2.DisplayName,有欄杆的小路,-
Building.Path2.Description,這個版本的路徑總是有護欄。,-
Building.Path3.DisplayName,木製小徑,-
Building.Path3.Description,這個版本的小徑是由木頭製成的。,-
Building.AutomatedWaterPump.DisplayName,自動水泵,-
Building.AutomatedWaterPump.FlavorDescription,不需要海狸！,-
Building.ClayPit.DisplayName,泥坑,-
Building.ClayPit.Description,一處標記的黏土採集地,-
Building.ClayPit.FlavorDescription,這是一項麻煩的工作。,-
Building.Kiln.DisplayName,窯,-
Building.Kiln.Description,從木材製造炭，從黏土製造磚。,-
Building.Kiln.FlavorDescription,燒吧，寶貝！,-
Building.SmallEngine.DisplayName,小型引擎,-
Building.SmallEngine.FlavorDescription,一個偉大的發明，鐵齒可能複製了我們的設計。,-
Building.Engine.Emberpelts.FlavorDescription,燃燒煤炭需要改進設計。,-
Building.FuelEngine.DisplayName,液體燃料引擎,-
Building.FuelEngine.FlavorDescription,液態燃料在發電方面更具效能。,-
Building.PowerShaftVerticalTIntersection.DisplayName,電源軸垂直T型交叉口,-
Building.PowerShaftUpwardTIntersection.DisplayName,動力軸向上T型交叉口,-
Building.PowerShaftDownwardTIntersection.DisplayName,動力軸向下T型交叉口,-
Building.DecorativeFloor.DisplayName,裝飾地板,-
Building.DecorativeFloor.Description,純粹裝飾性的地板板材。,-
Building.LargeUndergroundTank.DisplayName,地下水槽,-
Building.UndergroundWarehouse.DisplayName,地下倉庫,-
Building.IndustrialPile.DisplayName,工業樁,-
NaturalResource.AppleTree.DisplayName,蘋果樹,-
NaturalResource.AppleTree.FlavorDescription,種子是由來自遙遠土地的旅行者帶來的。,-
NaturalResource.Beetroot.DisplayName,甜菜,-
NaturalResource.Beetroot.FlavorDescription,紫色。用油煮熟並覆蓋糖漿時味道很好。,-
NaturalResource.Pepper.DisplayName,甜椒,-
NaturalResource.Pepper.FlavorDescription,只有勇者敢生吃這個。,-
NaturalResource.Radish.DisplayName,蘿蔔,-
NaturalResource.Radish.FlavorDescription,苦。你可能會更喜歡一根胡蘿蔔。,-
NaturalResource.Tomato.DisplayName,番茄,-
NaturalResource.Tomato.FlavorDescription,多汁的,-
Need.Fire.DisplayName,火焰,-
Need.DryFur.DisplayName,乾燥的毛皮,-
ToolGroups.Clay,黏土,-
Building.Wonder.Emberpelts.DisplayName,火的奇蹟,-
