ID,Text,Comment
LV.BAsc.ChangeHeight,更改高度限制,-
LV.BAsc.ChangeHeightDesc,更改地圖的高度限制。此設定和其他所有設定需要重新啟動才能生效。,-
LV.BAsc.TerrainHeight,地形高度限制,-
LV.BAsc.TerrainHeightDesc,地形的高度限制。注意：從0開始計算（遊戲預設：22）,-
LV.BAsc.AboveTerrainHeight,超過地形高度限制,-
LV.BAsc.AboveTerrainHeightDesc,地形限制之上的高度限制，即您可以建造的最高高度（遊戲預設：10）,-
LV.BAsc.AllowEditorUpToTerrainLimit,[地圖編輯器]允許編輯器畫筆達到地形限制,-
LV.BAsc.AllowEditorUpToTerrainLimitDesc,允許編輯器畫筆到達地形上限，而不是減去6（遊戲預設：22 - 6 = 16）,-
LV.BAsc.FreeCamera,免費相機,-
LV.BAsc.FreeCameraDesc,啟用自由相機模式，當你建造得太高時會很有用。,-
