ID,Text,Comment
AnalyticsConsent.Agree,是的，我同意。,-
AnalyticsConsent.Disagree,不，我不願意同意。,-
AnalyticsConsent.Header,遊戲統計數據收集,-
AnalyticsConsent.Info,"我們請求您幫助我們改進遊戲，分享您如何玩 Timberborn。

如果您同意，Timberborn 將在您遊玩時自動收集遊戲統計數據。

您可以隨時在遊戲設置中撤回同意，並刪除所收集的數據。欲了解更多信息，請閱讀我們的 <link><u>隱私政策</u></link>。

謝謝！",-
Attractions.LoadRate,受歡迎程度,-
Attractions.Visitors,訪客,-
Attractions.VisitorsLimit,容量：{0},-
Autosave.Success,自動儲存,-
Autosave.Failure,自動儲存失敗。,-
Autosave.FailureDueToFullDisk,自動保存失敗，因為磁碟空間不足。,-
BatchControl.Distribution,分配,-
BatchControl.Housing,拉卡塔斯,-
BatchControl.Mechanical,推進,-
BatchControl.Migration,徘徊,-
BatchControl.NoDistrict,沒有選擇的區域。,-
BatchControl.Population,人口,-
BatchControl.ShowInfo,城鎮管理,-
BatchControl.Storage,倉儲,-
BatchControl.Workplaces,工作場所,-
Beaver.Adult.PrefabName,成年的河狸,-
Beaver.Adulthood,增長,-
Beaver.Age,Kor: {0},-
Beaver.Child.PrefabName,小孩,-
Beaver.DeadNameSuffix,(死者),-
Beaver.DiedOldAge,{0} 在他晚年的時候去世了。,-
Beaver.Employment,就業,-
Beaver.GrewUp,{0} 成年人。,-
Beaver.House,{0}住在這裡。,-
Beaver.Homeless,無家可歸者,-
Beaver.HomelessPlural,流浪漢,-
Beaver.Launched,{0} 飛走了。,-
Beaver.PluralDisplayName,海狸,-
Beaver.Population.Adults,成人,-
Beaver.Population.Children,小狗們,-
Beaver.Population.ContaminatedAdults,污染的成年人,-
Beaver.Population.ContaminatedChildren,污染的小狗,-
Beaver.Population.Contaminated,污染的,-
Beaver.Unemployed,失業者,-
Beaver.UnemployedPlural,失業者,-
Beaver.Workplace,工作場所：{0},-
Bonus.CarryingCapacity,運輸能力,-
Bonus.CuttingSuccessChance,割傷機會,-
Bonus.GrowthSpeed,成長速率,-
Bonus.LifeExpectancy,預期壽命,-
Bonus.MovementSpeed,運動速度,-
Bonus.Source,{0} 收到：,-
Bonus.WorkingSpeed,猴子那個速度,-
Bot.BeaversPerished,"海狸呢？還是算了吧。
曾經他們擁有一切：新鮮的空氣、清澈的水。
如今只剩下時間邊緣的陰影。",-
Bot.Created,{0} 完成了！,-
Bot.DeadNameSuffix,（被摧毀）,-
Bot.DeathMessage,{0} 被打劫了。,-
Bot.DisplayName.Folktails,{0}.sz. 法 ロボット,-
Bot.DisplayName.IronTeeth,{0}.sz. 鐵機器人,-
Bot.Durability,持久性,-
Bot.PluralDisplayName,機器人,-
Bot.PrefabName,機器人,-
Breeding.NutrientBringing,供應商、失業者和工人（工作後）提供養分。,-
Breeding.NutrientsNeeded,必要的營養素：,-
Breeding.Progress,孵化過程,-
BugTracker.Prompt,您將被重定向到線上錯誤報告頁面：{0}。,-
BuilderPriorityTool.Description,使用此工具來設置建築、拆除以及廢料收集的優先級。,-
BuilderPriorityTool.Tip,點擊一個元素以設置優先級，或按住按鈕以選擇更大的區域。,-
Building.Agora.Description,一個大型聚集地，海狸們可以討論嚴肅的樹木問題。,-
Building.Agora.DisplayName,廣場,-
Building.Agora.FlavorDescription,「海狸有權利自由表達意見！」—Kazkó bá,-
Building.AdvancedBreedingPod.Description,採用先進的孵化過程來培養成年海狸，使其能立即投入工作。,-
Building.AdvancedBreedingPod.DisplayName,先進的孵化器,-
Building.AdvancedBreedingPod.FlavorDescription,傳說中一隻小河狸掉進了提煉槽，第二天就已經咬穿了三棵樹。,-
Building.AquaticFarmhouse.Description,<YellowHighlight>水生</YellowHighlight> 植物種植專業的農民。,-
Building.AquaticFarmhouse.DisplayName,水上農舍,-
Building.AquaticFarmhouse.FlavorDescription,「你在幹嘛？！我們是海狸，不是水獺！」— 諾拉奶奶,-
Building.BadwaterDischarge.Description,關閉一個污水源。可以根據需要開啟和關閉。在開啟狀態下，即使在乾燥時期也能保持污水流動。,-
Building.BadwaterDischarge.DisplayName,污水排放口,-
Building.BadwaterDischarge.FlavorDescription,僅限擁有 RCE 資格的工程師登入。YouTube 評論不算作參考。,-
Building.BadwaterDome.Description,封閉一個污水源。根據需要可以打開和關閉。,-
Building.BadwaterDome.DisplayName,惡水穹頂,-
Building.BadwaterDome.FlavorDescription,沒有壞水，沒有哭泣。,-
Building.BadwaterPump.Description,可吸收污水的加強型泵浦。在低污染的情況下運行較慢。,-
Building.BadwaterPump.DisplayName,壞水抽水機,-
Building.BadwaterPump.FlavorDescription,「額外的保護很好，但如果能有個夾鼻器就更好了。」— Zsömi,-
Building.BadwaterRig.Description,封閉一個污水源。工人們直接從源頭抽取污水。,-
Building.BadwaterRig.DisplayName,惡水開採者,-
Building.BadwaterRig.FlavorDescription,污水在咕嚕咕嚕作響，工人們感到緊張——來自各方的壓力巨大。,-
Building.BadwaterSource.DisplayName,壞水源,-
Building.BadwaterSource.FlavorDescription,「為什麼我們需要清理人類的污垢？啊，是的，因為他們都是死的。」——托比,-
Building.ContaminationBarrier.Description,制止土壤污染的擴散。,-
Building.ContaminationBarrier.DisplayName,污染門,-
Building.ContaminationBarrier.FlavorDescription,「抵抗污染，保護農田！」— 動機海報,-
Building.Bakery.Description,他用不同的麵粉烘焙麵包和烘焙食品。,-
Building.Bakery.DisplayName,麵包店,-
Building.Bakery.FlavorDescription,"""沒有什麼比上一個熱乎乎的木屑撒在上面的麵包更好的了！"" — 諾拉奶奶",-
Building.Barrack.Description,實用的共同住宿。,-
Building.Barrack.DisplayName,拉克坦亞,-
Building.Barrack.FlavorDescription,兩名維拉格谷的士兵進入一個軍營。— 鐵牙笑話,-
Building.BeaverBust.Description,一座美觀的海狸半身像。,-
Building.BeaverBust.DisplayName,海狸半身像,-
Building.BeaverBust.FlavorDescription,調皮的河狸幼崽們喜歡「裝飾」Kazkó伯伯的雕像。,-
Building.BeaverStatue.Description.Folktails,一尊健康的海狸雕像。,-
Building.BeaverStatue.Description.IronTeeth,一座勤勞的海狸雕像。,-
Building.BeaverStatue.DisplayName,河狸雕像,-
Building.BeaverStatue.FlavorDescription.Folktails,在美好的年份中，它的外觀讓我感到驕傲，而在不好的年份中，它讓我感到饑餓。,-
Building.BeaverStatue.FlavorDescription.IronTeeth,sarlót被撤下，因為被認為過於花卉山谷。,-
Building.Beehive.Description,促進附近植物的生長。,-
Building.Beehive.DisplayName,蜜蜂巢,-
Building.Beehive.FlavorDescription,“隨著時間的推移，海狸會習慣嗡嗡聲。” — 諾拉奶奶,-
Building.Bell.Description,用鐘鈴表示工作日的開始和結束。,-
Building.Bell.DisplayName,哈朗,-
Building.Bell.FlavorDescription,「午睡最美好的部分就是早上的鐘聲！」—Kazkó bá,-
Building.Bench.DisplayName,墊子,-
Building.Bench.FlavorDescription,有時會有一些破壞者，會吞食公有財產。,-
Building.Blockage.Description,自然障礙，阻擋水的路徑。可以拆除。,-
Building.Blockage.DisplayName,Hordalékkupac,-
Building.Blockage.FlavorDescription,難以置信曾經有過時間，當大壩僅僅由泥土和樹枝組成。,-
Building.BotAssembler.Description,組裝自動化機器人，這些機器人能幫助海狸處理日常任務。,-
Building.BotAssembler.DisplayName,機器人組裝工,-
Building.BotAssembler.FlavorDescription,「一切都源於‘如果今天我不工作會怎樣？’」— Tobzi,-
Building.BotPartFactory.Description,生產機器人零件。,-
Building.BotPartFactory.DisplayName,機器人零件工廠,-
Building.BotPartFactory.FlavorDescription,「好了！但這顆螺絲在這裡幹什麼？」— Tobzi,-
Building.Brazier.Description,火在精美的盒子裡。,-
Building.Brazier.DisplayName,火星器,-
Building.Brazier.FlavorDescription,「這樣真的很熱烈。氣氛也很棒。」— Zsömi,-
Building.BrazierOfBonding.DisplayName,共融的火焰維護者,-
Building.BrazierOfBonding.FlavorDescription,如果我們不理解，那是為了未來的世代。 — 諾拉奶奶,-
Building.BreedingPod.Description,瓦斯福克繁殖最常見（也是唯一）的方法。,-
Building.BreedingPod.DisplayName,孵化器,-
Building.BreedingPod.FlavorDescription,「小狗們代表未來。我想要十二隻，下個月要！」—Kazkó 餵,-
Building.BuildersHut.Description,雇用更多的建築工人。,-
Building.BuildersHut.DisplayName,建築者的小屋,-
Building.BuildersHut.FlavorDescription,霍德瓦爾也不是一天建成的。根據傳說，六個小時就足夠了。,-
Building.BulletinPole.Description,華麗的專欄用於社交消息。,-
Building.BulletinPole.DisplayName,廣告柱,-
Building.BulletinPole.FlavorDescription,"""水輪停轉了嗎？你在鋸末上滑倒了嗎？或許可以獲得賠償！Zsömi幫忙（或不幫忙）！""",-
Building.Campfire.Description,海狸在這裡晚上可以休息並過著社交生活。,-
Building.Campfire.DisplayName,營火,-
Building.Campfire.FlavorDescription,有時候火和木頭是一對好搭檔。,-
Building.Carousel.Description,旋轉木馬，適合所有年齡層的海狸。,-
Building.Carousel.DisplayName,旋轉木馬,-
Building.Carousel.FlavorDescription,「你覺得你要去哪裡，小子？這些樹枝可不會自己脫落！」— 諾拉奶奶,-
Building.Centrifuge.Description,一個龐大的機械裝置，將危險的污水轉化為可用的萃取物。,-
Building.Centrifuge.DisplayName,離心機,-
Building.Centrifuge.FlavorDescription,第一台離心機誕生於一個花谷的旋轉木馬過速時。,-
Building.ChargingStation.Description,用於充電機器人。,-
Building.ChargingStation.DisplayName,充電站,-
Building.ChargingStation.FlavorDescription,僅與鐵齒工具兼容。,-
Building.Clock.Description,一個華麗的鐘錶。,-
Building.Clock.DisplayName,鐘表,-
Building.Clock.FlavorDescription,誰能想到，曾經海狸是用快樂淹沒來計量時間的？,-
Building.CoffeeBrewery.Description,煮咖啡。,-
Building.CoffeeBrewery.DisplayName,咖啡機,-
Building.CoffeeBrewery.FlavorDescription,如果沒有消費限制，鋼牙們根本就不會睡覺。,-
Building.ContemplationSpot.Description,一個小角落，讓海狸們沉浸在對自然的沉思中。,-
Building.ContemplationSpot.DisplayName,思考場所,-
Building.ContemplationSpot.FlavorDescription,這裡的海狸們正在思考如何與自然的變幻共存。,-
Building.CompactWaterWheel.Description,緊湊型發電機，將水流轉換為能量。,-
Building.CompactWaterWheel.DisplayName,緊湊水輪,-
Building.CompactWaterWheel.FlavorDescription,為什麼我們不再重新發明水車呢？,-
Building.ControlTower.Description,高大的建築，向附近的機器人發射信號，提升它們的性能。,-
Building.ControlTower.DisplayName,控制塔,-
Building.ControlTower.FlavorDescription,一個機器人必須服從海狸的命令——除非海狸已經不存在。,-
Building.Dam.Description,它可以蓄水，但会通过顶部的溢流口排出一部分。,-
Building.Dam.DisplayName,阱,-
Building.Dam.FlavorDescription,如我們所知，文明的基礎是在水下建立的。,-
Building.DanceHall.Description,只要一個小的開放空間，就可以開始放鬆一下了。,-
Building.DanceHall.DisplayName,舞蹈教室,-
Building.DanceHall.FlavorDescription,"""不要像一隻放假中的鐵牙那樣站著——來跳舞吧！"" — Zsömi",-
Building.DecontaminationPod.Description,一個機械化的浴池，使用提取物清潔受污染的海狸。,-
Building.DecontaminationPod.DisplayName,清潔浴,-
Building.DecontaminationPod.FlavorDescription,"""不，Zsömi，你不能喝提取物。你在小時候就掉進了水槽裡！"" — 諾拉奶奶",-
Building.DeepBadwaterPump.DisplayName,深井汙水泵,-
Building.DeepBadwaterPump.FlavorDescription,較長的管道同時處理高低差和氣味。,-
Building.DeepMechanicalFluidPump.DisplayName,深層機械液體泵,-
Building.DeepWaterPump.Description,伊沃水被抽取並過濾供河狸使用。污水污染降低了其效率。,-
Building.DeepWaterPump.DisplayName,深井泵,-
Building.DeepWaterPump.FlavorDescription,"「倫在深處芦苇沙沙作響，水湧出，  
海狸在抽水，雖然疲憊，但不會停止。」  
— 瓦斯福格工人之歌",-
Building.Detailer.Browse,瀏覽...,-
Building.Detailer.Description,獺在牠們的尾巴上畫上獨特的圖案。,-
Building.Detailer.DisplayName,法洛克迪茲托爾,-
Building.Detailer.Folktails.FlavorDescription,講講你的故事吧 —— 每個圖案都是一段故事！,-
Building.Detailer.IronTeeth.FlavorDescription,"""痛嗎？可能。酷嗎？絕對。"" — Zsömi",-
Building.Detailer.Refresh,更新,-
Building.Detailer.UserPatterns,自己的範本,-
Building.DirtExcavator.Description,重型礦業設備用於土壤開採。在達到最大深度後仍然可以繼續運行。,-
Building.DirtExcavator.DisplayName,地質開採者,-
Building.DirtExcavator.FlavorDescription,沒有山過高，也沒有谷過深——只有待耕作的土地,-
Building.DistrictCenter.Description,建立一個擁有自己居民、資源和孤立道路網的區域。聘用建築工人。,-
