ID,Text,Comment
kulesz.FPPCamera.KeyBinding.Jump,Jump,-
kulesz.FPPCamera.KeyBinding.MoveBackward,Move backward,-
kulesz.FPPCamera.KeyBinding.MoveForward,Move forward,-
kulesz.FPPCamera.KeyBinding.MoveLeft,Move left,-
kulesz.FPPCamera.KeyBinding.MoveRight,Move right,-
kulesz.FPPCamera.KeyBinding.Run,Run,-
kulesz.FPPCamera.KeyBindingGroup,FPP Camera,-
kulesz.FPPCamera.Settings.CameraSway,Camera sway,-
kulesz.FPPCamera.Settings.FOV,Field of view,-
kulesz.FPPCamera.Settings.HorizontalSensitivity,Horizontal sensitivity,-
kulesz.FPPCamera.Settings.VerticalSensitivity,Vertical sensitivity,-
