ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Прямой железнодорожный путь,-
Tobbert.TrackStraight.Description,"Прямой рельс. Может быть изменен на односторонний сигнал с помощью переключателя при нажатии на него. Создает участок рельсов между односторонними направлениями, который позволяет находиться на нем только одному поезду (что указывается цветами).",-
Tobbert.TrackStraight.FlavorDescription,Чух-чух!,-
Tobbert.TrackOneWay.DisplayName,Однонаправленная дорожка сигнала,-
Tobbert.TrackOneWay.Description,"Сообщит поездам, что они могут проходить только через зеленую сторону. Может быть изменен обратно на прямую линию, используя переключатель при щелчке на нем. Создает участок пути между односторонними, позволяя на нем находиться только одному поезду (что обозначается цветами).",-
Tobbert.TrackOneWay.FlavorDescription,Ты... Пройдёшь...,-
Tobbert.TrackCrossing.DisplayName,Железнодорожный переезд,-
Tobbert.TrackCrossing.Description,"Бобры могут пересекать пути здесь. Столкновения не будут реализованы, так как производительность пострадает слишком сильно.",-
Tobbert.TrackCrossing.FlavorDescription,Этот поезд приближается очень быстро-,-
Tobbert.TrackHillStart.DisplayName,Склон трека,-
Tobbert.TrackHillStart.Description,"Трек, который позволяет поездам подниматься и спускаться.",-
Tobbert.TrackHillStart.FlavorDescription,Не слишком ли тяжелый поезд?,-
Tobbert.TrackCorner1x1.DisplayName,Уголок 1x1 Железнодорожного пути,-
Tobbert.TrackCorner1x1.Description,"Участок рельсов, который идет вокруг угла.",-
Tobbert.TrackCorner1x1.FlavorDescription,Может быть немного тесно.,-
Tobbert.TrackCorner2x2.DisplayName,Угол 2x2 Железнодорожный путь,-
Tobbert.TrackCorner2x2.Description,"Элемент пути, который проходит вокруг большого поворота.",-
Tobbert.TrackCorner2x2.FlavorDescription,Какой красивый изгиб.,-
Tobbert.TrackTIntersection1x1.DisplayName,T перекрёсток Железнодорожный путь 1x1,-
Tobbert.TrackTIntersection1x1.Description,Перекресток в форме буквы Т для поездов.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Куда мне пойти?,-
Tobbert.TrackTIntersection2x3.DisplayName,Т-образный перекресток Железнодорожные пути 2х3,-
Tobbert.TrackTIntersection2x3.Description,Пересечение в форме Т для поездов.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Куда приведут эти пути?,-
Tobbert.TrackXIntersection1x1.DisplayName,Пересечение с железнодорожными путями 1x1,-
Tobbert.TrackXIntersection1x1.Description,Перекресток в форме X для поездов.,-
Tobbert.TrackXIntersection1x1.FlavorDescription,Так много вариантов!,-
Tobbert.TrackXIntersection3x3.DisplayName,X пересечение Железнодорожных путей 3x3,-
Tobbert.TrackXIntersection3x3.Description,Пересечение в форме X для поездов.,-
Tobbert.TrackXIntersection3x3.FlavorDescription,"Я просто не могу выбрать, куда поехать...",-
Tobbert.TrackRIntersection2x3.DisplayName,Переключить железнодорожные пути 2х3,-
Tobbert.TrackRIntersection2x3.Description,Выключатель в виде R для поездов.,-
Tobbert.TrackRIntersection2x3.FlavorDescription,Куда мы идем?,-
Tobbert.GoodsStation.DisplayName,Грузовая станция,-
Tobbert.GoodsStation.Description,"Позволяет транспортировать товары поездами. Товар можно отправить или получить на станции. Полученные товары будут перемещены только в хранилища, которые настроены на получение.",-
Tobbert.GoodsStation.FlavorDescription,"Посмотрите на все товары, которые он может содержать.",-
Tobbert.PassengerStation.DisplayName,Пассажирская станция,-
Tobbert.PassengerStation.Description,"Эта станция позволяет бобрам входить в поезд и путешествовать на другую станцию, которая соединена с ней.",-
Tobbert.PassengerStation.FlavorDescription,Бобровый поезд!,-
Tobbert.PassengerStation.DistrictObjectToggle,Пересекает районы:,-
Tobbert.PassengerStation.DistrictObject,"Когда включено, это будет разрешать бобрам заходить на пассажирские станции, на которых также включена эта настройка и которые находятся в других районах.",-
Tobbert.PassengerStation.EmptyStation,В данный момент нет ожидающих пассажиров.,-
Tobbert.WaitingStation.DisplayName,Станция ожидания,-
Tobbert.WaitingStation.Description,"Поезда могут ждать здесь, когда им нечего делать. Это предотвращает занятость путей поездами. Поезда не могут проложить путь через это, поэтому убедитесь, что это не находится на ключевых маршрутах.",-
Tobbert.WaitingStation.FlavorDescription,Когда я могу пойти снова?,-
Tobbert.TrainYard.DisplayName,Депо поездов,-
Tobbert.TrainYard.Description,"Здание, где создают поезда.",-
Tobbert.TrainYard.FlavorDescription,Здесь рождаются поезда.,-
Tobbert.TrainYard.CostOfTrain,Стоимость 1 поезда:,-
Tobbert.TrainYard.CreateTrain,Собрать поезд,-
Tobbert.Train.PrefabName,Поезд,-
Tobbert.Wagon.PrefabName,вагон,-
Tobbert.TrainModel.TrainModel,Обучить модель:,-
Tobbert.TrainModel.SmallLog,Небольшой журнал,-
Tobbert.TrainModel.BigWooden,Большое дерево,-
Tobbert.WagonModel.WagonModel,Модель вагона:,-
Tobbert.WagonModel.BoxWagon,Ящик вагон,-
Tobbert.WagonModel.TankWagon,Цистерна,-
Tobbert.WagonModel.FlatWagon,Плоская тележка,-
Tobbert.WagonModel.FlipperWagon,Гондольный вагон,-
Tobbert.WagonModel.MetalCart,Металлическая тележка,-
Tobbert.WagonModel.PassengerWagon,Пассажирский вагон,-
Tobbert.BatchControl.Trains,Поезда,-
Tobbert.Train.Length,Длина поезда:,-
Tobbert.Train.Destroy,"Вы уверены, что хотите уничтожить этот поезд?",-
Tobbert.GoodsStation.Distribution.Header,Распределенные товары,-
Tobbert.GoodsStation.Distribution.Disabled.Info,Распределение отключено настройками распределения.,-
Tobbert.GoodsStation.Distribution.Sending.Info,Распределение настроено на отправку в соответствии с настройками распределения.,-
Tobbert.GoodsStation.Distribution.Receiving.Info,Распределение установлено для получения в соответствии с настройками распределения.,-
Tobbert.BatchControl.GoodsStation,Грузовые станции,-
Tobbert.BatchControl.DistributionDisabledAll,Отключить всю дистрибуцию,-
Tobbert.BatchControl.DistributionDisabled,Распределение отключено,-
