ID,Text,Comment
Cordial.Good.Fertilizer.DisplayName,Baumdünger,-
Cordial.Good.Fertilizer.PluralDisplayName,Baumdünger,-
Cordial.Fertilizer.Mild,Baumdünger,-
Cordial.Fertilizer.Strong,Baumdünger,-
Cordial.Building.Chemist.Description,Köche chemische Mischungen,-
Cordial.Building.Chemist.DisplayName,Chemiker,-
Cordial.Building.Chemist.FlavorDescription,Das fantastische Apparatur im Inneren wird ausschließlich für wissenschaftliche Zwecke verwendet.,-
Cordial.Building.FertilizerDump.Description,Verteilt Dünger an gepflanzte Bäume,-
Cordial.Building.FertilizerDump.DisplayName,Düngerdeponie,-
Cordial.Building.FertilizerDump.FlavorDescription,Dünger für Bäume verbessert das Wachstum und den Ertrag.,-
Cordial.Building.FertilizerDump.Consumption,Düngemittelverbrauch,-
Cordial.Building.FertilizerDump.TreeCount,Betroffene Bäume,-
Cordial.Building.FertilizerDump.FertilizeYield,Dünger auf Baumressourcen auftragen,-
Cordial.TreeFragment.Title,Das Wachstum wird von Dünger beeinflusst.,-
Cordial.TreeFragment.GrowthDaily,Das tägliche Wachstum ist um gestiegen.,-
Cordial.TreeFragment.GrowthAverage,Das durchschnittliche Wachstum ist umgegangen.,-
Cordial.TreeFragment.YieldAverage,Die durchschnittliche Ertragssteigerung ist zurückgegangen um,-
Cordial.Unit.Days,Tage,-
Cordial.Unit.PerHour,Error,-
