ID,Text,Comment
Knatte.ToolGroup.DecorationBlocks,Dekorationsblöcke,-
Knatte.DE_RMCorner.DisplayName,Dekorationsmetallecke,-
Knatte.DE_RMCorner.Description,Lassen Sie den gerippten Metaldamm gezwickt werden.,-
Knatte.DE_RMCorner.FlavorDescription,Blockiert kein Wasser,-
//,Error,-
Knatte.DE_RMSQCorner.DisplayName,Dekoration Metall Quadratische Ecke,-
Knatte.DE_RMSQCorner.Description,Lass den gerippten Metaldamm eckig sein.,-
Knatte.DE_RMSQCorner.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMDiagonal.DisplayName,Dekoration Metall Diagonal,-
Knatte.DE_RMDiagonal.Description,Lass die gerippte Metallsperre zur Seite gehen.,-
Knatte.DE_RMDiagonal.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMDiagonalW.DisplayName,Leeve Diagonal,-
Knatte.DE_RMDiagonalW.Description,Lass den genoppten Metalldamm zur Seite gehen.,-
Knatte.DE_RMDiagonalW.FlavorDescription,Wasser wird nicht fließen,-
Knatte.DE_RMInvCorner.DisplayName,Dekoration Metall Innenecke,-
Knatte.DE_RMInvCorner.Description,Lass den gerippten Metalldamm abgezweigt werden.,-
Knatte.DE_RMInvCorner.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMInvCornerW.DisplayName,Lass Innenwinkel,-
Knatte.DE_RMInvCornerW.Description,Lass den gerippten Metalldamm eingekesselt sein.,-
Knatte.DE_RMInvCornerW.FlavorDescription,Wasser wird nicht passieren,-
Knatte.DE_RMSlope.DisplayName,Dekoration Metallneigung,-
Knatte.DE_RMSlope.Description,Lassen Sie das gerippte Metallwehr geneigt sein.,-
Knatte.DE_RMSlope.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMCornerSlope.DisplayName,Dekoration Metall Schräge Ecke,-
Knatte.DE_RMCornerSlope.Description,Lass den gerippten Metaldamm eckig werden.,-
Knatte.DE_RMCornerSlope.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMSquare.DisplayName,Dekorationsmetallwürfel,-
Knatte.DE_RMSquare.Description,Verdammtes geripptes Metallsquare,-
Knatte.DE_RMSquare.FlavorDescription,Blockiert kein Wasser,-
Knatte.DE_RMSquare2W.DisplayName,Metall-Levee 2x2,-
Knatte.DE_RMSquare3W.DisplayName,Metalllevee 3x3,-
Knatte.DE_RMSquareW.Description,Lass es groß aus rippenförmigem Metall sein.,-
Knatte.DE_RMSquareW.FlavorDescription,Wasser wird nicht fließen.,-
Knatte.DE_RMSquareW1x1.DisplayName,Metall Levee 1x1,-
