ID,Text,Comment
LV.BAsc.ChangeHeight,Höhenlimit ändern,-
LV.BAsc.ChangeHeightDesc,"Ändern Sie das Höhenlimit der Karte. Diese Einstellung und alle anderen müssen neu gestartet werden, um wirksam zu werden.",-
LV.BAsc.TerrainHeight,Geländehöhenbegrenzung,-
LV.BAsc.TerrainHeightDesc,Die Höhenbegrenzung des Geländes. Hinweis: Zählen Sie von 0 (Spielstandard: 22),-
LV.BAsc.AboveTerrainHeight,Über Höhenbegrenzung des Geländes,-
LV.BAsc.AboveTerrainHeightDesc,"Die Höhenbeschränkung über der Geländegrenze, d.h. wie hoch Sie bauen können (Spielstandard: 10)",-
LV.BAsc.AllowEditorUpToTerrainLimit,[Karteneditor]Editor-Pinsel bis zur Geländebegrenzung erlauben,-
LV.BAsc.AllowEditorUpToTerrainLimitDesc,"Erlaube dem Editor-Pinsel, bis zur Geländegrenze zu gehen, anstatt minus 6 (Spielstandard: 22 - 6 = 16).",-
LV.BAsc.FreeCamera,Kostenlose Kamera,-
LV.BAsc.FreeCameraDesc,"Aktivieren Sie den freien Kameramodus, nützlich, wenn Sie zu hoch gebaut haben.",-
