ID,Text,Comment
LV.MRe.ResizeMap,Karte skalieren,-
LV.MRe.Size0,Breite (X),-
LV.MRe.Size1,Tiefe (Y),-
LV.MRe.Size2,Maximal Terrainhöhe (Z1),-
LV.MRe.Size3,Max über Terrain (Z1+),-
LV.MRe.Resize,Größe ändern,-
LV.MRe.ExandStrat,Strategie erweitern,-
LV.MRe.ExandStratCopy,Kante kopieren,-
LV.MRe.ExandStratMirror,Spiegel,-
LV.MRe.OfferToLoad,Die verkleinerte Karte wurde gespeichert. Möchtest du dieses Speicherstand laden? Hinweis: Das Fortsetzen dieser Sitzung könnte das Spiel ohnehin zum Absturz bringen.,-
LV.MRe.ResizeInvalidObj,"Es gibt Objekte außerhalb der Karte, nachdem du sie verkleinert hast. Entferne alle diese Objekte, bevor du verkleinerst, um Abstürze zu vermeiden.",-
LV.MRe.AutoRemove,Entferne sie alle.,-
LV.MRe.SaveWarning,"<RedHighlight>Denken Sie daran, Ihr Spiel zu speichern, bevor Sie die Karte ändern! Diese Spielsitzung funktioniert wahrscheinlich nicht mehr nach der Größenänderung. Sie sollten das Spiel auch pausieren, bevor Sie dies verwenden.</RedHighlight>",-
