ID,Text,Comment
Battery.Flywheels.SmallFlywheel.DisplayName,Petit volant d'inertie,-
Battery.Flywheels.SmallFlywheel.Description,"Un petit volant d'inertie de faible capacité intégré à un arbre. Des plateformes peuvent être construites au-dessus d'eux, similaires aux arbres.",-
Battery.Flywheels.SmallFlywheel.FlavorDescription,"""C'est absolument génial !"" - STHedgehog",-
Battery.Flywheels.SmallHorizontalFramedFlywheel.DisplayName,Petit volant encadré verticalement,-
Battery.Flywheels.SmallHorizontalFramedFlywheel.Description,Un petit volant d'inertie intégré dans un cadre.,-
Battery.Flywheels.SmallHorizontalFramedFlywheel.FlavorDescription,"""Cela va changer la donne"" - JC The Beard",-
Battery.Flywheels.SmallVerticalFramedFlywheel.DisplayName,Petit volant encadré horizontal,-
Battery.Flywheels.SmallVerticalFramedFlywheel.Description,Un petit volant d'inertie intégré dans un cadre.,-
Battery.Flywheels.SmallVerticalFramedFlywheel.FlavorDescription,"""Cela va être un tournant"" - JC The Beard",-
Battery.Flywheels.MediumFlywheel.DisplayName,Flywheel moyen,-
Battery.Flywheels.MediumFlywheel.Description,Un volant d'inertie de taille moyenne avec une capacité modérée.,-
Battery.Flywheels.MediumFlywheel.FlavorDescription,Le magnum opus d'Ol' Kazko,-
Battery.Flywheels.MediumHorizontalFramedFlywheel.DisplayName,Volant à cadre vertical moyen,-
Battery.Flywheels.MediumHorizontalFramedFlywheel.Description,Un volant d'inertie de taille moyenne intégré dans un cadre.,-
Battery.Flywheels.MediumHorizontalFramedFlywheel.FlavorDescription,"""Et si nous mettions les engrenages à l'intérieur du volant d'inertie ?"" - Ol' Kazko",-
Battery.Flywheels.MediumVerticalFramedFlywheel.DisplayName,Volant à cadre horizontal moyen,-
Battery.Flywheels.MediumVerticalFramedFlywheel.Description,Un volant d'inertie de taille moyenne intégré dans un cadre.,-
Battery.Flywheels.MediumVerticalFramedFlywheel.FlavorDescription,"""Et si nous mettions les rouages à l'intérieur du volant d'inertie ?"" - Ol' Kazko",-
Battery.Flywheels.LargeFlywheel.DisplayName,Gros volant d'inertie,-
Battery.Flywheels.LargeFlywheel.Description,Un volant d'inertie large et de capacité supérieure.,-
Battery.Flywheels.LargeFlywheel.FlavorDescription,Le magnum opus du vieux Kazko,-
Battery.Flywheels.LargeHorizontalFramedFlywheel.DisplayName,Grand volant vertical encadré,-
Battery.Flywheels.LargeHorizontalFramedFlywheel.Description,Le plus grand volant d'inertie construit dans un cadre robuste.,-
Battery.Flywheels.LargeHorizontalFramedFlywheel.FlavorDescription,Le summum de la technologie des volant d'inertie,-
Battery.Flywheels.LargeVerticalFramedFlywheel.DisplayName,Grand volant encadré horizontal,-
Battery.Flywheels.LargeVerticalFramedFlywheel.Description,Le plus grand volant d'inertie construit dans un cadre robuste.,-
Battery.Flywheels.LargeVerticalFramedFlywheel.FlavorDescription,Le summum de la technologie des volants d'inertie,-
Battery.Flywheels.MediumHorizontalJunction.DisplayName,Junction de volant moyen,-
Battery.Flywheels.MediumHorizontalJunction.Description,Un cadre medium qui peut être utilisé pour faciliter la connexion de volants empilés à cadre moyen.,-
Battery.Flywheels.MediumHorizontalJunction.FlavorDescription,Le ciel est la limite !,-
Battery.Flywheels.LargeHorizontalJunction.DisplayName,Grand jonction horizontale,-
Battery.Flywheels.LargeHorizontalJunction.Description,Un grand cadre robuste qui peut être utilisé pour aider à la connexion des volants de grande taille empilés.,-
Battery.Flywheels.LargeHorizontalJunction.FlavorDescription,Le ciel est la limite !,-
Battery.Flywheels.ToolGroups.Flywheels.DisplayName,Volants d'inertie,-
Battery.Flywheels.ToolGroups.Junctions.DisplayName,Jonctions,-
Battery.Flywheels.UI.PowerDecayLabel,Perte de puissance,-
Battery.Flywheels.UI.CapacityLabel,Capacité,-
Battery.Flywheels.UI.MoreInfoText.SelfStackable,Sol / Autostackable,-
Battery.Flywheels.UI.MoreInfoText.SelfStackableText,"Peut être construit soit sur le sol, soit sur un autre.",-
