ID,Text,Comment
LV.CWk.BuildingShift,Quarts spécifiques au lieu de travail,-
LV.CWk.BuildingShiftDesc,Activer la définition d'un horaire spécifique pour ce lieu de travail.,-
LV.CWk.MaxWorkerMul,Multiplicateur de travailleurs maximum,-
LV.CWk.MaxWorkerMulDesc,Multiplier le nombre maximum de travailleurs par cette valeur. Arrondi à l'entier inférieur mais avec un minimum de 1.,-
LV.CWk.BotEverywhere,Bot partout,-
LV.CWk.BotEverywhereDesc,Les robots pourront travailler dans n'importe quel lieu de travail.,-
LV.CWk.EnableShift,Changement spécifique au bâtiment,-
LV.CWk.ShiftHours,Heures de travail :,-
LV.CWk.LunchBreakStart,Début de la pause déjeuner :,-
LV.CWk.LunchBreakEnd,Fin de la pause déjeuner :,-
