ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,金属製の階段,-
KnatteTobbert.MetalStaircase.Description,金属製のより良い階段。,-
KnatteTobbert.MetalStaircase.FlavorDiscription,錆びないことを願っています。,-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,金属製階段,-
KnatteTobbert.MetalSpiralStaircase.DisplayName,金属製の螺旋階段,-
KnatteTobbert.MetalSpiralStaircase.Description,金属製のより良い螺旋階段。,-
KnatteTobbert.MetalSpiralStaircase.FlavorDiscription,「天国への階段」 - ストーン・コールド・ジェーン・オースティン,-
KnatteTobbert.Staircases.DisplayName,階段,-
KnatteTobbert.Platforms.DisplayName,プラットフォーム,-
KnatteTobbert.SpiralStaircase.DisplayName,螺旋階段,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,「天国への階段」 - ストーン・コールド・ジェーン・オースティン,-
KnatteTobbert.StaircaseLog.DisplayName,階段,-
KnatteTobbert.StaircaseLog.FlavorDiscription,それは真ん中にある大きな丸太です。,-
Knatte.Pillar.DisplayName,柱,-
Knatte.Pillar.Description,それを上昇させよう,-
Knatte.Pillar.FlavorDescription,「場所を確保しよう！」 - 勤勉なビーバー,-
Knatte.Pillars.DisplayName,ブレース付きの柱,-
Knatte.Pillars.Description,それを高めてください,-
Knatte.Pillars.FlavorDescription,「場所を確保しよう！」 - 勤勉なビーバー,-
Knatte.Pillar_1.DisplayName,1脚柱,-
Knatte.Pillar_2.DisplayName,2本脚のピラー,-
Knatte.Pillar_3.DisplayName,3本足の柱,-
Knatte.Pillar_4.DisplayName,4本脚の柱,-
Knatte.Pillar_X.Description,カスタマイズされた外観を得るための柱 スタ staircase と組み合わせて隠すことができるが、重ねることができる。,-
Knatte.Pillar_X.FlavorDescription,「場所を確保しよう！」 - 勤勉なビーバー,-
Knatte.StaircasePillar.DisplayName,階段の柱,-
Knatte.StaircasePillar.Description,階段と一緒に使用することで、素敵な柱を作るための柱。,-
Knatte.StaircasePillar.FlavorDescription,「スポットを確保しよう！」 - 勤勉なビーバー,-
Knatte.PillarTop.DisplayName,ピラートップ,-
Knatte.PillarTop.Description,"カスタム柱や装飾品のトップパーツ
階段と組み合わせて隠すことができ、スタッカブルになります。",-
Knatte.StaircasePlatform.DisplayName,プラットフォーム2x2,-
Knatte.StaircasePlatform.Description,中央に大きな丸太があるプラットフォーム,-
Knatte.StaircasePlatform.FlavorDescription,「場所を取ろう！」 - 勤勉なビーバー,-
Knatte.CategoryPaths2.DisplayName,パス 2,-
