ID,Text,Comment
BigSigns.Groups.Capitals,大文字,-
BigSigns.Groups.Numbers,数字,-
BigSigns.Groups.Accents,アクセント,-
BigSigns.Buildings.0.DisplayName,数字0,-
BigSigns.Buildings.1.DisplayName,番号1,-
BigSigns.Buildings.2.DisplayName,番号2,-
BigSigns.Buildings.3.DisplayName,番号 3,-
BigSigns.Buildings.4.DisplayName,番号4,-
BigSigns.Buildings.5.DisplayName,番号5,-
BigSigns.Buildings.6.DisplayName,番号6,-
BigSigns.Buildings.7.DisplayName,番号7,-
BigSigns.Buildings.8.DisplayName,番号8,-
BigSigns.Buildings.9.DisplayName,資本9,-
BigSigns.Buildings.A.DisplayName,大文字のA,-
BigSigns.Buildings.B.DisplayName,大文字のB,-
BigSigns.Buildings.C.DisplayName,大文字のC,-
BigSigns.Buildings.D.DisplayName,キャピタルD,-
BigSigns.Buildings.E.DisplayName,大文字のE,-
BigSigns.Buildings.F.DisplayName,大文字のF,-
BigSigns.Buildings.G.DisplayName,キャピタルG,-
BigSigns.Buildings.H.DisplayName,大文字のH,-
BigSigns.Buildings.I.DisplayName,大文字のI,-
BigSigns.Buildings.J.DisplayName,大文字のJ,-
BigSigns.Buildings.K.DisplayName,大文字のK,-
BigSigns.Buildings.L.DisplayName,大文字のL,-
BigSigns.Buildings.M.DisplayName,大文字のM,-
BigSigns.Buildings.N.DisplayName,キャピタルN,-
BigSigns.Buildings.O.DisplayName,キャピタルオー,-
BigSigns.Buildings.P.DisplayName,キャピタルP,-
BigSigns.Buildings.Q.DisplayName,大文字のQ,-
BigSigns.Buildings.R.DisplayName,大文字のR,-
BigSigns.Buildings.S.DisplayName,大文字のS,-
BigSigns.Buildings.T.DisplayName,大文字のT,-
BigSigns.Buildings.U.DisplayName,キャピタルU,-
BigSigns.Buildings.V.DisplayName,キャピタルV,-
BigSigns.Buildings.W.DisplayName,首都W,-
BigSigns.Buildings.X.DisplayName,首都X,-
BigSigns.Buildings.Y.DisplayName,キャピタル Y,-
BigSigns.Buildings.Z.DisplayName,首都Z,-
BigSigns.Buildings.Ampersand.DisplayName,アンパサンド,-
BigSigns.Buildings.Acute.DisplayName,急性,-
BigSigns.Buildings.AELigature.DisplayName,AE リガチャ,-
BigSigns.Buildings.Bolle.DisplayName,ボレ,-
BigSigns.Buildings.Cedilla.DisplayName,セディーユ,-
BigSigns.Buildings.Grave.DisplayName,墓,-
BigSigns.Buildings.Macron.DisplayName,マクロン,-
BigSigns.Buildings.OELigature.DisplayName,OE リガチャー,-
BigSigns.Buildings.OStreg.DisplayName,オ・ストレッグ,-
BigSigns.Buildings.Szlig.DisplayName,シュリグ,-
BigSigns.Buildings.Tilde.DisplayName,チルダ,-
BigSigns.Buildings.Umlaut.DisplayName,ウムラウト,-
BigSigns.Buildings.Sign.Description,Error,-
BigSigns.Buildings.Sign.FlavorDescription,メッセージを大きな声で、はっきりと叫んでください！,-
BigSigns.Groups.Specials,スペシャル,-
