ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,バッテリー充電: {0} / {1},-
IgorZ.SmartPower.BatteryCharging,バッテリー充電中：<GreenHighlight>🡅</GreenHighlight>{0} ({1}),-
IgorZ.SmartPower.BatteryDischarging,バッテリー放電中: <RedHighlight>🡇</RedHighlight>{0} ({1}),-
IgorZ.SmartPower.BatteryNotUsed,<GreenHighlight>使用されていないバッテリー</GreenHighlight>,-
IgorZ.SmartPower.BatteryDepleted,<RedHighlight>バッテリーが切れました</RedHighlight>,-
IgorZ.SmartPower.PowerOutputBalancer.AutomateGenerator,この発電機を自動化してください。,-
IgorZ.SmartPower.PowerOutputBalancer.ChargeBatteriesRangeText,バッテリーの充電を{0}%〜{1}%の範囲に保ってください。,-
IgorZ.SmartPower.PowerOutputBalancer.ApplyToAllGenerators,すべての発電機に適用する,-
IgorZ.SmartPower.PowerOutputBalancer.AppliedToGenerators,{0} 基準に適用されました,-
IgorZ.SmartPower.PowerOutputBalancer.SuspendedModeStatus,過剰供給のため停止中,-
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,<YellowHighlight>⏻</YellowHighlight> 職場に従業員がいません,-
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,燃料が切れました,-
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,<YellowHighlight>⏻</YellowHighlight> 欠けている材料,-
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,製品が多すぎる,-
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,省電モード,-
IgorZ.SmartPower.PowerInputLimiter.SuspendIfNoPower,電力が不足している場合は中断してください。,-
IgorZ.SmartPower.PowerInputLimiter.SuspendIfLowEfficiency,最小効率: {0}%,-
IgorZ.SmartPower.PowerInputLimiter.MinBatteriesRatio,バッテリーの充電が{0}%未満の場合は停止してください。,-
IgorZ.SmartPower.PowerInputLimiter.ApplyToAllBuildings,すべてのそのような建物に適用されます。,-
IgorZ.SmartPower.PowerInputLimiter.AppliedToBuildings,{0}の建物に応募しました,-
IgorZ.SmartPower.PowerInputLimiter.PowerShutdownModeStatus,エネルギーを節約するために一時停止された,-
IgorZ.SmartPower.PowerInputLimiter.NotEnoughPowerStatus,<RedHighlight>⏻</RedHighlight> 電力不足,-
IgorZ.SmartPower.PowerInputLimiter.LowBatteriesChargeStatus,<RedHighlight>⏻</RedHighlight> バッテリーが不足しています,-
IgorZ.SmartPower.Common.MinutesTillResume,<GreenHighlight>⏻</GreenHighlight> {0}分後に再開します,-
IgorZ.SmartPower.Common.MinutesTillSuspend,<YellowHighlight>⏻</YellowHighlight> {0}分後にサスペンドします,-
IgorZ.SmartPower.Settings.DebugSection,デバッグとトラブルシューティング,-
IgorZ.SmartPower.Settings.Debug.VerboseLogging,詳細ログ記録,-
IgorZ.SmartPower.Settings.Debug.VerboseLoggingTooltip,ログにはより有用な詳細が含まれますが、ゲームのパフォーマンスに影響を与える可能性があります。,-
IgorZ.SmartPower.Settings.BatteriesSection,バッテリー,-
IgorZ.SmartPower.Settings.Batteries.ShowBatteryVitals,バッテリーの統計を表示する,-
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresis,消費者の活性化ヒステリシス（時間）,-
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresisTooltip,停止された消費者は、指定された期間の少なくとも間はバッテリーで動作できない場合、再開しません。,-
IgorZ.SmartPower.Settings.WalkerPoweredGeneratorSection,ビーバー電動発電機,-
IgorZ.SmartPower.Settings.GoodConsumingGeneratorSection,良い消費のジェネレーター,-
IgorZ.SmartPower.Settings.WorkplaceConsumerSection,職場付きのワークショップ,-
IgorZ.SmartPower.Settings.UnmannedConsumerSection,無人建物,-
IgorZ.SmartPower.Settings.AttractionConsumerSection,アトラクション,-
IgorZ.SmartPower.Settings.UI.ShowFloatingIcon,浮遊アイコンを表示する,-
IgorZ.SmartPower.Settings.Hysteresis.ResumeDelay,再開遅延（分）,-
IgorZ.SmartPower.Settings.Hysteresis.SuspendDelay,サスペンド遅延（分）,-
